stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Roadian,-267.954774755,0.193889635682726,0.152525527602105,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.047610341382449,-0.0067831487249999,0.112086771196625
Roadian,-268.939453845,0.193889635682726,0.152525527602105,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.047610341382449,-0.0067831487249999,0.112086771196625
Roadian,-269.924132935,0.193889635682726,0.152525527602105,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.047610341382449,-0.0067831487249999,0.112086771196625
Roadian,-270.908812025,0.193889635682726,0.152525527602105,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.047610341382449,-0.0067831487249999,0.112086771196625
Roadian,-271.893491115,0.193889635682726,0.152525527602105,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.0476226608467148,-0.0067831487249999,0.112086771196625
Roadian,-272.878170205,0.193900202551879,0.153355757000956,0.245246615797888,0.147445831099113,0.104924272776117,0.190748501473757,0.0476685421158704,-0.0067831487249999,0.112086771196625
Roadian,-273.862849295,0.193900202551879,0.153355757000956,0.245246615797888,0.147445831099113,0.104924272776117,0.190561010233819,0.0476424983415534,-0.0067831487249999,0.112086771196625
Kungurian,-274.847528385,0.193900202551879,0.153355757000956,0.245246615797888,0.147445831099113,0.104924272776117,0.190561010233819,0.0476063794416806,-0.0067831487249999,0.112086771196625
Kungurian,-275.832207475,0.193900202551879,0.153355757000956,0.245246615797888,0.147445831099113,0.104924272776117,0.190561010233819,0.0476063794416806,-0.0067831487249999,0.112086771196625
Kungurian,-276.816886565,0.193889635682726,0.151479592009485,0.245246615797888,0.147445831099113,0.104924272776117,0.190561010233819,0.0471079329395684,-0.0092498507401788,0.112086771196625
Kungurian,-277.801565655,0.193879547627108,0.151138092507705,0.245246615797888,0.14741997190876,0.104924272776117,0.190561010233819,0.047030157705283,-0.0092498507401788,0.112086771196625
Kungurian,-278.786244745,0.193861365447444,0.14894682772382,0.243529126305441,0.14741997190876,0.104924272776117,0.190561010233819,0.046883466064032,-0.0092498507401788,0.112824423479898
Kungurian,-279.770923835,0.193861365447444,0.14894682772382,0.243529126305441,0.14741997190876,0.104924272776117,0.190561010233819,0.0468847096479621,-0.0092498507401788,0.112824423479898
