id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon,range
3626,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3627,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3628,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3629,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3630,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3631,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3632,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3633,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3634,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3635,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3636,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3637,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3638,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3639,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3640,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3641,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3642,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3643,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3644,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3645,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3646,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3647,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3648,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3649,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3650,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3651,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3652,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3653,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3654,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3655,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3656,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3657,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3658,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3659,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3660,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
