id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
4021,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4022,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4020,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4019,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4018,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4017,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4016,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
4015,227.0,237.0,Trialestes,-52.0012,-29.5316
4014,227.0,237.0,Proterochampsa,-52.0012,-29.5316
4013,227.0,237.0,Herrerasaurus,-52.0012,-29.5316
3979,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3980,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3981,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3982,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3983,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3984,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3978,208.5,227.0,Shuvosaurus,1.3531,-47.1801
3970,208.5,227.0,Coelophysis,3.8366,-43.9682
3969,208.5,227.0,Eucoelophysis,3.8366,-43.9682
3968,208.5,227.0,Coelophysis,3.8366,-43.9682
3967,208.5,227.0,Coelophysis,3.8366,-43.9682
3966,208.5,227.0,Coelophysis,3.8366,-43.9682
3965,208.5,227.0,Coelophysis,3.8366,-43.9682
3964,208.5,227.0,Coelophysis,3.8366,-43.9682
3963,208.5,227.0,Coelophysis,3.8366,-43.9682
3962,208.5,227.0,Coelophysis,3.8366,-43.9682
3961,208.5,227.0,Coelophysis,1.3572,-44.289
3960,208.5,227.0,Coelophysis,3.8366,-43.9682
3956,208.5,227.0,Grallator,3.8468,-47.0031
3955,208.5,227.0,Pseudotetrasauropus,3.8468,-47.0031
3954,208.5,227.0,Brachychirotherium,3.8468,-47.0031
3920,208.5,227.0,Grallator,6.739,-20.6269
3919,208.5,227.0,Grallator,6.739,-20.6269
3918,208.5,227.0,Grallator,6.739,-20.6269
3917,208.5,227.0,Grallator,6.3169,-23.4868
3916,208.5,227.0,Brachychirotherium,6.3169,-23.4868
3915,208.5,227.0,Kintneria,6.3169,-23.4868
3914,208.5,227.0,Brachychirotherium,6.739,-20.6269
3913,208.5,227.0,Grallator,6.739,-20.6269
3912,227.0,237.0,Brachychirotherium,10.5874,-11.8909
3911,227.0,237.0,Grallator,10.5874,-11.8909
3910,208.5,227.0,Eubrontes,6.739,-20.6269
3909,208.5,227.0,Grallator,6.739,-20.6269
3908,208.5,227.0,Atreipus,6.739,-20.6269
3907,208.5,227.0,Atreipus,6.739,-20.6269
3906,208.5,227.0,Sacisaurus,-46.1164,-4.6554
3904,208.5,227.0,Guaibasaurus,-46.1164,-4.6554
3905,208.5,227.0,Guaibasaurus,-46.1164,-4.6554
3902,208.5,227.0,Gwyneddichnium,6.739,-20.6269
3901,208.5,227.0,Kintneria,6.739,-20.6269
3900,208.5,227.0,Grallator,6.739,-20.6269
3899,208.5,227.0,Anchisauripus,6.739,-20.6269
3898,208.5,227.0,Coelurosaurichnus,6.739,-20.6269
3897,208.5,227.0,Brachychirotherium,6.739,-20.6269
3896,208.5,227.0,Brachychirotherium,6.739,-20.6269
3895,208.5,227.0,Apatopus,6.739,-20.6269
3894,208.5,227.0,Kintneria,6.739,-20.6269
3893,208.5,227.0,Grallator,6.739,-20.6269
3892,208.5,227.0,Grallator,3.8376,-23.1639
3891,227.0,237.0,Apatopus,-0.5164,-22.3104
3890,227.0,237.0,Brachychirotherium,-0.5164,-22.3104
3880,208.5,227.0,Kholumolumo,-56.0316,14.4488
3881,208.5,227.0,Kholumolumo,-56.0316,14.4488
3882,208.5,227.0,Kholumolumo,-56.0316,14.4488
3883,208.5,227.0,Kholumolumo,-56.0316,14.4488
3884,208.5,227.0,Kholumolumo,-56.0316,14.4488
3885,208.5,227.0,Kholumolumo,-56.0316,14.4488
3886,208.5,227.0,Kholumolumo,-56.0316,14.4488
3864,208.5,227.0,Lessemsaurus,-50.4972,-22.4201
3865,208.5,227.0,Lessemsaurus,-50.4972,-22.4201
3866,208.5,227.0,Lessemsaurus,-50.4972,-22.4201
3859,227.0,237.0,Alwalkeria,-31.6663,57.7156
3846,208.5,227.0,Tecovasaurus,-1.4701,-41.4649
3845,208.5,227.0,Tecovasaurus,1.3531,-47.1801
3844,208.5,227.0,Lucianosaurus,1.3572,-44.289
3843,208.5,227.0,Postosuchus,1.3531,-47.1801
3842,208.5,227.0,Vancleavea,1.3531,-47.1801
3839,208.5,227.0,Typothorax,1.3531,-47.1801
3840,208.5,227.0,Typothorax,1.3531,-47.1801
3841,208.5,227.0,Typothorax,1.3531,-47.1801
3838,208.5,227.0,Postosuchus,1.3531,-47.1801
3837,208.5,227.0,Shuvosaurus,1.3531,-47.1801
