Rotated Lat,Rotated Lon,genus,age_max,age_min,range
-2.7466,-38.9219,Parioxys,298.9,290.1,"(298.9, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Zatrachys,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.9673,-38.9083,Eryops,293.52,290.1,"(293.52, 290.1)"
-1.2905,-22.1478,Eryops,293.52,290.1,"(293.52, 290.1)"
-2.7466,-38.9219,Eryops,298.9,290.1,"(298.9, 290.1)"
9.6624,15.1988,Actinodon,298.9,290.1,"(298.9, 290.1)"
16.6404,19.5629,Onchiodon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Onchiodon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Apateon,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Branchierpeton,293.52,290.1,"(293.52, 290.1)"
16.6404,19.5629,Acanthostomatops,293.52,290.1,"(293.52, 290.1)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
-2.7466,-38.9219,Zatrachys,298.9,290.1,"(298.9, 290.1)"
-2.7466,-38.9219,Trimerorhachis,298.9,290.1,"(298.9, 290.1)"
3.8135,-29.3192,Amphibamus,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Erpetosaurus,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Erpetosaurus,309.8,307.4,"(309.8, 307.4)"
-0.5219,-37.7808,Rubeostratilia,298.9,290.1,"(298.9, 290.1)"
-0.4818,-24.8936,Zatrachys,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Scapanops,298.9,293.52,"(298.9, 293.52)"
2.4804,-43.1405,Conjunctio,298.9,290.1,"(298.9, 290.1)"
12.7951,10.33,Dasyceps,298.9,293.52,"(298.9, 293.52)"
-0.4818,-24.8936,Adamanterpeton,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Astreptorhachis,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Edops,298.9,293.52,"(298.9, 293.52)"
-2.7466,-38.9219,Edops,298.9,293.52,"(298.9, 293.52)"
-0.5077,-24.9119,Edops,293.52,290.1,"(293.52, 290.1)"
2.4804,-43.1405,Lafonius,303.7,298.9,"(303.7, 298.9)"
16.0936,19.7625,Dawsonerpeton,301.4,300.9,"(301.4, 300.9)"
14.5677,17.8279,Branchierpeton,298.9,293.52,"(298.9, 293.52)"
16.5382,16.2511,Branchierpeton,307.4,300.3,"(307.4, 300.3)"
16.0936,19.7625,Branchierpeton,300.9,300.3,"(300.9, 300.3)"
14.5677,17.8279,Limnerpeton,303.7,298.9,"(303.7, 298.9)"
16.0936,19.7625,Nyranerpeton,309.8,307.4,"(309.8, 307.4)"
16.0936,19.7625,Cochleosaurus,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Erpetosaurus,309.8,307.4,"(309.8, 307.4)"
3.7525,-35.5757,Acroplous,293.52,290.1,"(293.52, 290.1)"
3.9271,-35.4975,Acroplous,298.9,293.52,"(298.9, 293.52)"
3.9271,-35.4975,Acroplous,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Micromelerpeton,303.7,298.9,"(303.7, 298.9)"
3.9271,-35.4975,Plemmyradytes,298.9,293.52,"(298.9, 293.52)"
-1.3035,-22.1408,Fedexia,303.7,298.9,"(303.7, 298.9)"
3.8135,-29.3192,Eumicrerpeton,309.8,307.4,"(309.8, 307.4)"
2.4804,-43.1405,Milnererpeton,303.7,298.9,"(303.7, 298.9)"
3.8135,-29.3192,Amphibamus,309.8,307.4,"(309.8, 307.4)"
1.7029,-36.6404,Eoscopus,303.7,298.9,"(303.7, 298.9)"
0.3973,-33.9668,Actiobates,305.9,303.7,"(305.9, 303.7)"
16.0936,19.7625,Dawsonerpeton,301.4,300.9,"(301.4, 300.9)"
16.0936,19.7625,Branchiosaurus,309.8,307.4,"(309.8, 307.4)"
9.6624,15.1988,Branchiosaurus,301.4,300.3,"(301.4, 300.3)"
2.4804,-43.1405,Lafonius,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Brevidorsum,298.9,290.1,"(298.9, 290.1)"
16.0936,19.7625,Limnogyrinus,309.8,307.4,"(309.8, 307.4)"
4.6147,-41.8361,Aspidosaurus_Tropical_N,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Conjunctio,298.9,293.52,"(298.9, 293.52)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Isodectes,309.8,307.4,"(309.8, 307.4)"
3.8135,-29.3192,Isodectes,309.8,307.4,"(309.8, 307.4)"
13.647,15.5968,Eimerisaurus,293.52,290.1,"(293.52, 290.1)"
13.647,15.5968,Eimerisaurus,293.52,290.1,"(293.52, 290.1)"
3.8135,-29.3192,Amphibamus,309.8,307.4,"(309.8, 307.4)"
3.8135,-29.3192,Miobatrachus,309.8,307.4,"(309.8, 307.4)"
-0.5219,-37.7808,Aspidosaurus_Tropical_S,303.7,298.9,"(303.7, 298.9)"
3.9271,-35.4975,Aspidosaurus_Tropical_N,303.7,298.9,"(303.7, 298.9)"
9.6624,15.1988,Branchiosaurus,300.9,300.3,"(300.9, 300.3)"
16.0936,19.7625,Platyrhinops,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Platyrhinops,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Platyrhinops,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Platyrhinops,309.8,307.4,"(309.8, 307.4)"
2.6646,-32.913,Platyhystrix,303.7,298.9,"(303.7, 298.9)"
-0.4818,-24.8936,Stegops,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Stegops,309.8,307.4,"(309.8, 307.4)"
-0.4818,-24.8936,Macrerpeton,309.8,307.4,"(309.8, 307.4)"
16.0936,19.7625,Capetus,309.8,307.4,"(309.8, 307.4)"
16.0936,19.7625,Porierpeton,301.4,300.9,"(301.4, 300.9)"
14.5677,17.8279,Apateon,303.7,298.9,"(303.7, 298.9)"
-2.7466,-38.9219,Eryops,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Onchiodon,303.7,298.9,"(303.7, 298.9)"
14.5677,17.8279,Onchiodon,303.7,298.9,"(303.7, 298.9)"
12.5951,19.408,Onchiodon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Melanerpeton,303.7,298.9,"(303.7, 298.9)"
14.5677,17.8279,Melanerpeton,298.9,293.52,"(298.9, 293.52)"
15.0951,17.64,Melanerpeton,293.52,290.1,"(293.52, 290.1)"
15.0951,17.64,Onchiodon,293.52,290.1,"(293.52, 290.1)"
