id,Rotated Lat,Rotated Lon,genus,locality
1871,47.012,29.6875,Benthosuchus,Volgograd
1872,47.012,29.6875,Benthosuchus,Volgograd
1873,47.012,29.6875,Benthosuchus,Volgograd
1874,47.012,29.6875,Benthosuchus,Volgograd
1875,47.012,29.6875,Benthosuchus,Volgograd
1876,47.012,29.6875,Benthosuchus,Volgograd
1877,47.012,29.6875,Benthosuchus,Volgograd
1878,47.012,29.6875,Benthosuchus,Volgograd
1879,47.012,29.6875,Benthosuchus,Volgograd
1880,47.012,29.6875,Benthosuchus,Volgograd
1881,47.012,29.6875,Benthosuchus,Volgograd
1882,47.012,29.6875,Benthosuchus,Volgograd
1883,47.012,29.6875,Benthosuchus,Volgograd
1884,47.012,29.6875,Benthosuchus,Volgograd
1885,47.012,29.6875,Benthosuchus,Volgograd
1886,47.012,29.6875,Benthosuchus,Volgograd
1887,47.012,29.6875,Benthosuchus,Volgograd
1888,47.012,29.6875,Benthosuchus,Volgograd
1889,47.012,29.6875,Benthosuchus,Volgograd
1890,47.012,29.6875,Benthosuchus,Volgograd
1891,47.012,29.6875,Benthosuchus,Volgograd
1892,47.012,29.6875,Benthosuchus,Volgograd
1893,47.012,29.6875,Benthosuchus,Volgograd
1894,47.012,29.6875,Benthosuchus,Volgograd
1895,47.012,29.6875,Benthosuchus,Volgograd
1896,47.012,29.6875,Benthosuchus,Volgograd
1897,47.012,29.6875,Benthosuchus,Volgograd
1898,47.012,29.6875,Benthosuchus,Volgograd
1899,47.012,29.6875,Benthosuchus,Volgograd
1900,47.012,29.6875,Benthosuchus,Volgograd
1901,47.012,29.6875,Benthosuchus,Volgograd
1902,47.012,29.6875,Benthosuchus,Volgograd
1903,47.012,29.6875,Benthosuchus,Volgograd
1904,47.012,29.6875,Benthosuchus,Volgograd
1905,47.012,29.6875,Benthosuchus,Volgograd
1906,47.012,29.6875,Benthosuchus,Volgograd
1907,47.012,29.6875,Benthosuchus,Volgograd
1908,47.012,29.6875,Benthosuchus,Volgograd
1909,47.012,29.6875,Benthosuchus,Volgograd
1910,47.012,29.6875,Benthosuchus,Volgograd
1911,47.012,29.6875,Benthosuchus,Volgograd
1912,47.012,29.6875,Benthosuchus,Volgograd
1913,47.012,29.6875,Benthosuchus,Volgograd
1914,47.012,29.6875,Benthosuchus,Volgograd
1915,47.012,29.6875,Benthosuchus,Volgograd
1916,47.012,29.6875,Benthosuchus,Volgograd
1917,47.012,29.6875,Benthosuchus,Volgograd
1918,47.012,29.6875,Benthosuchus,Volgograd
1919,47.012,29.6875,Benthosuchus,Volgograd
1920,47.012,29.6875,Benthosuchus,Volgograd
1921,47.012,29.6875,Benthosuchus,Volgograd
1922,47.012,29.6875,Benthosuchus,Volgograd
1923,47.012,29.6875,Benthosuchus,Volgograd
1924,47.012,29.6875,Benthosuchus,Volgograd
1925,47.012,29.6875,Benthosuchus,Volgograd
1926,47.012,29.6875,Benthosuchus,Volgograd
1927,47.012,29.6875,Benthosuchus,Volgograd
1928,47.012,29.6875,Benthosuchus,Volgograd
1929,47.012,29.6875,Benthosuchus,Volgograd
1930,47.012,29.6875,Benthosuchus,Volgograd
1931,47.012,29.6875,Benthosuchus,Volgograd
1932,47.012,29.6875,Benthosuchus,Volgograd
1933,47.012,29.6875,Benthosuchus,Volgograd
1934,47.012,29.6875,Benthosuchus,Volgograd
1935,47.012,29.6875,Benthosuchus,Volgograd
1936,47.012,29.6875,Benthosuchus,Volgograd
1937,47.012,29.6875,Benthosuchus,Volgograd
1938,47.012,29.6875,Benthosuchus,Volgograd
1939,47.012,29.6875,Benthosuchus,Volgograd
1940,47.012,29.6875,Benthosuchus,Volgograd
1941,47.012,29.6875,Benthosuchus,Volgograd
1942,47.012,29.6875,Benthosuchus,Volgograd
1943,47.012,29.6875,Benthosuchus,Volgograd
1944,47.012,29.6875,Benthosuchus,Volgograd
1945,47.012,29.6875,Benthosuchus,Volgograd
1946,47.012,29.6875,Benthosuchus,Volgograd
1947,47.012,29.6875,Benthosuchus,Volgograd
1948,47.012,29.6875,Benthosuchus,Volgograd
1949,47.012,29.6875,Benthosuchus,Volgograd
1950,47.012,29.6875,Benthosuchus,Volgograd
1951,47.012,29.6875,Benthosuchus,Volgograd
1952,47.012,29.6875,Benthosuchus,Volgograd
1953,47.012,29.6875,Benthosuchus,Volgograd
1954,47.012,29.6875,Benthosuchus,Volgograd
1955,47.012,29.6875,Benthosuchus,Volgograd
1956,47.012,29.6875,Benthosuchus,Volgograd
1957,47.012,29.6875,Benthosuchus,Volgograd
1958,47.012,29.6875,Benthosuchus,Volgograd
1959,47.012,29.6875,Benthosuchus,Volgograd
1960,47.012,29.6875,Benthosuchus,Volgograd
1961,47.012,29.6875,Benthosuchus,Volgograd
1962,47.012,29.6875,Benthosuchus,Volgograd
1963,47.012,29.6875,Benthosuchus,Volgograd
1964,47.012,29.6875,Benthosuchus,Volgograd
1965,47.012,29.6875,Benthosuchus,Volgograd
1966,47.012,29.6875,Benthosuchus,Volgograd
1967,47.012,29.6875,Benthosuchus,Volgograd
1968,47.012,29.6875,Benthosuchus,Volgograd
1969,47.012,29.6875,Benthosuchus,Volgograd
1970,47.012,29.6875,Benthosuchus,Volgograd
1971,47.012,29.6875,Benthosuchus,Volgograd
1972,47.012,29.6875,Benthosuchus,Volgograd
1973,47.012,29.6875,Benthosuchus,Volgograd
1974,47.012,29.6875,Benthosuchus,Volgograd
1975,47.012,29.6875,Benthosuchus,Volgograd
1976,47.012,29.6875,Benthosuchus,Volgograd
1977,47.012,29.6875,Benthosuchus,Volgograd
1978,47.012,29.6875,Benthosuchus,Volgograd
1979,47.012,29.6875,Benthosuchus,Volgograd
1980,47.012,29.6875,Benthosuchus,Volgograd
1981,47.012,29.6875,Benthosuchus,Volgograd
1982,47.012,29.6875,Benthosuchus,Volgograd
1983,47.012,29.6875,Benthosuchus,Volgograd
1984,47.012,29.6875,Benthosuchus,Volgograd
1985,47.012,29.6875,Benthosuchus,Volgograd
1986,47.012,29.6875,Benthosuchus,Volgograd
1987,47.012,29.6875,Benthosuchus,Volgograd
1988,47.012,29.6875,Benthosuchus,Volgograd
1989,47.012,29.6875,Benthosuchus,Volgograd
1990,47.012,29.6875,Benthosuchus,Volgograd
1991,47.012,29.6875,Benthosuchus,Volgograd
1992,47.012,29.6875,Benthosuchus,Volgograd
1993,47.012,29.6875,Benthosuchus,Volgograd
1994,47.012,29.6875,Benthosuchus,Volgograd
1995,47.012,29.6875,Benthosuchus,Volgograd
1996,47.012,29.6875,Benthosuchus,Volgograd
1997,47.012,29.6875,Benthosuchus,Volgograd
1998,47.012,29.6875,Benthosuchus,Volgograd
1999,47.012,29.6875,Benthosuchus,Volgograd
2000,47.012,29.6875,Benthosuchus,Volgograd
2001,47.012,29.6875,Benthosuchus,Volgograd
2002,47.012,29.6875,Benthosuchus,Volgograd
2003,47.012,29.6875,Benthosuchus,Volgograd
