,occurrence_no,Locality,county_original,state,cc
219,297334,Nikolsk,Nikolsk,Vologda,RU
220,297334,Nikolsk,Nikolsk,Vologda,RU
221,297334,Nikolsk,Nikolsk,Vologda,RU
222,297334,Nikolsk,Nikolsk,Vologda,RU
223,297334,Nikolsk,Nikolsk,Vologda,RU
224,297334,Nikolsk,Nikolsk,Vologda,RU
225,297334,Nikolsk,Nikolsk,Vologda,RU
226,297334,Nikolsk,Nikolsk,Vologda,RU
227,297334,Nikolsk,Nikolsk,Vologda,RU
228,297334,Nikolsk,Nikolsk,Vologda,RU
229,297334,Nikolsk,Nikolsk,Vologda,RU
230,297334,Nikolsk,Nikolsk,Vologda,RU
231,297334,Nikolsk,Nikolsk,Vologda,RU
232,297334,Nikolsk,Nikolsk,Vologda,RU
233,297334,Nikolsk,Nikolsk,Vologda,RU
234,297334,Nikolsk,Nikolsk,Vologda,RU
235,297334,Nikolsk,Nikolsk,Vologda,RU
236,297334,Nikolsk,Nikolsk,Vologda,RU
237,297334,Nikolsk,Nikolsk,Vologda,RU
238,297334,Nikolsk,Nikolsk,Vologda,RU
239,297334,Nikolsk,Nikolsk,Vologda,RU
240,297334,Nikolsk,Nikolsk,Vologda,RU
241,297334,Nikolsk,Nikolsk,Vologda,RU
242,297334,Nikolsk,Nikolsk,Vologda,RU
243,297334,Nikolsk,Nikolsk,Vologda,RU
244,297334,Nikolsk,Nikolsk,Vologda,RU
245,297334,Nikolsk,Nikolsk,Vologda,RU
246,297334,Nikolsk,Nikolsk,Vologda,RU
247,297334,Nikolsk,Nikolsk,Vologda,RU
248,297334,Nikolsk,Nikolsk,Vologda,RU
249,297334,Nikolsk,Nikolsk,Vologda,RU
250,297334,Nikolsk,Nikolsk,Vologda,RU
251,297334,Nikolsk,Nikolsk,Vologda,RU
252,297334,Nikolsk,Nikolsk,Vologda,RU
253,297334,Nikolsk,Nikolsk,Vologda,RU
254,297334,Nikolsk,Nikolsk,Vologda,RU
255,297334,Nikolsk,Nikolsk,Vologda,RU
256,297334,Nikolsk,Nikolsk,Vologda,RU
257,297334,Nikolsk,Nikolsk,Vologda,RU
258,297334,Nikolsk,Nikolsk,Vologda,RU
259,297334,Nikolsk,Nikolsk,Vologda,RU
260,297334,Nikolsk,Nikolsk,Vologda,RU
261,297334,Nikolsk,Nikolsk,Vologda,RU
262,297334,Nikolsk,Nikolsk,Vologda,RU
263,297334,Nikolsk,Nikolsk,Vologda,RU
264,297334,Nikolsk,Nikolsk,Vologda,RU
265,297334,Nikolsk,Nikolsk,Vologda,RU
266,297334,Nikolsk,Nikolsk,Vologda,RU
267,297334,Nikolsk,Nikolsk,Vologda,RU
268,297334,Nikolsk,Nikolsk,Vologda,RU
269,297334,Nikolsk,Nikolsk,Vologda,RU
270,297334,Nikolsk,Nikolsk,Vologda,RU
271,297334,Nikolsk,Nikolsk,Vologda,RU
272,297334,Nikolsk,Nikolsk,Vologda,RU
273,297334,Nikolsk,Nikolsk,Vologda,RU
274,297334,Nikolsk,Nikolsk,Vologda,RU
275,297334,Nikolsk,Nikolsk,Vologda,RU
276,297334,Nikolsk,Nikolsk,Vologda,RU
277,297334,Nikolsk,Nikolsk,Vologda,RU
278,297334,Nikolsk,Nikolsk,Vologda,RU
279,297334,Nikolsk,Nikolsk,Vologda,RU
280,297334,Nikolsk,Nikolsk,Vologda,RU
281,297334,Nikolsk,Nikolsk,Vologda,RU
282,297334,Nikolsk,Nikolsk,Vologda,RU
283,297334,Nikolsk,Nikolsk,Vologda,RU
284,297334,Nikolsk,Nikolsk,Vologda,RU
285,297334,Nikolsk,Nikolsk,Vologda,RU
286,297334,Nikolsk,Nikolsk,Vologda,RU
287,297334,Nikolsk,Nikolsk,Vologda,RU
288,297334,Nikolsk,Nikolsk,Vologda,RU
289,297334,Nikolsk,Nikolsk,Vologda,RU
290,297334,Nikolsk,Nikolsk,Vologda,RU
291,297334,Nikolsk,Nikolsk,Vologda,RU
292,297334,Nikolsk,Nikolsk,Vologda,RU
293,297334,Nikolsk,Nikolsk,Vologda,RU
294,297334,Nikolsk,Nikolsk,Vologda,RU
295,297334,Nikolsk,Nikolsk,Vologda,RU
296,297334,Nikolsk,Nikolsk,Vologda,RU
297,297334,Nikolsk,Nikolsk,Vologda,RU
298,297334,Nikolsk,Nikolsk,Vologda,RU
299,297334,Nikolsk,Nikolsk,Vologda,RU
300,297334,Nikolsk,Nikolsk,Vologda,RU
301,297334,Nikolsk,Nikolsk,Vologda,RU
302,297334,Nikolsk,Nikolsk,Vologda,RU
303,297334,Nikolsk,Nikolsk,Vologda,RU
304,297334,Nikolsk,Nikolsk,Vologda,RU
305,297334,Nikolsk,Nikolsk,Vologda,RU
306,297334,Nikolsk,Nikolsk,Vologda,RU
307,297334,Nikolsk,Nikolsk,Vologda,RU
308,297334,Nikolsk,Nikolsk,Vologda,RU
309,297334,Nikolsk,Nikolsk,Vologda,RU
310,297334,Nikolsk,Nikolsk,Vologda,RU
311,297334,Nikolsk,Nikolsk,Vologda,RU
312,297334,Nikolsk,Nikolsk,Vologda,RU
313,297334,Nikolsk,Nikolsk,Vologda,RU
314,297334,Nikolsk,Nikolsk,Vologda,RU
315,297334,Nikolsk,Nikolsk,Vologda,RU
316,297334,Nikolsk,Nikolsk,Vologda,RU
317,297334,Nikolsk,Nikolsk,Vologda,RU
318,297334,Nikolsk,Nikolsk,Vologda,RU
319,297334,Nikolsk,Nikolsk,Vologda,RU
320,297334,Nikolsk,Nikolsk,Vologda,RU
321,297334,Nikolsk,Nikolsk,Vologda,RU
322,297334,Nikolsk,Nikolsk,Vologda,RU
323,297334,Nikolsk,Nikolsk,Vologda,RU
324,297334,Nikolsk,Nikolsk,Vologda,RU
325,297334,Nikolsk,Nikolsk,Vologda,RU
326,297334,Nikolsk,Nikolsk,Vologda,RU
327,297334,Nikolsk,Nikolsk,Vologda,RU
328,297334,Nikolsk,Nikolsk,Vologda,RU
329,297334,Nikolsk,Nikolsk,Vologda,RU
330,297334,Nikolsk,Nikolsk,Vologda,RU
331,297334,Nikolsk,Nikolsk,Vologda,RU
332,297334,Nikolsk,Nikolsk,Vologda,RU
333,297334,Nikolsk,Nikolsk,Vologda,RU
334,297334,Nikolsk,Nikolsk,Vologda,RU
335,297334,Nikolsk,Nikolsk,Vologda,RU
336,297334,Nikolsk,Nikolsk,Vologda,RU
337,297334,Nikolsk,Nikolsk,Vologda,RU
338,297334,Nikolsk,Nikolsk,Vologda,RU
339,297334,Nikolsk,Nikolsk,Vologda,RU
340,297334,Nikolsk,Nikolsk,Vologda,RU
341,297334,Nikolsk,Nikolsk,Vologda,RU
342,297334,Nikolsk,Nikolsk,Vologda,RU
343,297334,Nikolsk,Nikolsk,Vologda,RU
344,297334,Nikolsk,Nikolsk,Vologda,RU
345,297334,Nikolsk,Nikolsk,Vologda,RU
346,297334,Nikolsk,Nikolsk,Vologda,RU
347,297334,Nikolsk,Nikolsk,Vologda,RU
348,297334,Nikolsk,Nikolsk,Vologda,RU
349,297334,Nikolsk,Nikolsk,Vologda,RU
350,297334,Nikolsk,Nikolsk,Vologda,RU
351,297334,Nikolsk,Nikolsk,Vologda,RU
352,297334,Nikolsk,Nikolsk,Vologda,RU
353,297334,Nikolsk,Nikolsk,Vologda,RU
354,297334,Nikolsk,Nikolsk,Vologda,RU
355,297334,Nikolsk,Nikolsk,Vologda,RU
356,297334,Nikolsk,Nikolsk,Vologda,RU
357,297334,Nikolsk,Nikolsk,Vologda,RU
358,297334,Nikolsk,Nikolsk,Vologda,RU
359,297334,Nikolsk,Nikolsk,Vologda,RU
360,297334,Nikolsk,Nikolsk,Vologda,RU
361,297334,Nikolsk,Nikolsk,Vologda,RU
362,297334,Nikolsk,Nikolsk,Vologda,RU
363,297334,Nikolsk,Nikolsk,Vologda,RU
364,297334,Nikolsk,Nikolsk,Vologda,RU
365,297334,Nikolsk,Nikolsk,Vologda,RU
366,297334,Nikolsk,Nikolsk,Vologda,RU
367,297334,Nikolsk,Nikolsk,Vologda,RU
368,297334,Nikolsk,Nikolsk,Vologda,RU
369,297334,Nikolsk,Nikolsk,Vologda,RU
370,297334,Nikolsk,Nikolsk,Vologda,RU
371,297334,Nikolsk,Nikolsk,Vologda,RU
372,297334,Nikolsk,Nikolsk,Vologda,RU
373,297334,Nikolsk,Nikolsk,Vologda,RU
374,297334,Nikolsk,Nikolsk,Vologda,RU
375,297334,Nikolsk,Nikolsk,Vologda,RU
376,297334,Nikolsk,Nikolsk,Vologda,RU
377,297334,Nikolsk,Nikolsk,Vologda,RU
378,297334,Nikolsk,Nikolsk,Vologda,RU
379,297334,Nikolsk,Nikolsk,Vologda,RU
380,297334,Nikolsk,Nikolsk,Vologda,RU
381,297334,Nikolsk,Nikolsk,Vologda,RU
382,297334,Nikolsk,Nikolsk,Vologda,RU
383,297334,Nikolsk,Nikolsk,Vologda,RU
384,297334,Nikolsk,Nikolsk,Vologda,RU
385,297334,Nikolsk,Nikolsk,Vologda,RU
386,297334,Nikolsk,Nikolsk,Vologda,RU
387,297334,Nikolsk,Nikolsk,Vologda,RU
388,297334,Nikolsk,Nikolsk,Vologda,RU
389,297334,Nikolsk,Nikolsk,Vologda,RU
390,297334,Nikolsk,Nikolsk,Vologda,RU
391,297334,Nikolsk,Nikolsk,Vologda,RU
392,297334,Nikolsk,Nikolsk,Vologda,RU
393,297334,Nikolsk,Nikolsk,Vologda,RU
394,297334,Nikolsk,Nikolsk,Vologda,RU
395,297334,Nikolsk,Nikolsk,Vologda,RU
396,297334,Nikolsk,Nikolsk,Vologda,RU
397,297334,Nikolsk,Nikolsk,Vologda,RU
398,297334,Nikolsk,Nikolsk,Vologda,RU
399,297335,Nikolsk,Nikolsk,Vologda,RU
400,297926,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
401,297945,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
402,297946,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
403,299698,Sol'-Iletsk,Sol'-Iletsk,Orenburg,RU
404,346290,Archer,Archer,Texas,US
405,367864,Allier,Allier,,FR
406,368039,Bergville,Bergville,KwaZulu-Natal,ZA
407,368795,Navajo,Navajo,Arizona,US
408,368796,Navajo,Navajo,Arizona,US
409,368797,Navajo,Navajo,Arizona,US
410,382158,Krasnopartizan,Krasnopartizan,Orenburg,RU
411,382159,Krasnopartizan,Krasnopartizan,Orenburg,RU
412,384336,Baylor,Baylor,Texas,US
413,387723,Sterlitamak,Sterlitamak,Bashkortostan,RU
414,388988,Archangel'sk,,Archangel'sk,RU
415,388989,Archangel'sk,,Archangel'sk,RU
416,388990,Archangel'sk,,Archangel'sk,RU
417,399460,New South Wales,,New South Wales,AU
418,401594,Krakowski,Krakowski,Malopolskie,PL
419,401598,Krakowski,Krakowski,Malopolskie,PL
420,406870,Apache,Apache,Arizona,US
421,407765,Apache,Apache,Arizona,US
422,407774,Apache,Apache,Arizona,US
423,410770,Crosby,Crosby,Texas,US
424,410787,Crosby,Crosby,Texas,US
425,411694,Komi,,Komi,RU
426,411695,Komi,,Komi,RU
427,411696,Komi,,Komi,RU
428,477613,Primorye,,Primorye,RU
429,477681,Primorye,,Primorye,RU
430,483852,Apache,Apache,Arizona,US
431,483857,Apache,Apache,Arizona,US
432,486123,Meuthe-et-Moselle,Meuthe-et-Moselle,Lorraine,FR
433,486124,Meuthe-et-Moselle,Meuthe-et-Moselle,Lorraine,FR
434,517579,Apache,Apache,Arizona,US
435,517599,Apache,Apache,Arizona,US
436,517604,Apache,Apache,Arizona,US
437,517607,Navajo,Navajo,Arizona,US
438,517728,Weisseritzkreis,Weisseritzkreis,Saxony,DE
439,517729,Weisseritzkreis,Weisseritzkreis,Saxony,DE
440,517730,Weisseritzkreis,Weisseritzkreis,Saxony,DE
441,517731,Weisseritzkreis,Weisseritzkreis,Saxony,DE
442,517732,Weisseritzkreis,Weisseritzkreis,Saxony,DE
443,533987,McKinley,McKinley,New Mexico,US
444,538734,Diekirch,,Diekirch,LU
445,538735,Diekirch,,Diekirch,LU
446,558338,Warwickshire,Warwickshire,England,UK
447,558339,Warwickshire,Warwickshire,England,UK
448,558340,Warwickshire,Warwickshire,England,UK
449,559541,Boheme,,Boheme,CZ
450,562849,Apache,Apache,Arizona,US
451,572543,Apache,Apache,Arizona,US
452,572544,Apache,Apache,Arizona,US
453,572574,Arizona,,Arizona,US
454,572583,McKinley,McKinley,New Mexico,US
455,584069,Opole,,Opole,PL
456,584070,Opole,,Opole,PL
457,584075,Opole,,Opole,PL
458,590154,Rio Arriba,Rio Arriba,New Mexico,US
459,629466,Comanche,Comanche,Oklahoma,US
460,629466,Comanche,Comanche,Oklahoma,US
461,629466,Comanche,Comanche,Oklahoma,US
462,629466,Comanche,Comanche,Oklahoma,US
463,629466,Comanche,Comanche,Oklahoma,US
464,629466,Comanche,Comanche,Oklahoma,US
465,629466,Comanche,Comanche,Oklahoma,US
466,629467,Comanche,Comanche,Oklahoma,US
467,629468,Comanche,Comanche,Oklahoma,US
468,629488,Comanche,Comanche,Oklahoma,US
469,629488,Comanche,Comanche,Oklahoma,US
470,629489,Comanche,Comanche,Oklahoma,US
471,631438,Tillman,Tillman,Oklahoma,US
472,631439,Tillman,Tillman,Oklahoma,US
473,632371,Arlit,Arlit,Agadez,NE
474,632372,Arlit,Arlit,Agadez,NE
475,667875,Crosby,Crosby,Texas,US
476,667875,Crosby,Crosby,Texas,US
477,667875,Crosby,Crosby,Texas,US
478,667875,Crosby,Crosby,Texas,US
479,667875,Crosby,Crosby,Texas,US
480,667875,Crosby,Crosby,Texas,US
481,667875,Crosby,Crosby,Texas,US
482,667875,Crosby,Crosby,Texas,US
483,667875,Crosby,Crosby,Texas,US
484,670355,Penarth,Penarth,Wales,UK
485,670358,Penarth,Penarth,Wales,UK
486,690409,Warwickshire,Warwickshire,England,UK
487,690410,Warwickshire,Warwickshire,England,UK
488,690411,Warwickshire,Warwickshire,England,UK
489,705334,McKinley,McKinley,New Mexico,US
490,705335,McKinley,McKinley,New Mexico,US
491,705362,McKinley,McKinley,New Mexico,US
492,705368,McKinley,McKinley,New Mexico,US
493,728366,Baden-Wurttemberg,,Baden-Wurttemberg,DE
494,739841,Cleveland,Cleveland,Oklahoma,US
495,749055,San Juan,San Juan,Utah,US
496,753719,Knox,Knox,Texas,US
497,773340,Loule,Loule,Algarve,PT
498,773661,Opole,,Opole,PL
499,778928,Guadalupe,Guadalupe,New Mexico,US
500,778945,Quay,Quay,New Mexico,US
501,778963,Howard,Howard,Texas,US
502,782139,Navajo,Navajo,Arizona,US
503,782172,Navajo,Navajo,Arizona,US
504,782200,Potter,Potter,Texas,US
505,785869,Mamadysh,Mamadysh,Tatarstan,RU
506,786933,Foard,Foard,Texas,US
507,786936,Knox,Knox,Texas,US
508,787458,Noble,Noble,Oklahoma,US
509,787459,Noble,Noble,Oklahoma,US
510,787528,Noble,Noble,Oklahoma,US
511,787561,Kay,Kay,Oklahoma,US
512,787562,Kay,Kay,Oklahoma,US
513,787580,Kay,Kay,Oklahoma,US
514,787990,Baylor,Baylor,Texas,US
515,788096,Kiowa,Kiowa,Oklahoma,US
516,788179,Knox,Knox,Texas,US
517,788994,Jefferson,Jefferson,Ohio,US
518,788995,Jefferson,Jefferson,Ohio,US
519,789051,Baylor,Baylor,Texas,US
520,789060,Baylor,Baylor,Texas,US
521,789067,Baylor,Baylor,Texas,US
522,789101,Arlit,Arlit,Agadez,NE
523,789653,Gansu,,Gansu,CN
524,789760,Orenburg,,Orenburg,RU
525,789761,Orenburg,,Orenburg,RU
526,789762,Orenburg,,Orenburg,RU
527,789765,Orenburg,,Orenburg,RU
528,789768,Bashkortostan,,Bashkortostan,RU
529,789770,Bashkortostan,,Bashkortostan,RU
530,789965,Archer,Archer,Texas,US
531,789966,Archer,Archer,Texas,US
532,789967,Archer,Archer,Texas,US
533,789968,Archer,Archer,Texas,US
534,789984,San Miguel,San Miguel,Colorado,US
535,789986,San Miguel,San Miguel,Colorado,US
536,790003,Gotha,Gotha,Thuringia,DE
537,790215,Orenburg,,Orenburg,RU
538,790491,Noble,Noble,Oklahoma,US
539,790492,Noble,Noble,Oklahoma,US
540,790500,Archer,Archer,Texas,US
541,790501,Archer,Archer,Texas,US
542,790525,Rio Arriba,Rio Arriba,New Mexico,US
543,795306,Vyazniki,Vyazniki,Vladimir,RU
544,796034,Cerro Largo,,Cerro Largo,UY
545,799672,Slobodskoi,Slobodskoi,Kirov,RU
546,799681,Oktyabrskoe,Oktyabrskoe,Orenburg,RU
547,799682,Malmysh,Malmysh,Kirov,RU
548,799683,Malmysh,Malmysh,Kirov,RU
549,799808,Grant,Grant,Oklahoma,US
550,799809,Grant,Grant,Oklahoma,US
551,799812,Slobodskoi,Slobodskoi,Kirov,RU
552,799813,Slobodskoi,Slobodskoi,Kirov,RU
553,800079,Inta,Inta,Komi,RU
554,800080,Inta,Inta,Komi,RU
555,806471,Garza,Garza,Texas,US
556,811357,Devon,Devon,England,UK
557,811358,Devon,Devon,England,UK
558,814162,Kotelnich,Kotelnich,Kirov,RU
559,814505,Cotton,Cotton,Oklahoma,US
560,818655,Thung Luilai,Thung Luilai,Chaiyaphum,TH
561,821549,Queensland,,Queensland,AU
562,821550,Maletswai,Maletswai,Eastern Cape,ZA
563,825243,Comanche,Comanche,Oklahoma,US
564,825243,Comanche,Comanche,Oklahoma,US
565,825283,Gotha,Gotha,Thuringia,DE
566,825943,Baylor,Baylor,Texas,US
567,829759,Fremont,Fremont,Wyoming,US
568,829815,Fremont,Fremont,Wyoming,US
569,829815,Fremont,Fremont,Wyoming,US
570,829817,Fremont,Fremont,Wyoming,US
571,829817,Fremont,Fremont,Wyoming,US
