Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Volgograd,1880,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1881,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1882,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1883,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1884,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1885,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1886,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1887,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1888,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1889,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1890,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1891,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1892,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1893,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1894,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1895,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1896,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1897,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1898,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1899,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1900,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1901,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1902,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1903,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1904,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1905,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1906,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1907,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1908,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1909,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1910,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1911,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1912,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1913,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1914,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1915,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1916,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1917,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1918,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1919,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1920,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1921,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1922,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1923,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1924,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1925,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1926,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1927,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1928,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1929,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1930,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1931,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1932,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1933,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1934,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1935,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1936,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1937,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1938,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1939,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1940,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1941,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1942,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1943,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1944,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1945,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1946,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1947,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1948,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1949,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1950,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1951,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1952,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1953,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1954,Benthosuchus,251.2,247.2,47.012,29.6875,1
