genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Oryporan,-46.32232,-46.32232,0,0,0,1,0,0.0,-0.3179518273738846
Osmolskina,29.45002,29.45002,0,1,0,0,0,0.0,-0.3179518273738846
Owenetta,-63.15948,-60.80844,0,0,0,1,0,2.3510400000000047,-0.1350696515241249
Pachypleurosaurus,20.93788,25.88766,0,1,1,0,0,4.9497800000000005,0.06708055675297922
Palacrodon,-77.5844,-58.76185,0,0,0,1,1,18.82255,1.1462124994946026
Palaeagama,-63.02481,-63.02481,0,0,0,1,0,0.0,-0.3179518273738846
Paliguana,-62.64909,-62.64909,0,0,0,1,0,0.0,-0.3179518273738846
Pamelaria,-39.82536,-39.82536,0,0,0,1,0,0.0,-0.3179518273738846
Pamelina,29.45002,29.45002,0,1,0,0,0,0.0,-0.3179518273738846
Panzhousaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Pappochelys,27.72418,27.72418,0,1,0,0,0,0.0,-0.3179518273738846
Parahupehsuchus,15.35236,15.35236,0,0,1,0,0,0.0,-0.3179518273738846
Paralonectes,30.4196,31.61801,0,1,0,0,0,1.1984100000000026,-0.22473017722751934
Paraplacodus,20.93788,24.48539,0,1,1,0,0,3.547509999999999,-0.041998909665645005
Pararcus,27.06795,27.06795,0,1,0,0,0,0.0,-0.3179518273738846
Parasaurus,25.61333,27.6348,0,1,0,0,0,2.021469999999997,-0.160706169275761
Parasuchus,28.45267,28.45267,0,1,0,0,0,0.0,-0.3179518273738846
Pareiasaurus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.8780640294788764
Pareiasuchus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.8780640294788764
Parringtonia,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Partanosaurus,25.88766,25.88766,0,1,0,0,0,0.0,-0.3179518273738846
Parvosuchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Pectodens,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Pentaedrusaurus,40.04971,40.04971,0,1,0,0,0,0.0,-0.3179518273738846
Permotriturus,40.12712,40.12712,0,1,0,0,0,0.0,-0.3179518273738846
Pessopteryx,47.29689,47.8035,0,1,0,0,0,0.506610000000002,-0.2785437615361077
Phaanthosaurus,44.04916,48.19791,0,1,0,0,0,4.14875,0.0047702135342620276
Phalarodon,12.57983,47.8035,0,1,1,0,0,35.22367,2.4220191688719863
Phantomosaurus,26.46257,26.46257,0,1,0,0,0,0.0,-0.3179518273738846
Phonodus,-60.80844,-60.80844,0,0,0,1,0,0.0,-0.3179518273738846
Pinheirochampsa,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Pintosaurus,-49.05941,-49.05941,0,0,0,1,0,0.0,-0.3179518273738846
Pistosaurus,12.69028,31.13755,0,1,1,0,0,18.447270000000003,1.1170203024444048
Placodus,-9.895147,34.44921,0,1,1,0,0,44.344357,3.131497137687751
Polymorphodon,27.72418,27.72418,0,1,0,0,0,0.0,-0.3179518273738846
Prestosuchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Procerosuchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Procolina,29.45002,29.45002,0,1,0,0,0,0.0,-0.3179518273738846
Procolophon,-77.5844,-46.32232,0,0,0,1,1,31.262080000000005,2.1138558883558547
Procolophonichnium,-58.08447,-58.08447,0,0,0,1,0,0.0,-0.3179518273738846
Prolacerta,-77.5844,-58.08447,0,0,0,1,1,19.49993,1.198904384055099
Prolacertoides,61.21759,61.21759,0,1,0,0,0,0.0,-0.3179518273738846
Prosantosaurus,25.88766,25.88766,0,1,0,0,0,0.0,-0.3179518273738846
Prosaurosphargis,15.35236,15.35236,0,0,1,0,0,0.0,-0.3179518273738846
Protanystropheus,22.98052,29.56131,0,1,1,0,0,6.58079,0.1939531993420955
