id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,
6241,1094879,1094879,27.72418,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Heldenmühle, near Crailsheim (SMNS collection)",Heldenmuhle,
6245,1094883,1094883,29.54337,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Lelm, near Braunschweig",,
6253,1094897,1094897,27.72418,Cyamodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Heldenmühle, near Crailsheim (SMNS collection)",Heldenmuhle,
6255,1094899,1094899,26.11694,Cyamodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Zuffenhausen, Stuttgart",Stuttgart-Zuffenhausen,
6256,1094900,1094900,26.11694,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Steinsfurt, near Heidelberg",,
6258,1094905,1094905,28.02403,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Münster: Upper Muschelkalk,,
6260,1094908,1094908,24.21337,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Lauchringen,,
6263,1094917,1094917,31.12196,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Rüdersdorf, near Berlin",Rudersdorf,
6264,1094919,1094919,27.72418,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,Jena,,
6295,1432348,1432348,27.72418,Placodus,242,237,Middle Triassic,"(242.0, 237.0)",DE,,,,,"Oschenberg, near Laineck","Lainecker Berg, Bayreuth",
6972,1094854,1094854,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Karlstadt,,"Rüdersdorf, near Berlin: Orbicularis beds",Rudersdorf,
6973,1094855,1094855,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Karlstadt,,"Rüdersdorf, near Berlin: Orbicularis beds",Rudersdorf,
6974,1094858,1094858,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Karlstadt,,"Rüdersdorf, near Berlin: Orbicularis beds",Rudersdorf,
6975,1094858,1094858,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Karlstadt,,"Rüdersdorf, near Berlin: Orbicularis beds",Rudersdorf,
6976,1094859,1094859,29.8481,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",DE,,,Karlstadt,,"Rüdersdorf, near Berlin: Orbicularis beds",Rudersdorf,
7089,1521053,1521053,26.46257,Cymatosaurus,246.7,244.7,Middle Triassic,"(246.7, 244.7)",DE,,,Röt,,"Jenzig, near Jena","Hufeisen-Jenzig, Berg-Jenzig",
6248,1094892,1094892,18.65796,Lariosaurus,242,237,Middle Triassic,"(242.0, 237.0)",FR,,,,,"Amélie-les-Bains, eastern Pyrenees",,
3160,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,East Greenland,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",
3161,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,East Greenland,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",
3162,283828,283828,40.08932,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,East Greenland,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",
3163,283860,283860,40.08932,Issi,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,East Greenland,Malmros Klint,,"Iron Cake site, northern flank of Macknight Bjerg",area V,
6578,283825,283825,40.08932,Proganochelys,216.7,213.2,Late Triassic,"(216.7, 213.2)",GL,,East Greenland,Fleming Fjord,,south of base camp II,"Jameson Land, area II",
6276,1205247,1205247,14.2073,Nothosaurus,242,237,Middle Triassic,"(242.0, 237.0)",HU,,Hungary,Templomhegy Dolomite,,"Villány, construction site",,
6277,1205251,1205251,14.2073,Cyamodus,242,237,Middle Triassic,"(242.0, 237.0)",HU,,Hungary,Templomhegy Dolomite,,"Villány, construction site",,
4248,943015,943015,-9.650311,Nothosaurus,246.7,237,Middle Triassic,"(246.7, 237.0)",IL,,Israel,Muschelkalk,,Wadi Ramon,,
