id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
8557,1358996,1358996,-47.78411,Scylacops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8558,1358994,1358994,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8559,1358993,1358993,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8560,1358992,1358992,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8561,1358991,1358991,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8562,1358990,1358990,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8563,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8564,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8565,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8566,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8567,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8568,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8569,1358988,1358988,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8570,1358987,1358987,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8571,1358986,1358986,-47.78411,Syops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8572,1358985,1358985,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8573,1358984,1358984,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8574,1358505,1358505,-47.78411,Scylacops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8575,1358504,1358504,-47.78411,Aelurognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8576,1358503,1358503,-47.78411,Cyniscops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8577,1358502,1358502,-47.78411,Pristerodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8578,1358501,1358501,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8579,1358500,1358500,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8580,1358499,1358499,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8581,1358498,1358498,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8582,1358497,1358497,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8583,1358495,1358495,-47.78411,Endothiodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8584,1358495,1358495,-47.78411,Endothiodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
9253,1607015,1607015,-77.5844,Notictoides,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Halfmoon Bluff (UWBM locality C2951),
9255,1587697,1587697,-76.62466,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Graphite Peak (Fremouw Fm.),
9257,1442949,1442949,-2.617971,Repelinosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",LA,,,Purple Claystone,,Counillonia and Repelinosaurus Type Locality,Luang Prabang Basin
9258,1442948,1442948,-2.617971,Counillonia,251.902,246.7,Early Triassic,"(251.902, 246.7)",LA,,,Purple Claystone,,Counillonia and Repelinosaurus Type Locality,Luang Prabang Basin
9282,1418585,1418585,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,"Collinson Ridge (Fremouw Fm., 85 m above base)",Cumulus Hills; Halfmoon Bluff; Sentinel Hill
9294,1385156,1385156,-62.64909,Olivierosuchus,251.902,246.7,Early Triassic,"(251.902, 246.7)",ZA,,,,,Lystrosaurus Assemblage,
9295,1385143,1385143,-60.88067,Thrinaxodon,251.902,246.7,Early Triassic,"(251.902, 246.7)",ZA,,,,,Hill overlooking Wilge River,
9296,1385142,1385142,-60.80844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",ZA,,,,,"Katburg Formation, South of Orange River",
9324,1167760,1167760,-77.5844,Ericiolacerta,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Kitching Ridge (Fremouw Fm.),Cumulus Hills
9386,922660,922660,-77.5844,Myosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Collinson Ridge (42.5 metres above base),Cumulus Hills
9387,922660,922660,-77.5844,Myosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Collinson Ridge (42.5 metres above base),Cumulus Hills
9388,896181,896181,-76.62466,Kombuisia,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Graphite Peak (Fremouw Fm.),
9389,896180,896180,-77.5844,Kombuisia,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,Lystrosaurus,Shenk Peak (uncertain stratigraphic level),
9426,807229,807229,-77.5844,Thrinaxodon,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,Lystrosaurus,Thrinaxodon Col (Fremouw Formation),Mount Kenyon; Cumulus Hills
9427,807186,807186,-76.62466,Thrinaxodon,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,,Graphite Peak (Fremouw Fm.),
9431,286246,286246,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,Lystrosaurus,Thrinaxodon Col (Fremouw Formation),Mount Kenyon; Cumulus Hills
9432,286245,286245,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,,,Fremouw,Lystrosaurus,"Shenk Peak (Fremouw Fm., 28 m above base of section)",Cumulus Hills
9550,897149,897149,-47.29913,Cynognathus,246.7,237.0,Middle Triassic,"(246.7, 237.0)",,,,Omingonde,Cynognathus subzone B or C,"Etjo Nord, EN-4",
9551,897136,897136,-47.29913,Luangwa,246.7,237.0,Middle Triassic,"(246.7, 237.0)",,,,Omingonde,Cynognathus subzone C,"Rhenosterkloof, RK-4",
9552,897136,897136,-47.29913,Luangwa,246.7,237.0,Middle Triassic,"(246.7, 237.0)",,,,Omingonde,Cynognathus subzone C,"Rhenosterkloof, RK-4",
9553,897136,897136,-47.29913,Luangwa,246.7,237.0,Middle Triassic,"(246.7, 237.0)",,,,Omingonde,Cynognathus subzone C,"Rhenosterkloof, RK-4",
9554,896674,896674,-47.29913,Luangwa,246.7,237.0,Middle Triassic,"(246.7, 237.0)",,,,Omingonde,Cynognathus subzone C,"Omingonde 96, OM-2",
