age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_terr_L_mean,rep_terr_L_hpd_m95,rep_terr_L_hpd_M95,rep_terr_M_mean,rep_terr_M_hpd_m95,rep_terr_M_hpd_M95,rep_terr_R_mean,rep_terr_R_hpd_m95,rep_terr_R_hpd_M95
-246,0.285512117,0.188749,0.390107,0.262417985,0.166256,0.362501,0.023094134,-0.114546,0.159405,0.270871061,0.180817,0.367219,0.26958713,0.177226,0.364088,0.00128393,-0.113172,0.121714
-247,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-248,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-249,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-250,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-251,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-252,0.326357269,0.203822,0.455962,0.362085465,0.226614,0.504003,-0.035728199,-0.215793,0.149869,0.700569905,0.531938,0.866606,0.506797689,0.363503,0.657331,0.193772215,-0.013342,0.397128
-253,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-254,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-255,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-256,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-257,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-258,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-259,0.179975081,0.13558,0.224789,0.289076786,0.233401,0.346271,-0.109101708,-0.176518,-0.044118,0.204809937,0.120199,0.297348,0.265285202,0.175673,0.359189,-0.060475267,-0.184242,0.064859
-260,0.345851855,0.249373,0.452275,0.236153294,0.168287,0.310155,0.109698563,0.013626,0.208987,0.183121371,0.064854,0.304236,0.133955508,0.04784,0.228924,0.049165862,-0.107005,0.207137
-261,0.345851855,0.249373,0.452275,0.236153294,0.168287,0.310155,0.109698563,0.013626,0.208987,0.183121371,0.064854,0.304236,0.133955508,0.04784,0.228924,0.049165862,-0.107005,0.207137
-262,0.345851855,0.249373,0.452275,0.236153294,0.168287,0.310155,0.109698563,0.013626,0.208987,0.183121371,0.064854,0.304236,0.133955508,0.04784,0.228924,0.049165862,-0.107005,0.207137
-263,0.345851855,0.249373,0.452275,0.236153294,0.168287,0.310155,0.109698563,0.013626,0.208987,0.183121371,0.064854,0.304236,0.133955508,0.04784,0.228924,0.049165862,-0.107005,0.207137
-264,0.345851855,0.249373,0.452275,0.236153294,0.168287,0.310155,0.109698563,0.013626,0.208987,0.183121371,0.064854,0.304236,0.133955508,0.04784,0.228924,0.049165862,-0.107005,0.207137
-265,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-266,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-267,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-268,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-269,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-270,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-271,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-272,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-273,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-274,0.391126983,0.256268,0.522084,0.19288243,0.116176,0.270274,0.19824455,0.058535,0.342705,0.221096387,0.115763,0.335365,0.120030307,0.047503,0.198082,0.10106608,-0.026105,0.229331
-275,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-276,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-277,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-278,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-279,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-280,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-281,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-282,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-283,0.100437327,0.03174,0.17673,0.1185581,0.039818,0.211624,-0.018120774,-0.132263,0.089452,0.134383189,0.03628,0.242516,0.172289622,0.064549,0.292458,-0.037906433,-0.193618,0.122802
-284,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-285,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-286,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
