genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Ordosiodon	-0.3033557921828507	0	1	0	0	0
Otsheria	-0.3033557921828507	0	1	0	0	0
Oudenodon	0.9066758518768588	0	0	0	1	0
Pachydectes	-0.3033557921828507	0	0	0	1	0
Palemydops	-0.1718659746707467	0	0	0	1	0
Pampaphoneus	-0.3033557921828507	0	0	0	1	0
Panchetocynodon	-0.3033557921828507	0	0	0	1	0
Parabradysaurus	-0.2751132950490207	0	1	0	0	0
Paraburnetia	-0.3033557921828507	0	0	0	1	0
Paragalerhinus	-0.3033557921828507	0	0	0	1	0
Parakannemeyeria	0.9500795830532504	0	1	0	0	0
Parasuminia	-0.3033557921828507	0	1	0	0	0
Paratraversodon	-0.3033557921828507	0	0	0	1	0
Pardosuchus	-0.3033557921828507	0	0	0	1	0
Patranomodon	-0.3033557921828507	0	0	0	1	0
Pelanomodon	-0.1718659746707467	0	0	0	1	0
Pelictosuchus	-0.3033557921828507	0	0	0	1	0
Peramodon	-0.2738090416321361	0	1	0	0	0
Perplexisaurus	-0.0928800460184322	0	1	0	0	0
Phocosaurus	-0.3033557921828507	0	0	0	1	0
Phreatophasma	-0.3033557921828507	0	1	0	0	0
Phthinosaurus	-0.274014077103786	0	1	0	0	0
Planitorostris	-0.3033557921828507	0	1	0	0	0
Platycraniellus	-0.3033557921828507	0	0	0	1	0
Platycyclops	-0.3033557921828507	0	0	0	1	0
Platypodosaurus	-0.171241186025191	0	0	0	1	0
Polycynodon	-0.3033557921828507	0	0	0	1	0
Porosteognathus	-0.2711783226222715	0	1	0	0	0
Pravoslavlevia	-0.3033557921828507	0	1	0	0	0
Pristerodon	0.8882596797218537	0	0	0	1	0
Pristerognathoides	-0.3033557921828507	0	0	0	1	0
Pristerognathus	-0.3033557921828507	0	0	0	1	0
Pristerosaurus	-0.3033557921828507	0	0	0	1	0
Probainognathus	-0.3033557921828507	0	0	0	1	0
Proburnetia	-0.3033557921828507	0	1	0	0	0
Procynosuchus	5.54589842121947	0	1	0	1	0
Prodicynodon	-0.1718659746707467	0	0	0	1	0
Progalesaurus	-0.3033557921828507	0	0	0	1	0
Promoschorhynchus	-0.2011530136240377	0	0	0	1	0
Protheriodon	-0.3033557921828507	0	0	0	1	0
Protuberum	-0.3033557921828507	0	0	0	1	0
Ptomalestes	-0.3033557921828507	0	0	0	1	0
Purlovia	-0.1143888365374913	0	1	0	0	0
Putillosaurus	-0.3033557921828507	0	1	0	0	0
Pyozia	-0.3033557921828507	0	1	0	0	0
Rabidosaurus	-0.1929031836050105	0	1	0	0	0
