Time	mat_z_trans	map_z_trans	wmm_z_trans	cmm_z_trans	wmmcmm_z_trans	wetmon_z_trans	drymon_z_trans	wetdry_z_trans
248.8	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
248.9	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.1	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.2	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.3	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.4	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.5	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.6	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.7	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.8	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
249.9	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.1	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.2	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.3	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.4	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.5	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.6	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.7	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.8	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
250.9	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
251	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
251.1	-1.474915132	-0.484076621	-0.443140496	-1.303851211	0.869743261	-0.556491464	-0.216051829	-0.595315143
251.2	-1.192773285	-0.392594455	1.044762178	-1.662788203	1.798033091	-0.194155716	-0.344357448	-0.011803866
251.3	-1.192773285	-0.392594455	1.044762178	-1.662788203	1.798033091	-0.194155716	-0.344357448	-0.011803866
251.4	-1.192773285	-0.392594455	1.044762178	-1.662788203	1.798033091	-0.194155716	-0.344357448	-0.011803866
