Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
237.3,0.742399336,0.831026493
237.4,0.742399336,0.831026493
237.5,0.742399336,0.831026493
237.6,0.742399336,0.831026493
237.7,0.742399336,0.831026493
237.8,0.742399336,0.831026493
237.9,0.742399336,0.831026493
238,0.742399336,0.831026493
238.1,0.742399336,0.831026493
238.2,0.742399336,0.831026493
238.3,0.742399336,0.831026493
238.4,0.742399336,0.831026493
238.5,0.742399336,0.831026493
238.6,0.742399336,0.831026493
238.7,0.742399336,0.831026493
238.8,0.742399336,0.831026493
238.9,0.742399336,0.831026493
239,0.742399336,0.831026493
239.1,0.742399336,0.831026493
239.2,0.742399336,0.831026493
239.3,0.742399336,0.831026493
239.4,0.742399336,0.831026493
239.5,0.742399336,0.831026493
239.6,0.742399336,0.831026493
239.7,0.742399336,0.831026493
239.8,0.742399336,0.831026493
239.9,0.742399336,0.831026493
240,0.742399336,0.831026493
240.1,0.742399336,0.831026493
240.2,0.742399336,0.831026493
240.3,0.742399336,0.831026493
240.4,0.742399336,0.831026493
240.5,0.742399336,0.831026493
240.6,0.742399336,0.831026493
240.7,0.742399336,0.831026493
240.8,0.742399336,0.831026493
240.9,0.742399336,0.831026493
241,0.742399336,0.831026493
241.1,0.742399336,0.831026493
241.2,0.742399336,0.831026493
241.3,0.742399336,0.831026493
241.4,0.742399336,0.831026493
241.5,0.742399336,0.831026493
241.6,0.742399336,0.831026493
241.7,0.742399336,0.831026493
241.8,0.742399336,0.831026493
241.9,0.742399336,0.831026493
242,0.94087146,0.084910612
242.1,0.94087146,0.084910612
242.2,0.94087146,0.084910612
242.3,0.94087146,0.084910612
242.4,0.94087146,0.084910612
242.5,0.94087146,0.084910612
242.6,0.94087146,0.084910612
242.7,0.94087146,0.084910612
242.8,0.94087146,0.084910612
242.9,0.94087146,0.084910612
243,0.94087146,0.084910612
243.1,0.94087146,0.084910612
243.2,0.94087146,0.084910612
243.3,0.94087146,0.084910612
243.4,0.94087146,0.084910612
243.5,0.94087146,0.084910612
243.6,0.94087146,0.084910612
