genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Colobops,9.712786,9.712786,0,0,1,0,0,0.0,-0.3368251980293161
Coloradisaurus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.3368251980293161
Coloradisuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.3368251980293161
Concavispina,27.01127,27.01127,0,1,0,0,0,0.0,-0.3368251980293161
Contectopalatus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3368251980293161
Cornualbus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Corosaurus,16.0684,16.0684,0,0,1,0,0,0.0,-0.3368251980293161
Cosesaurus,12.62107,12.62107,0,0,1,0,0,0.0,-0.3368251980293161
Crosbysaurus,-1.470099,1.358284,0,0,1,0,0,2.828383,-0.12390939737759665
Ctenosauriscus,28.45267,28.45267,0,1,0,0,0,0.0,-0.3368251980293161
Cyamodus,14.2073,31.13755,0,1,1,0,0,16.93025,0.9376548614194123
Cymatosaurus,22.98052,29.8481,0,1,1,0,0,6.86758,0.18015439569605113
Cymbospondylus,16.03868,47.30527,0,1,1,0,0,31.26659,2.016869843801668
Czatkowiella,29.45002,29.45002,0,1,0,0,0,0.0,-0.3368251980293161
Dactylosaurus,27.06795,29.56131,0,1,0,0,0,2.493359999999999,-0.14912935177618453
Daemonosaurus,8.831093,8.831093,0,0,1,0,0,0.0,-0.3368251980293161
Dagasuchus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Dawazisaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Decuriasuchus,-49.04351,-47.42171,0,0,0,1,0,1.6218000000000004,-0.21473888740697156
Delorhynchus,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
Deltadectes,30.98263,37.62532,0,1,0,0,0,6.642690000000002,0.16322506384510843
Deltavjatia,44.38761,44.38761,0,1,0,0,0,0.0,-0.3368251980293161
Desmatosuchus,-1.470099,9.714393,0,0,1,0,0,11.184491999999999,0.505124095635209
Diandongosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Diandongosuchus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3368251980293161
Dianmeisaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Dianopachysaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Dimetropus,15.55887,15.55887,0,0,1,0,0,0.0,-0.3368251980293161
Dimorphodon,38.29723,38.29723,0,1,0,0,0,0.0,-0.3368251980293161
Dinocephalosaurus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Diphydontosaurus,-1.470099,37.53662,0,1,1,0,0,39.006719,2.5995334233743748
Dolabrosaurus,3.836582,3.836582,0,0,1,0,0,0.0,-0.3368251980293161
Dolerosaurus,29.81785,29.81785,0,1,0,0,0,0.0,-0.3368251980293161
Dolichobrachium,9.714393,9.714393,0,0,1,0,0,0.0,-0.3368251980293161
Doliovertebra,26.46257,26.46257,0,1,0,0,0,0.0,-0.3368251980293161
Dongusuchus,46.885,48.82432,0,1,0,0,0,1.9393200000000022,-0.19083652870133153
Dorosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.3368251980293161
Doswellia,-1.470099,3.84681,0,0,1,0,0,5.316909,0.06342255368158475
Dracoraptor,38.29723,38.29723,0,1,0,0,0,0.0,-0.3368251980293161
Drepanosaurus,3.836582,32.92995,0,1,1,0,0,29.093367999999998,1.85327343478495
Dromomeron,-52.85442,6.088668,0,0,1,1,0,58.943087999999996,4.100308943423505
Dynamosuchus,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Dyoplax,27.85164,27.85164,0,1,0,0,0,0.0,-0.3368251980293161
Ebrachosuchus,29.61478,29.61478,0,1,0,0,0,0.0,-0.3368251980293161
Effigia,8.831093,8.831093,0,0,1,0,0,0.0,-0.3368251980293161
Efraasia,32.59323,32.59323,0,1,0,0,0,0.0,-0.3368251980293161
Eifelosaurus,25.02402,25.02402,0,1,0,0,0,0.0,-0.3368251980293161
Elachistosuchus,42.70672,42.70672,0,1,0,0,0,0.0,-0.3368251980293161
Elessaurus,-46.32232,-46.32232,0,0,0,1,0,0.0,-0.3368251980293161
Elginia,27.72345,38.44569,0,1,0,0,0,10.72224,0.4703265612550142
Elorhynchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3368251980293161
Embrithosaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3368251980293161
Emeroleter,44.38761,44.38761,0,1,0,0,0,0.0,-0.3368251980293161
Endennasaurus,20.34746,20.34746,0,0,1,0,0,0.0,-0.3368251980293161
Energosuchus,51.56832,51.56832,0,1,0,0,0,0.0,-0.3368251980293161
Eodromaeus,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Eohupehsuchus,15.35236,15.35236,0,0,1,0,0,0.0,-0.3368251980293161
Eohyosaurus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3368251980293161
Eomurruna,-54.016,-52.15324,0,0,0,1,0,1.8627600000000015,-0.196599833634891
Eoplesiosaurus,36.29446,36.29446,0,1,0,0,0,0.0,-0.3368251980293161
