genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Milleropsis,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.12787718509906776
Millerosaurus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.12787718509906776
Moradisaurus,-12.38375,-9.576991,0,0,1,0,0,2.8067589999999996,-0.091010551317172
Mystriosuchus,20.34746,42.70672,0,1,1,0,0,22.359259999999995,1.3562485511107023
Nambalia,-25.48265,-25.48265,0,0,0,1,0,0.0,-0.29876440904981494
Nanchangosaurus,15.35236,20.78674,0,0,1,0,0,5.434380000000003,0.10348366760554477
Nanoparia,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.12787718509906776
Neoaetosauroides,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.29876440904981494
Neoprocolophon,40.81749,40.81749,0,1,0,0,0,0.0,-0.29876440904981494
Nhandumirim,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.29876440904981494
Nicrosaurus,1.357201,35.99011,0,1,1,0,0,34.632909,2.264733365163635
Nochelesaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.29876440904981494
Notatesseraeraptor,30.98263,30.98263,0,1,0,0,0,0.0,-0.29876440904981494
Noteosuchus,-62.64909,-62.64909,0,0,0,1,0,0.0,-0.29876440904981494
