occurrence_no,locality,county_original,state,cc,notes
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930391,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930392,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,
930393,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
930394,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
930395,Baden-Wurttemberg,Heilbronn,Baden-Wurttemberg,DE,
930821,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
932452,Baden-Wurttemberg,Rems-Murr-Kreis,Baden-Wurttemberg,DE,
985111,Baden-Wurttemberg,Freudenstadt,Baden-Wurttemberg,DE,
985112,Baden-Wurttemberg,Calw,Baden-Wurttemberg,DE,
985128,Baden-Wurttemberg,Neckar-Odenwald-Kreis,Baden-Wurttemberg,DE,
985129,Baden-Wurttemberg,Freudenstadt,Baden-Wurttemberg,DE,
1091731,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1091732,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1099423,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
1099958,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
1338636,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
1418701,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419585,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
1419594,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419597,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
1419635,Baden-Wurttemberg,Waldshut,Baden-Wurttemberg,DE,
1419642,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
1419643,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
1419644,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,
1419645,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419646,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419647,Baden-Wurttemberg,Calw,Baden-Wurttemberg,DE,
1419648,Baden-Wurttemberg,Freudenstadt,Baden-Wurttemberg,DE,
1419649,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419650,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419651,Baden-Wurttemberg,Stuttgart,Baden-Wurttemberg,DE,
1423618,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
1419641,Bavaria,,Bavaria,DE,
1639000,Bavaria,,Bavaria,DE,
880951,Bavaria,Bamberg,Bavaria,DE,
881085,Bavaria,Bamberg,Bavaria,DE,
881089,Bavaria,Bamberg,Bavaria,DE,
881090,Bavaria,Bamberg,Bavaria,DE,
881093,Bavaria,Bamberg,Bavaria,DE,
881094,Bavaria,Bamberg,Bavaria,DE,
882294,Bavaria,Kronach,Bavaria,DE,
1016311,Bavaria,Mittelfranken,Bavaria,DE,
1016312,Bavaria,Mittelfranken,Bavaria,DE,
1016313,Bavaria,Mittelfranken,Bavaria,DE,
1016314,Bavaria,Mittelfranken,Bavaria,DE,
1076088,Hessen,Oberhessen,Hessen,DE,
1076089,Hessen,,Hessen,DE,
1315479,Saxony,Bockelwitz,Saxony,DE,
1330421,Saxony,Bockelwitz,Saxony,DE,
1334970,Saxony,Bockelwitz,Saxony,DE,
1338616,Saxony,Bockelwitz,Saxony,DE,
1330336,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1336743,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338559,Rhineland-Palatinate,Kaiserslautern,Rhineland-Palatinate,DE,
1338620,Rhineland-Palatinate,Kaiserslautern,Rhineland-Palatinate,DE,
1338621,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1338625,Rhineland-Palatinate,Kaiserslautern,Rhineland-Palatinate,DE,
1338627,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1338632,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338770,Rhineland-Palatinate,Kaiserslautern,Rhineland-Palatinate,DE,
1338871,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1338882,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338891,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338892,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338900,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1338902,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1338912,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1642295,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1642296,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338558,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338619,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338622,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338623,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338624,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338626,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338628,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338631,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338633,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338634,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338759,Rhineland-Palatinate,Donnersbergkreis,Rhineland-Palatinate,DE,
1338761,Rhineland-Palatinate,Donnersbergkreis ,Rhineland-Palatinate,DE,
1338764,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338765,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338766,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338767,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338768,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338769,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338771,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338796,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338861,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338862,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338863,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338874,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338875,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338876,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338878,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338879,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338880,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338881,Rhineland-Palatinate,Kusel,Rhineland-Palatinate,DE,
1338909,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1333239,Rhineland-Palatinate,Kusel district,Rhineland-Palatinate,DE,
1337697,Rhineland-Palatinate,Bad Kreuznach,Rhineland-Palatinate,DE,
1338872,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1338873,Rhineland-Palatinate,,Rhineland-Palatinate,DE,
1337750,Rhineland-Palatinate,Donnersbergkreis district,Rhineland-Palatinate,DE,
1338883,Saarland,,Saarland,DE,
1338885,Saarland,,Saarland,DE,
1338890,Saarland,Saarlouis,Saarland,DE,
1338901,Saarland,,Saarland,DE,
1338910,Saarland,,Saarland,DE,
1567399,Saarland,,Saarland,DE,
1584331,Saarland,Lebach/Saar,Saarland,DE,
1104070,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104073,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104074,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104076,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104083,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104084,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104088,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1104091,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1315480,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
1419107,Sachsen-Anhalt,Salzlandkreis,Sachsen-Anhalt,DE,
1419108,Sachsen-Anhalt,Salzlandkreis,Sachsen-Anhalt,DE,
1419653,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
517728,Saxony,Weisseritzkreis,Saxony,DE,
517729,Saxony,Weisseritzkreis,Saxony,DE,
517730,Saxony,Weisseritzkreis,Saxony,DE,
517731,Saxony,Weisseritzkreis,Saxony,DE,
517732,Saxony,Weisseritzkreis,Saxony,DE,
1338557,Saxony,,Saxony,DE,
1423664,Saxony,Weisseritzkreis,Saxony,DE,
1315481,Saxony,,Saxony,DE,
1076287,Schleswig-Holstein,Pinneburg,Schleswig-Holstein,DE,
1419634,Schwarzwald,,Baden-Wurttemberg,DE,
1076974,Thuringia,Wartburgkreis,Thuringia,DE,
1419589,Thuringia,,Thuringia,DE,
1419590,Thuringia,,Thuringia,DE,
1419591,Thuringia,,Thuringia,DE,
1419592,Thuringia,,Thuringia,DE,
1419596,Thuringia,,Thuringia,DE,
1338551,Thuringia,,Thuringia,DE,
1338552,Thuringia,,Thuringia,DE,
790003,Thuringia,Gotha,Thuringia,DE,
825283,Thuringia,Gotha,Thuringia,DE,
929775,Thuringia,Ilm-Kreis,Thuringia,DE,
929808,Thuringia,Erfurt,Thuringia,DE,
929809,Thuringia,,Thuringia,DE,
929812,Thuringia,Hildburghausen,Thuringia,DE,
1016620,Thuringia,Gotha,Thuringia,DE,
1315463,Thuringia,Gotha District,Thuringia,DE,
1315505,Thuringia,Emsetal,Thuringia,DE,
1338317,Thuringia,Suhl,Thuringia,DE,
1338507,Thuringia,Emsetal,Thuringia,DE,
1338510,Thuringia,,Thuringia,DE,
1338514,Thuringia,,Thuringia,DE,
1338519,Thuringia,Emsetal,Thuringia,DE,
1338520,Thuringia,,Thuringia,DE,
1338553,Thuringia,,Thuringia,DE,
1338554,Thuringia,,Thuringia,DE,
1338566,Thuringia,,Thuringia,DE,
1338566,Thuringia,,Thuringia,DE,
1338566,Thuringia,,Thuringia,DE,
1338613,Thuringia,,Thuringia,DE,
1338615,Thuringia,Emsetal,Thuringia,DE,
1338617,Thuringia,,Thuringia,DE,
1338618,Thuringia,,Thuringia,DE,
1338794,Thuringia,Gotha,Thuringia,DE,
1338795,Thuringia,,Thuringia,DE,
1338809,Thuringia,Suhl,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
1340709,Thuringia,Gotha District,Thuringia,DE,
