accepted_name	min_ma	max_ma	geoplate	paleolng	paleolat	terrestrial
Captorhinikos	273.01	283.5	101.0	-29.23	1.85	1
Captorhinikos	273.01	283.5	101.0	-26.92	2.3	1
Captorhinikos	273.01	283.5	101.0	-26.91	2.19	1
Labidosaurus	273.01	283.5	101.0	-28.93	1.77	1
Labidosaurikos	273.01	283.5	101.0	-29.23	1.84	1
Captorhinus	273.01	283.5	101.0	-29.23	1.84	1
Captorhinikos	273.01	283.5	101.0	-29.23	1.84	1
Captorhinikos	273.01	283.5	101.0	-29.23	1.88	1
Captorhinus	273.01	283.5	101.0	-29.23	1.88	1
Labidosaurikos	273.01	283.5	101.0	-29.04	1.64	1
Captorhinus	273.01	283.5	101.0	-30.15	0.6	1
Captorhinikos	273.01	283.5	101.0	-30.15	0.6	1
Captorhinoides	273.01	283.5	101.0	-30.15	0.6	1
Labidosaurikos	273.01	283.5	101.0	-30.15	0.6	1
Labidosaurikos	273.01	283.5	101.0	-30.16	0.72	1
Captorhinus	273.01	283.5	101.0	-30.16	0.72	1
Captorhinikos	273.01	283.5	101.0	-30.16	0.72	1
Labidosaurikos	273.01	283.5	101.0	-30.16	0.72	1
Labidosaurus	273.01	283.5	101.0	-30.16	0.72	1
Dromopus	273.01	283.5	101.0	-30.21	0.91	1
Nyctiboetus	273.01	283.5	302.0	40.62	32.1	1
Gecatogomphius	266.9	276.5	302.0	43.55	27.04	1
Nyctiboetus	266.9	276.5	302.0	41.78	28.25	1
Gecatogomphius	266.9	276.5	302.0	44.62	26.57	1
Nyctiboetus	266.9	276.5	302.0	41.78	28.25	1
Belebey	266.9	273.01	604.0	109.15	26.65	1
Gansurhinus	266.9	273.01	604.0	109.15	26.65	1
Gecatogomphius	266.9	273.01	302.0	47.51	27.06	1
Rothianiscus	264.28	273.01	101.0	-24.94	7.96	1
Rothianiscus	264.28	273.01	101.0	-24.97	8.01	1
Rothianiscus	264.28	273.01	101.0	-24.95	8.03	1
Rothianiscus	264.28	273.01	101.0	-24.95	8.02	1
Rothianiscus	264.28	273.01	101.0	-24.89	7.86	1
Rothianiscus	264.28	273.01	101.0	-24.88	7.76	1
Rothianiscus	264.28	273.01	101.0	-24.84	7.58	1
Rothianiscus	264.28	273.01	101.0	-24.87	7.9	1
Rothianiscus	264.28	273.01	101.0	-24.85	7.85	1
Nycteroleter	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Macroleter	264.28	273.01	101.0	-24.95	8.03	1
Lanthaniscus	264.28	273.01	302.0	38.57	34.74	1
Lanthaniscus	264.28	273.01	302.0	37.62	34.99	1
Bashkyroleter	264.28	273.01	302.0	37.62	34.99	1
Nycteroleter	264.28	273.01	302.0	37.62	34.99	1
Macroleter	264.28	273.01	302.0	37.62	34.99	1
Bashkyroleter	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Macroleter	264.28	273.01	302.0	37.62	34.99	1
Bashkyroleter	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Bashkyroleter	264.28	273.01	302.0	37.62	34.99	1
Lanthanolania	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Nyctiphruretus	264.28	273.01	302.0	37.62	34.99	1
Bashkyroleter	264.28	273.01	302.0	37.62	34.99	1
Macroleter	264.28	273.01	302.0	38.57	34.74	1
Rhipaeosaurus	264.28	266.9	302.0	51.49	30.24	1
Belebey	264.28	266.9	302.0	51.51	30.26	1
Macroleter	264.28	266.9	302.0	52.72	29.14	1
Bashkyroleter	264.28	266.9	302.0	51.51	30.26	1
Belebey	264.28	266.9	302.0	52.72	29.14	1
Belebey	264.28	266.9	302.0	51.52	29.69	1
Rhipaeosaurus	264.28	266.9	302.0	51.51	30.26	1
Kinelia	264.28	266.9	302.0	48.05	29.23	1
Provelosaurus	259.51	266.9	201.0	-24.87	-40.2	1
Permotriturus	259.51	266.9	302.0	51.68	34.35	1
Lanthanosuchus	259.51	266.9	302.0	51.68	34.35	1
Bradysaurus	259.51	264.28	701.0	-27.73	-52.68	1
Deltavjatia	259.51	264.28	302.0	49.9	37.54	1
Emeroleter	259.51	264.28	302.0	49.9	37.54	1
Eunotosaurus	259.51	264.28	701.0	-25.6	-52.67	1
Australothyris	259.51	264.28	701.0	-27.7	-52.15	1
Deltavjatia	259.51	264.28	302.0	49.9	37.54	1
Broomia	259.51	264.28	701.0	-26.46	-56.55	1
Broomia	259.51	264.28	701.0	-27.68	-52.85	1
Eunotosaurus	259.51	264.28	701.0	-28.67	-52.85	1
Eunotosaurus	259.51	264.28	701.0	-26.3	-56.81	1
Eunotosaurus	259.51	264.28	701.0	-28.55	-52.95	1
Eunotosaurus	259.51	264.28	701.0	-27.74	-53.14	1
Eunotosaurus	259.51	264.28	701.0	-27.95	-52.72	1
Scutosaurus	259.51	264.28	302.0	51.93	34.33	1
Bradysaurus	259.51	264.28	701.0	-27.95	-52.72	1
Bradysaurus	259.51	264.28	701.0	-27.9	-52.78	1
Bradysaurus	259.51	264.28	701.0	-28.39	-53.0	1
Bradysaurus	259.51	264.28	701.0	-28.49	-53.08	1
Bradysaurus	259.51	264.28	701.0	-28.6	-52.91	1
Bradysaurus	259.51	264.28	701.0	-27.77	-53.03	1
Bradysaurus	259.51	264.28	701.0	-28.32	-52.78	1
Bradysaurus	259.51	264.28	701.0	-27.7	-53.03	1
Bradysaurus	259.51	264.28	701.0	-27.68	-52.85	1
Bradysaurus	259.51	264.28	701.0	-28.49	-53.08	1
Bradysaurus	259.51	264.28	701.0	-28.39	-53.0	1
Eorasaurus	259.51	264.28	302.0	51.93	34.33	1
Pareiasaurus	259.51	264.28	701.0	-27.18	-52.83	1
Pareiasuchus	259.51	264.28	701.0	-27.18	-52.83	1
Bradysaurus	259.51	264.28	701.0	-28.6	-53.09	1
Bradysaurus	259.51	264.28	701.0	-28.46	-53.34	1
Pareiasaurus	259.51	264.28	701.0	-28.99	-53.19	1
Bradysaurus	259.51	264.28	701.0	-28.49	-53.08	1
Bradysaurus	259.51	264.28	701.0	-28.49	-53.08	1
Bradysaurus	259.51	264.28	701.0	-28.46	-51.83	1
Deltavjatia	259.51	264.28	302.0	49.9	37.54	1
Scutosaurus	259.51	264.28	302.0	54.9	34.02	1
Scutosaurus	259.51	264.28	302.0	55.49	34.02	1
Eunotosaurus	259.51	264.28	701.0	-22.45	-54.3	1
Nochelesaurus	259.51	264.28	701.0	-26.66	-53.28	1
Embrithosaurus	259.51	264.28	701.0	-29.04	-52.97	1
Styracocephalus	259.51	264.28	701.0	-27.74	-53.14	1
Styracocephalus	259.51	264.28	701.0	-28.49	-53.08	1
Styracocephalus	259.51	264.28	701.0	-28.55	-52.95	1
Bradysaurus	259.51	264.28	701.0	-28.49	-51.97	1
Bradysaurus	259.51	264.28	701.0	-28.39	-53.12	1
Nochelesaurus	259.51	264.28	701.0	-27.68	-52.85	1
Nochelesaurus	259.51	264.28	701.0	-26.66	-53.28	1
Nochelesaurus	259.51	264.28	701.0	-28.49	-53.08	1
Embrithosaurus	259.51	264.28	701.0	-28.6	-52.91	1
Nochelesaurus	259.51	264.28	701.0	-28.49	-53.08	1
Bradysaurus	259.51	264.28	701.0	-28.32	-52.78	1
