occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374684,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374685,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Niaftasuchus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374689,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374691,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Alrausuchus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374694,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374696,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Niaftasuchus,273.01,264.28
1374697,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Pyozia,273.01,264.28
1374700,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374700,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
