accepted_name,terrestrial,paleolat_normalized
Howesia,1.0,-1.8
Hudsonelpidia,0.0,0.9
Hupehsuchus,1.0,-0.3
Hwiccewyrm,1.0,1.0
Hyloidichnus,1.0,-0.3
Hyperodapedon,1.0,-1.2
Hypselorhachis,1.0,-1.5
Hypsognathus,1.0,0.6
Hypuronector,1.0,0.3
Icarosaurus,1.0,0.3
Ichthyosaurus,0.0,0.9
Ichthyotitan,0.0,0.9
Idiosaura,1.0,0.3
Ignotosaurus,1.0,-1.3
Incertovenator,1.0,-1.3
Ingentia,1.0,-1.5
Isfjordosaurus,0.0,1.7
Isochirotherium,1.0,0.6
Issi,1.0,1.3
Ixalerpeton,1.0,-1.4
Jaklapallisaurus,1.0,-1.3
Jaxtasuchus,1.0,0.8
Jesairosaurus,1.0,-0.0
Jingshanosaurus,1.0,1.1
Jushatyria,1.0,1.2
Kadimakara,1.0,-2.4
Kalisuchus,1.0,-2.4
Kalosauropus,1.0,1.3
Kapes,1.0,1.1
Kayentapus,1.0,0.8
Keichousaurus,0.0,-0.4
Kenyasaurus,1.0,-1.4
Kholumolumo,1.0,-1.9
Kinelia,1.0,0.9
Kintneria,1.0,0.3
Kitchingnathus,1.0,-1.9
Kocurypelta,1.0,1.0
Koiloskiosaurus,1.0,0.8
Komlosaurus,1.0,0.7
Kranosaura,1.0,-1.3
Krzyzanowskisaurus,1.0,0.2
Kudnu,1.0,-2.4
Kuehneosaurus,1.0,1.0
Kuehneosuchus,1.0,1.0
Kwangsisaurus,0.0,-0.6
Labidosaurikos,1.0,-0.1
Labidosauriscus,1.0,-0.2
Labidosaurus,1.0,-0.1
Lagerpeton,1.0,-1.3
Lanceirosphenodon,1.0,-1.4
Langeronyx,1.0,0.8
Langobardisaurus,1.0,0.6
Lanthaniscus,1.0,1.0
Lanthanolania,1.0,1.0
Lanthanosuchus,1.0,1.0
Laquintasaura,1.0,-0.2
Largocephalosaurus,1.0,-0.5
Lariosaurus,0.0,0.3
Lasasaurus,1.0,-1.3
Lavinipes,1.0,0.8
Lepidus,1.0,0.1
Leptonectes,0.0,1.0
Leptosuchus,1.0,0.2
Lessemsaurus,1.0,-1.5
Lewisuchus,1.0,-1.3
Libognathus,1.0,0.1
Liliensternus,1.0,0.9
Lindwurmia,0.0,1.2
Litorosuchus,1.0,-0.4
Lophostropheus,1.0,0.9
Lotosaurus,1.0,-0.3
Lucasuchus,1.0,0.2
Lucianosaurus,1.0,0.2
Lucianovenator,1.0,-1.5
Lufengosaurus,1.0,1.1
Lukousaurus,1.0,1.1
Luopingosaurus,0.0,-0.5
Luperosuchus,1.0,-1.3
Macgowania,0.0,0.9
Machaeroprosopus,1.0,0.2
Macrocnemus,1.0,0.3
Macrocollum,1.0,-1.4
Macroleter,1.0,0.8
Macroplacus,0.0,1.0
Macroplata,0.0,1.1
Maehary,1.0,-1.4
Mafatrisauropus,1.0,0.9
Majiashanosaurus,0.0,0.0
Malerisaurus,1.0,0.1
Malutinisuchus,1.0,1.4
Mambawakale,1.0,-1.5
Mandaphon,1.0,-1.5
Mandasuchus,1.0,-1.5
Marasuchus,1.0,-1.3
Marcianosuchus,1.0,0.7
Massospondylus,1.0,-1.5
Mbiresaurus,1.0,-1.5
Mecistotrachelos,1.0,0.2
Megachirella,1.0,0.3
Megalancosaurus,1.0,0.6
Megalosauripus,1.0,1.3
Megalosaurus,1.0,0.9
Megapnosaurus,1.0,0.3
Mehliella,0.0,0.4
Melanorosaurus,1.0,-1.9
Merriamosaurus,0.0,1.7
Mesodapedon,1.0,-1.5
Mesosaurus,0.0,-1.8
Mesosuchus,1.0,-1.8
Metamosaurus,1.0,-0.2
Metashastasaurus,0.0,1.0
Microcnemus,1.0,1.2
Microleter,1.0,-0.2
Micromenodon,1.0,0.2
Microsphenodon,1.0,-1.4
Mikadocephalus,0.0,1.0
Milleretta,1.0,-1.8
Millerinoides,1.0,-1.8
Milleropsis,1.0,-1.8
Millerosaurus,1.0,-1.8
Miodentosaurus,0.0,-0.1
Mixosaurus,0.0,0.2
Moradisaurus,1.0,-0.5
Mystriosuchus,1.0,0.8
Nambalia,1.0,-1.3
Nanchangosaurus,1.0,-0.3
Nanoparia,1.0,-1.8
Nectosaurus,0.0,0.6
Neoaetosauroides,1.0,-1.5
Neoprocolophon,1.0,0.3
Neusticosaurus,0.0,0.4
Nhandumirim,1.0,-1.4
Nicrosaurus,1.0,0.8
Nochelesaurus,1.0,-1.9
Notatesseraeraptor,1.0,0.8
Noteosuchus,1.0,-1.8
Nothosaurus,0.0,0.6
Nundasuchus,1.0,-1.5
Nyasasaurus,1.0,-1.5
Nycteroleter,1.0,1.0
Nyctiboetus,1.0,0.8
Nyctiphruretus,1.0,1.0
Obirkovia,1.0,1.1
Odoiporosaurus,0.0,0.4
Odontochelys,1.0,0.2
Omphalosaurus,0.0,0.8
Onychichnium,1.0,0.2
Opisthodontosaurus,1.0,-0.2
Orenburgia,1.0,1.5
Orovenator,1.0,-0.2
Oryctorhynchus,1.0,0.5
Oryporan,1.0,-1.3
Osmolskina,1.0,0.8
Otozoum,1.0,0.3
Owenetta,1.0,-1.8
Ozimek,1.0,0.9
Pachypes,1.0,0.1
Pachypleurosaurus,0.0,0.4
Pachystropheus,1.0,1.0
Palacrodon,1.0,-1.2
Palaeagama,1.0,-1.9
Palaeochersis,1.0,-1.5
Palaeosaurus,1.0,0.8
Palatodonta,0.0,0.8
Paleollanosaurus,1.0,0.5
Paliguana,1.0,-1.8
Palmichnus,1.0,0.8
Pamelaria,1.0,-1.6
Pamelina,1.0,0.8
Pampadromaeus,1.0,-1.4
Panguraptor,1.0,1.1
Panphagia,1.0,-1.3
Pantydraco,1.0,1.0
Panzhousaurus,0.0,-0.5
Pappochelys,1.0,0.8
Parabrontopodus,1.0,1.1
Parachirotherium,1.0,0.4
Paradoxichnium,1.0,0.8
Parahupehsuchus,1.0,-0.4
Paralonectes,0.0,1.1
Paraplacodus,0.0,0.4
Pararcus,0.0,0.8
Parasaurus,1.0,0.7
Parasuchus,1.0,0.2
Parasynaptichnium,1.0,0.4
Paratrisauropus,1.0,-1.3
Paratypothorax,1.0,0.3
Pareiasaurus,1.0,-1.8
Pareiasuchus,1.0,-1.8
Parringtonia,1.0,-1.5
Partanosaurus,0.0,0.4
Parvinatator,0.0,1.1
Pectodens,1.0,-0.5
Pelecymala,1.0,1.0
Pendraig,1.0,1.0
Pengxianpus,1.0,1.0
Pentaedrusaurus,1.0,0.4
Permotriturus,1.0,1.0
Pessopteryx,0.0,1.7
Peteinosaurus,0.0,0.6
Phaanthosaurus,1.0,1.2
Phalangichnus,1.0,0.7
Phalarodon,0.0,0.8
Phantomosaurus,0.0,0.8
Phonodus,1.0,-1.8
Pisanosaurus,1.0,-1.3
Pistosaurus,0.0,0.8
Placochelys,0.0,0.6
Placodus,0.0,0.7
Planocephalosaurus,1.0,0.9
Plateosauravus,1.0,-1.9
Plateosaurus,1.0,0.8
Platypterna,1.0,0.5
Plectropterna,1.0,0.5
Plesiornis,1.0,0.7
Plesiosaurus,0.0,1.0
Polesinesuchus,1.0,-1.4
Polonosuchus,1.0,0.9
Polymorphodon,1.0,0.8
Poposaurus,1.0,0.3
Postosuchus,1.0,0.2
Powellvenator,1.0,-1.5
Pravusuchus,1.0,0.2
Preondactylus,0.0,0.6
Prestosuchus,1.0,-1.3
Procerosuchus,1.0,-1.3
Prochirotherium,1.0,0.3
Procolina,1.0,0.8
Procolophon,1.0,-1.8
Procolophonichnium,1.0,0.1
Procompsognathus,1.0,0.9
Proganochelys,1.0,0.7
Prolacerta,1.0,-2.0
Prolacertoides,1.0,-0.1
Prorotodactylus,1.0,0.7
Prosantosaurus,0.0,0.4
Prosaurosphargis,1.0,-0.4
Protanystropheus,1.0,0.8
Protecovasaurus,1.0,0.1
Protenodontosaurus,0.0,0.4
Proteosaurus,0.0,1.0
Proterochampsa,1.0,-1.3
Proterochersis,1.0,0.9
Proterosuchus,1.0,-1.8
Protoavis,1.0,0.1
Protocaptorhinus,1.0,-0.2
Protochirotherium,1.0,0.5
Protoichthyosaurus,0.0,1.0
Protome,1.0,0.2
Protorosaurus,1.0,0.7
Protorothyris,1.0,-0.2
Protosuchus,1.0,0.5
Provelosaurus,1.0,-1.5
Psephochelys,0.0,0.2
Psephoderma,0.0,0.6
Psephosauriscus,0.0,-0.3
Psephosaurus,0.0,0.0
Pseudhesperosuchus,1.0,-1.5
Pseudochampsa,1.0,-1.3
Pseudotetrasauropus,1.0,-0.4
Pseudotrisauropus,1.0,-1.9
Pterodactylus,0.0,1.1
Pumiliopareia,1.0,-1.9
Qianichthyosaurus,0.0,-0.2
Qianosuchus,1.0,-0.5
Qianxisaurus,0.0,-0.4
Quasianosteosaurus,0.0,1.7
Raeticodactylus,0.0,0.7
Raibliania,1.0,0.4
Rautiania,1.0,1.0
Rectilinetopus,1.0,0.4
Redondasuchus,1.0,0.2
Redondavenator,1.0,0.2
Revueltosaurus,1.0,0.2
Rhaeticosaurus,0.0,1.1
Rhipaeosaurus,1.0,0.9
Rhomaleosaurus,0.0,1.0
Rhombopholis,1.0,0.8
Rhynchosauroides,1.0,0.5
Rigalites,1.0,-1.5
Rioarribasuchus,1.0,0.2
Riojasaurus,1.0,-1.5
Riojasuchus,1.0,-1.5
Romeria,1.0,-0.2
Rothianiscus,1.0,0.1
Rotodactylopus,1.0,-1.8
Rotodactylus,1.0,0.6
Ruehleia,1.0,0.9
Rugarhynchos,1.0,0.2
Ruhuhuaria,1.0,-1.5
Rutiodon,1.0,0.2
Sacisaurus,1.0,-1.4
Saltopoides,1.0,0.8
Saltoposuchus,1.0,0.8
Sanchiaosaurus,0.0,-0.5
Sanchuansaurus,1.0,0.2
Sanjuansaurus,1.0,-1.3
Santaisaurus,1.0,-0.1
Sarcosaurus,1.0,1.1
Sarmatosuchus,1.0,1.2
Saturnalia,1.0,-1.5
Saurischichnus,1.0,0.8
Saurodektes,1.0,-1.8
Sauropareion,1.0,-1.8
Sauropodopus,1.0,-1.9
Sauropus,1.0,0.4
Saurorictus,1.0,-1.8
Saurosternon,1.0,-1.8
Saurosuchus,1.0,-1.4
Scelidosaurus,1.0,1.1
Scharschengia,1.0,1.1
Schleitheimia,1.0,0.8
Sclerocormus,1.0,0.0
Sclerosaurus,1.0,0.6
Sclerostropheus,1.0,0.5
Scoloparia,1.0,0.7
Scolotosuchus,1.0,1.0
Scutarx,1.0,0.2
Scutosaurus,1.0,1.1
Scythosuchus,1.0,1.0
Seazzadactylus,0.0,0.5
Selenichnus,1.0,0.5
Serpianosaurus,0.0,0.4
Shansisuchus,1.0,0.3
Shastasaurus,0.0,0.6
Shihtienfenia,1.0,0.3
Shonisaurus,0.0,0.5
Shringasaurus,1.0,-1.5
Shuangbaisaurus,1.0,1.1
Shuvosaurus,1.0,0.2
Sigmala,1.0,1.0
Sikannisuchus,1.0,1.0
Silesaurus,1.0,0.9
Sillosuchus,1.0,-1.3
Simosaurus,0.0,0.5
Sinocyamodus,0.0,0.2
Sinosaurosphargis,1.0,-0.5
Sinosaurus,1.0,1.1
Skybalonyx,1.0,0.2
Smilodonterpeton,1.0,1.0
Smilosuchus,1.0,0.2
Sophineta,1.0,0.8
Soturnia,1.0,-1.4
Soumyasaurus,1.0,0.1
Sphenotitan,1.0,-1.5
Sphodrosaurus,1.0,0.3
Spinosuchus,1.0,0.2
Spondylolestes,1.0,-1.8
Spondylosoma,1.0,-1.3
Stagonolepis,1.0,0.3
Stagonosuchus,1.0,-1.5
Staurikosaurus,1.0,-1.4
Stauromatodon,1.0,0.8
Stegomus,1.0,0.3
Stenaulorhynchus,1.0,-1.5
Stenomyti,1.0,0.3
Stenonyx,1.0,1.3
Stereosternum,0.0,-1.6
Steropoides,1.0,0.5
Stratesaurus,0.0,1.0
Styracocephalus,1.0,-1.9
Suchonosaurus,1.0,1.1
Synaptichnium,1.0,0.6
Syntarsus,1.0,0.2
Syntomiprosopus,1.0,0.2
Tachiraptor,1.0,-0.3
Tanaisosaurus,0.0,1.0
Tangasaurus,1.0,-1.4
Tanystropheus,1.0,0.5
Tanytrachelos,1.0,0.3
Tarjadia,1.0,-1.3
Tarsodactylus,1.0,0.5
Tasmaniosaurus,1.0,-2.6
Tawa,1.0,0.2
Taytalura,1.0,-1.3
Technosaurus,1.0,0.1
Tecovasaurus,1.0,0.1
Tecovasuchus,1.0,0.2
Teleocrater,1.0,-1.5
Temnodontosaurus,0.0,1.0
Teraterpeton,1.0,0.5
Teratophon,1.0,-1.8
Teratosaurus,1.0,-0.1
Termatosaurus,1.0,1.0
Terrestrisuchus,1.0,1.0
Tetrasauropus,1.0,-0.5
Teyujagua,1.0,-1.3
Teyumbaita,1.0,-1.4
