,genus,county,state,occurrence_no,age_max,age_min
518,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14
523,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14
524,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14
525,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14
526,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14
531,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
532,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
533,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
534,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
535,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
536,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
537,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
538,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
539,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
540,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
541,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
542,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
543,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
544,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
545,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14
547,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
548,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
549,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
550,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
551,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
552,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14
553,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
554,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
555,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
556,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
557,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
558,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
559,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
560,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
561,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
562,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
563,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
564,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
565,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
566,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
567,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
568,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
569,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
570,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
571,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
572,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
573,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
574,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14
576,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14
577,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14
578,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14
579,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14
580,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14
585,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
586,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
587,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
588,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
589,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
