,id,occurrence_no,genus,Locality,county_original,state,cc
200,3222,629484,Oromycter,Comanche,Comanche,Oklahoma,US
201,3221,629485,Mycterosaurus,Comanche,Comanche,Oklahoma,US
202,3218,629486,Varanops,Comanche,Comanche,Oklahoma,US
203,3219,629486,Varanops,Comanche,Comanche,Oklahoma,US
204,3220,629486,Varanops,Comanche,Comanche,Oklahoma,US
205,3217,630031,Tricuspes,,,,LU
206,3216,630032,Tricuspes,,,,LU
207,3215,630033,Pseudotriconodon,,,,LU
208,3214,630034,Thomasia,,,,LU
209,3213,630036,Kuehneotherium,,,,LU
210,3212,631448,Dimetrodon,Tillman,Tillman,Oklahoma,US
211,3211,631449,Edaphosaurus,Tillman,Tillman,Oklahoma,US
212,3210,633270,Varanops,Taylor,Taylor,Texas,US
213,3209,639660,Habayia,Gaume,,Gaume,BE
214,3208,645111,Lumkuia,Eastern Cape,,Eastern Cape,ZA
215,3207,665544,Mycterosaurus,Baylor,Baylor,Texas,US
216,3206,668171,Chiniquodon,Rio Grande do Sul,,Rio Grande do Sul,BR
217,3205,668534,Gomphodontosuchus,Rio Grande do Sul,,Rio Grande do Sul,BR
218,3204,668696,Stahleckeria,Rio Grande do Sul,,Rio Grande do Sul,BR
219,3203,668717,Traversodon,Rio Grande do Sul,,Rio Grande do Sul,BR
220,3202,690415,Meurthodon,Meuthe-et-Moselle,Meuthe-et-Moselle,Lorraine,FR
221,3201,702798,Pachydectes,Janesville,Janesville,Eastern Cape,ZA
222,3200,702799,Patranomodon,Eastern Cape,,Eastern Cape,ZA
223,3199,702800,Eodicynodon,Prince Albert,Prince Albert,Eastern Cape,ZA
224,3198,741856,Brasilitherium,Rio Grande do Sul,,Rio Grande do Sul,BR
225,3197,748675,Dimetrodon,Knox,Knox,Texas,US
226,3196,752530,Eothyris,Archer,Archer,Texas,US
227,3195,752568,Casea,Foard,Foard,Texas,US
228,3194,752569,Euromycter,Aveyron,,Aveyron,FR
229,3193,752575,Cotylorhynchus,Logan,Logan,Oklahoma,US
