genus	rotated_lat_scaled
Nanictocephalus	-0.69
Nanictosaurus	-0.735
Nanocynodon	2.09
Nanogomphodon	1.65
Neosaurus	1.19
Niaftasuchus	2.05
Niassodon	-0.41
Nikkasaurus	2.05
Nitosaurus	1.04
Niuksenitia	2.08
Nochnitsa	2.09
Notaelurodon	-0.75
Nothogomphodon	2.105
Notosyodon	2.01
Nshimbodon	-0.41
Nythosaurus	-0.71
Odontocyclops	-0.416
Oedaleops	0.9800000000000001
Oligokyphus	1.91
Olivierosuchus	-0.715
Ophiacodon	0.9206521739130435
Ophidostoma	-0.69
Ordosiodon	2.05
Oromycter	0.9
Otsheria	2.11
Oudenodon_Temperate_S	-0.6288793103448276
Pachydectes	-0.81
Palemydops	-0.71
Pampaphoneus	-0.44
Panchetocynodon	-0.29
Parabradysaurus	1.9649999999999999
Paraburnetia	-0.69
Paragalerhinus	-0.75
Parakannemeyeria_Temperate_N	2.065
Parasuminia	2.01
Paratraversodon	-0.38
Pardosuchus	-0.74
Pascualgnathus	-0.59
Patranomodon	-0.81
Pelanomodon	-0.7269230769230769
Pelictosuchus	-0.75
Pentasauropus_Temperate_S	-0.58
Pentasauropus_Tropical_N	1.02
Pentasaurus	-0.57
Peramodon	2.075
Perplexisaurus	2.0566666666666666
Phocosaurus	-0.7399999999999999
Phreatophasma	1.89
Phthinosaurus	2.0199999999999996
Placerias	0.9446153846153845
Planitorostris	2.42
Platycraniellus	-0.69
Platycyclops	-0.75
Platypodosaurus	-0.35461538461538455
Plinthogomphodon	0.9
Polonodon	1.8
Polycynodon	-0.69
Porosteognathus	1.9833333333333334
Pravoslavlevia	2.08
Pristerodon_Temperate_S	-0.5898181818181818
Pristerognathoides	-0.74
Pristerognathus	-0.74
Pristerosaurus	-0.74
Probainognathus	-0.4033333333333333
Proburnetia	2.09
Procynosuchus_Temperate_N	1.7850000000000001
Procynosuchus_Temperate_S	-0.6770370370370371
Prodicynodon	-0.72
Progalesaurus	-0.74
Promoschorhynchus	-0.74
Prosictodon	-0.84
Protheriodon	-0.38
Protuberum	-0.45199999999999996
Prozostrodon	-0.36000000000000004
Pseudotherium	-0.46
Pseudotriconodon_Temperate_N	1.89
Pseudotriconodon_Tropical_N	0.95
Ptomalestes	-0.74
Purlovia	2.045
Putillosaurus	2.01
Pyozia	2.05
Rabidosaurus	2.185
Raranimus	1.97
Rastodon	-0.44
Rechnisaurus	-0.225
Redondagnathus	0.95
Regisaurus	-0.69
Reiszia	2.05
Remigiomontanus	1.27
Repelinosaurus	0.85
Rewaconodon_Temperate_S	0.1
Rewaconodon_Tropical_S	0.88
Rhachiocephalus	-0.5919047619047619
Rhadiodromus	2.1933333333333334
Rhinodicynodon	2.21
Rhopalodon	2.02
Riebeeckosaurus	-0.74
Riograndia	-0.3
Riojanodon	-0.41
Robertia	-0.687142857142857
Rosieria	1.91
Ruberodon	0.1
Rubidgea	-0.6866666666666666
Ruhuhucerberus	-0.3499999999999999
Ruthenosaurus	1.14
Ruthiromia	1.04
Sangusaurus	-0.3275
Santacruzgnathus	-0.39
Santacruzodon	-0.39
Santagnathus	-0.3
Sauroctonus_Temperate_N	2.06
Sauroctonus_Temperate_S	-0.35
Sauroscaptor	-0.2
Scalenodon	-0.32166666666666666
Scalenodontoides	-0.6
Scalopocephalus	-0.69
Scalopodontes	2.09
Scalopognathus	2.33
Scaloporhinus	-0.75
Scaloposaurus	-0.712
Scaloposuchus	-0.69
Scylacoides	-0.74
Scylacops	-0.6014285714285714
Scylacosaurus	-0.725
Scylacosuchus	2.12
Scymnosaurus	-0.74
Secodontosaurus	0.8859999999999999
Sesamondontoides	-0.76
Shaanbeikannemeyeria	2.05
Shansiodon_Temperate_N	2.0
Shansiodon_Temperate_S	-0.76
Shashajaia	1.06
Shiguaignathus	1.93
Silphedosuchus	2.2
Silphoictidoides	-0.35
Sinoconodon	1.91
Sinognathus	2.0
Sinokannemeyeria	2.0
Sinophoneus	1.97
Sintocephalus	-0.75
Siriusgnathus	-0.33
Sludica	2.06
Smilesaurus	-0.735
Sphenacodon	0.9972727272727273
Stahleckeria	-0.37
Steppesaurus	0.98
Stereophallodon	0.84
Stereorhachis	1.17
Struthiocephaloides	-0.74
Struthiocephalus	-0.7135714285714286
Styracocephalus	-0.74
Suchogorgon	2.08
Suminia	2.0865
Sungeodon	2.53
Sycosaurus	-0.4066666666666667
Syodon	2.0244444444444443
Syops	-0.35
Sysphinctostoma	-0.76
Tambacarnifex	1.33
Tamboeria	-0.74
Taoheodon	1.84
Tapinocaninus	-0.81
Tapinocephalus	-0.74
Tappenosaurus	0.92
Taurocephalus	-0.74
Tenuacaptor	0.93
Tessellatia	-0.42
Tetraceratops	0.95
Tetracynodon	-0.689
Tetragonias	-0.31
Theriognathus	-0.6298591549295774
Therioherpeton	-0.39
Therioides	-0.74
Theroteinus	1.91
Thliptosaurus	-0.76
Thomasia	1.898
Thrinaxodon	-0.693076923076923
Tiarajudens	-0.45
Tigrisuchus	-0.75
Tikitherium	0.1
Titanophoneus	2.0214285714285714
Titanosuchus	-0.7458823529411764
Traversodon	-0.38000000000000006
Traversodontoides	1.94
Trichasaurus	0.89
Tricuspes	1.9066666666666667
Trirachodon	-0.6516666666666667
Tritylodon	-0.57
Trochorhinus	-0.74
Trochosaurus	-0.7399999999999999
Trochosuchus	-0.74
Tropidostoma	-0.7030769230769229
Trucidocynodon	-0.36000000000000004
Turfanodon_Temperate_N	2.2399999999999998
Ufudocyclops	-0.7600000000000001
Ulemica	2.036
Ulemosaurus	2.0119999999999996
Uniserium	1.91
Uralocynodon	2.12
Uralokannemeyeria	2.21
Urumchia	2.48
Ustia	2.08
Varanodon	0.99
Varanops	0.906
Varanosaurus	0.8857142857142858
Vaughnictis	1.07
Venyukovia	2.05
Vetusodon	-0.76
Viatkogorgon	2.09
Viatkosuchus	2.09
Vinceria	-0.38999999999999996
Vivaxosaurus	2.08875
Wadiasaurus	-0.14
Walteria	-0.74
Wantulignathus	-0.62
Watongia	0.99
Woutersia	1.91
Woznikella	1.75
Xiyukannemeyeria	2.521818181818182
Xyrospondylus	0.93
Yikezhaogia	2.05
Zambiasaurus	-0.31
