id	Species	min_age	max_age	Status
3368	Ophiacodon	283.5	290.1	extant
3367	Dimetrodon	283.5	290.1	extant
3366	Edaphosaurus	283.5	290.1	extant
3365	Ophiacodon	283.5	290.1	extant
3364	Dimetrodon	283.5	290.1	extant
3363	Ophiacodon	283.5	290.1	extant
3362	Dimetrodon	283.5	290.1	extant
3361	Dimetrodon	283.5	290.1	extant
3360	Edaphosaurus	283.5	290.1	extant
3359	Ophiacodon	283.5	290.1	extant
3358	Dimetrodon	283.5	290.1	extant
3357	Dimetrodon	283.5	290.1	extant
3356	Dimetrodon	283.5	290.1	extant
3355	Dimetrodon	283.5	290.1	extant
3354	Dimetrodon	283.5	290.1	extant
3353	Edaphosaurus	283.5	290.1	extant
3352	Ophiacodon	283.5	290.1	extant
3351	Dimetrodon	283.5	290.1	extant
3350	Secodontosaurus	283.5	290.1	extant
3349	Dimetrodon	283.5	290.1	extant
3348	Edaphosaurus	283.5	290.1	extant
3347	Varanosaurus	283.5	290.1	extant
3346	Ophiacodon	283.5	290.1	extant
3345	Dimetrodon	283.5	290.1	extant
3344	Ophiacodon	283.5	290.1	extant
3343	Secodontosaurus	283.5	290.1	extant
3342	Edaphosaurus	283.5	290.1	extant
3341	Dimetrodon	283.5	290.1	extant
3340	Ophiacodon	273.01	290.1	extant
3339	Dimetrodon	273.01	290.1	extant
3338	Ophiacodon	273.01	290.1	extant
3337	Dimetrodon	273.01	290.1	extant
3336	Dimetrodon	273.01	290.1	extant
3335	Varanosaurus	273.01	290.1	extant
3334	Ophiacodon	273.01	290.1	extant
3333	Dimetrodon	273.01	290.1	extant
3332	Glaucosaurus	273.01	290.1	extant
3331	Dimetrodon	273.01	283.5	extant
3330	Ophiacodon	273.01	290.1	extant
3329	Dimetrodon	273.01	290.1	extant
3328	Ophiacodon	273.01	290.1	extant
3327	Secodontosaurus	273.01	290.1	extant
3326	Dimetrodon	273.01	290.1	extant
3325	Varanosaurus	273.01	283.5	extant
3324	Tetraceratops	273.01	283.5	extant
3323	Dimetrodon	273.01	283.5	extant
3322	Dimetrodon	273.01	283.5	extant
3321	Edaphosaurus	273.01	283.5	extant
3320	Edaphosaurus	273.01	283.5	extant
3319	Varanops	273.01	283.5	extant
