,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
154,387718,Western Cape,Beaufort West,Western Cape,ZA,,Pristerognathus,264.28,259.51
155,387719,Western Cape,Beaufort West,Western Cape,ZA,,Diictodon,264.28,259.51
156,395922,Ruvuma,Songea,Ruvuma,TZ,,Dicynodon,259.51,254.14
157,395948,Ruvuma,Songea,Ruvuma,TZ,,Platypodosaurus,259.51,254.14
158,406850,Virginia,Chesterfield,Virginia,US,,Boreogomphodon,237.0,227.0
159,406853,Virginia,Chesterfield,Virginia,US,,Microconodon,237.0,227.0
160,406862,Arizona,Apache,Arizona,US,,Placerias,227.0,208.5
161,463420,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Thomasia,208.5,201.4
162,468649,North Carolina,Chatham,North Carolina,US,,Placerias,237.0,227.0
163,474118,San Juan,,San Juan,AR,,Chiniquodon,237.0,227.0
164,483886,Texas,Crosby,Texas,US,,Rewaconodon,227.0,208.5
165,486190,Rio Grande do Sul,,Rio Grande do Sul,BR,,Stahleckeria,242.0,237.0
166,486191,Rio Grande do Sul,,Rio Grande do Sul,BR,,Exaeretodon,242.0,237.0
167,487397,Prince Edward Island,,Prince Edward Island,CA,,Dimetrodon,290.1,283.5
168,490771,Lorraine,Meuthe-et-Moselle,Lorraine,FR,,Theroteinus,208.5,201.4
169,504264,Schaffhausen,,Schaffhausen,CH,,Tricuspes,208.5,201.4
170,504265,Schaffhausen,,Schaffhausen,CH,,Thomasia,208.5,201.4
171,504267,Schaffhausen,,Schaffhausen,CH,,Thomasia,208.5,201.4
172,504268,Schaffhausen,,Schaffhausen,CH,,Thomasia,208.5,201.4
173,504269,Schaffhausen,,Schaffhausen,CH,,Thomasia,208.5,201.4
174,504270,Schaffhausen,,Schaffhausen,CH,,Thomasia,208.5,201.4
175,504272,Schaffhausen,,Schaffhausen,CH,,Morganucodon,208.5,201.4
176,504273,Schaffhausen,,Schaffhausen,CH,,Morganucodon,208.5,201.4
177,504274,Schaffhausen,,Schaffhausen,CH,,Helvetiodon,208.5,201.4
178,504275,Schaffhausen,,Schaffhausen,CH,,Hallautherium,208.5,201.4
179,517589,Arizona,Apache,Arizona,US,,Placerias,227.0,208.5
180,518728,San Juan,Valle Fertil,San Juan,AR,,Exaeretodon,237.0,227.0
181,518728,San Juan,Valle Fertil,San Juan,AR,,Exaeretodon,237.0,227.0
182,518728,San Juan,Valle Fertil,San Juan,AR,,Exaeretodon,237.0,227.0
183,534102,Colorado,Mesa,Colorado,US,,Pentasauropus,227.0,208.5
184,536061,Rio Grande do Sul,,Rio Grande do Sul,BR,,Riograndia,227.0,208.5
185,538743,Luxemburg,,Diekirch,LU,,Pseudotriconodon,216.7,213.2
186,538744,Luxemburg,,Diekirch,LU,,Tricuspes,216.7,213.2
187,538745,Luxemburg,,Diekirch,LU,,Gaumia,216.7,213.2
188,539479,Rio Grande do Sul,,Rio Grande do Sul,BR,,Gomphodontosuchus,237.0,208.5
189,562011,Marrakech,,Marrakech,MA,,Moghreberia,237.0,227.0
190,562012,Marrakech,,Marrakech,MA,,Moghreberia,237.0,227.0
191,562013,Marrakech,,Marrakech,MA,,Moghreberia,237.0,227.0
192,573790,La Rioja,,La Rioja,AR,,Chiniquodon,242.0,237.0
193,573791,La Rioja,,La Rioja,AR,,Probainognathus,242.0,237.0
194,573796,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
195,573797,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
196,573798,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
197,573799,La Rioja,,La Rioja,AR,,Massetognathus,242.0,237.0
198,575713,Franche-Comte,,Franche-Comte,FR,,Thomasia,208.5,201.4
199,628181,Texas,Taylor,Texas,US,,Dimetrodon,283.5,273.01
200,629484,Oklahoma,Comanche,Oklahoma,US,,Oromycter,290.1,283.5
201,629485,Oklahoma,Comanche,Oklahoma,US,,Mycterosaurus,290.1,283.5
202,629486,Oklahoma,Comanche,Oklahoma,US,,Varanops,290.1,283.5
203,629486,Oklahoma,Comanche,Oklahoma,US,,Varanops,290.1,283.5
204,629486,Oklahoma,Comanche,Oklahoma,US,,Varanops,290.1,283.5
205,630031,Luxemburg,,,LU,,Tricuspes,208.5,201.4
206,630032,Luxemburg,,,LU,,Tricuspes,208.5,201.4
207,630033,Luxemburg,,,LU,,Pseudotriconodon,208.5,201.4
208,630034,Luxemburg,,,LU,,Thomasia,208.5,201.4
209,630036,Luxemburg,,,LU,,Kuehneotherium,208.5,201.4
210,631448,Oklahoma,Tillman,Oklahoma,US,,Dimetrodon,283.5,273.01
211,631449,Oklahoma,Tillman,Oklahoma,US,,Edaphosaurus,283.5,273.01
212,633270,Texas,Taylor,Texas,US,,Varanops,286.1,273.01
213,639660,Belgium,,Gaume,BE,,Habayia,208.5,201.4
214,645111,Eastern Cape,,Eastern Cape,ZA,,Lumkuia,247.2,242.0
215,665544,Texas,Baylor,Texas,US,,Mycterosaurus,290.1,273.01
216,668171,Rio Grande do Sul,,Rio Grande do Sul,BR,,Chiniquodon,242.0,237.0
217,668534,Rio Grande do Sul,,Rio Grande do Sul,BR,,Gomphodontosuchus,237.0,208.5
218,668696,Rio Grande do Sul,,Rio Grande do Sul,BR,,Stahleckeria,242.0,237.0
219,668717,Rio Grande do Sul,,Rio Grande do Sul,BR,,Traversodon,242.0,237.0
220,690415,Lorraine,Meuthe-et-Moselle,Lorraine,FR,,Meurthodon,208.5,201.4
221,702798,Eastern Cape,Janesville,Eastern Cape,ZA,,Pachydectes,264.28,259.51
