id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
2420,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2421,902070,902070,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2422,902374,902374,42.97892,Guchengosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2423,902375,902375,61.32352,Youngosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2424,902378,902378,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2425,902379,902379,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2426,902380,902380,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2427,902381,902381,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2428,902382,902382,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2429,902383,902383,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2430,902384,902384,42.97892,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2431,902385,902385,42.97892,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2432,902385,902385,42.97892,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2433,902386,902386,42.97892,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2434,902395,902395,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2435,902395,902395,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2436,902395,902395,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2437,902395,902395,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2438,902395,902395,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2439,902396,902396,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2440,902397,902397,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2441,902398,902398,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2442,902417,902417,42.97892,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2443,902422,902422,40.81749,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2444,921159,921159,-46.55859,Stenaulorhynchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2445,921162,921162,-46.55859,Stagonosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2446,921163,921163,-46.55859,Ruhuhuaria,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2447,923785,923785,-63.33496,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
