stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Ladinian,-238.6014434,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.7254128,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.7254228,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.8493922,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.8494022,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.9733716,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-238.9733816,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.097351,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.097361,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.2213304,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.2213404,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.3453098,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.3453198,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.4692892,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.4692992,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.5932686,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.5932786,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.717248,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.717258,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.8412274,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.8412374,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.9652068,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-239.9652168,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.0891862,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.0891962,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.2131656,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.2131756,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.3371451,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.3371551,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.4611245,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
