stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Olenekian,-247.638562375,0.254532428007535,0.124995760944384,1.30590346052771,0.270117983297574,0.151821683358837,0.44330064028564,0.220632129573098,-0.281945172503931,1.03915433956773
Olenekian,-248.605753225,0.203110144393513,0.118384614267135,0.40441063871163,0.270192859065903,0.151821683358837,0.450476428013699,-0.0544041690195235,-0.319508759454799,0.166197835056906
Olenekian,-249.572944075,0.199885371755438,0.117938184446077,0.326978249631119,0.27031114037794,0.151821683358837,0.451272471861,-0.0709476109930593,-0.281945172503931,0.154875551897074
Induan,-250.540134925,0.198828611494524,0.117938184446077,0.312357435157363,0.271625639831532,0.152139980144706,0.464140427775633,-0.0768266826655031,-0.308261252015639,0.130544263912323
Induan,-251.507325775,0.198517660333253,0.117938184446077,0.310335439197168,0.292873245404332,0.162585609076569,0.638159392702659,-0.136726807749073,-0.464997342396486,0.095672592320195
Changhsingian,-252.474516625,0.198305560220696,0.117938184446077,0.301660112455752,0.499240206844991,0.251899673133515,0.881714133743216,-0.305131021359414,-0.704356000424778,0.0381143416487721
Changhsingian,-253.441707475,0.186215578429183,0.118176935346467,0.257378380747486,0.463986129535796,0.251899673133515,0.750200922137954,-0.273558913153001,-0.566789905653614,-0.0247468228097067
Wuchiapingian,-254.408898325,0.183435603945236,0.117358509612114,0.248121434476165,0.463986129535796,0.24132273973982,0.736216021400934,-0.277474540029642,-0.559355508324788,-0.0373646704812471
Wuchiapingian,-255.376089175,0.183409194275109,0.117938184446077,0.248121434476165,0.269839936473535,0.14364297984535,0.531504388307123,-0.107393819232181,-0.365957686283725,0.0566356809975026
Wuchiapingian,-256.343280025,0.183409194275109,0.117938184446077,0.248121434476165,0.238352537086651,0.156904126555394,0.342254459910603,-0.0620571771738988,-0.180734918007278,0.0546995168331751
Wuchiapingian,-257.310470875,0.18410686891342,0.115953865109718,0.248121434476165,0.235006666008227,0.156904126555394,0.331999704390261,-0.056950056020677,-0.174948907336356,0.0538956112473958
Wuchiapingian,-258.277661725,0.191773737206279,0.1023967158706,0.30200108223522,0.234387399219684,0.157539499217803,0.331999704390261,-0.0446500470359131,-0.180734918007278,0.0704298538473581
Wuchiapingian,-259.244852575,0.305738518184468,0.153403599002269,0.843802086960024,0.237080540996707,0.143277789125551,0.333735326945478,0.143759887358391,-0.159076042373829,0.607732564406162
Capitanian,-260.212043425,0.331513213550633,0.136535833949895,0.858986127516928,0.296789956025817,0.179488887456946,0.832492084291232,-0.0075562097295812,-0.565894688785171,0.481567893466987
Capitanian,-261.179234275,0.216687381279542,0.0946549829925658,0.429100567556853,0.194661255702506,0.117082098865783,0.310984762226119,0.0286507282722144,-0.133267142052162,0.212873696326124
Capitanian,-262.146425125,0.215820228039088,0.0957946253013211,0.429100567556853,0.18473916945056,0.124069134577341,0.295180430885223,0.0382909761213115,-0.102504815405914,0.186687261999781
Capitanian,-263.113615975,0.216149387288529,0.0946549829925658,0.435048985726736,0.18424609238131,0.123501818696983,0.293545463376906,0.0408567571581661,-0.0875953401666131,0.212873696326124
Capitanian,-264.080806825,0.415690810939821,0.0987050544505182,0.895248699804822,0.18424609238131,0.122872980134339,0.292288269001684,0.27606975274817,-0.0737353596942552,0.740405637040235
Wordian,-265.047997675,0.734623105278787,0.343626705884624,1.48158778267605,0.191313947293968,0.113948615193316,0.310491931865124,0.58696495388324,0.0883458185915596,1.31441927482961
Wordian,-266.015188525,0.672273686591297,0.146616042833251,0.969195404934864,0.185848029516029,0.101219786907496,0.29684959095675,0.415674587173519,-0.105619551787654,0.785496399455285
Roadian,-266.982379375,0.647047736445516,0.142723379165967,0.928737892714733,0.178172690789747,0.108960790841758,0.286969706725715,0.402884140390328,-0.0470849651496018,0.772923688468025
Roadian,-267.949570225,0.200905152341475,0.104367343428571,0.807453918590127,0.169372097637969,0.103397206062511,0.283700217763671,0.175836671609254,-0.143877403924522,0.635962451492395
Roadian,-268.916761075,0.158954149427458,0.0832636871533371,0.325389914904512,0.161713013731362,0.091166573777551,0.264166346385754,0.0062864445155555,-0.146119481799973,0.135436287028421
Roadian,-269.883951925,0.156376801273762,0.0994931585774317,0.229325359709135,0.15379759843717,0.0869904345938246,0.241438654410394,0.004052926968312,-0.120011751554754,0.0984763235262421
Roadian,-270.851142775,0.156041776603678,0.0957931298835246,0.218359990823267,0.151473846160872,0.0864975651873389,0.235176731288158,0.0060716781401116,-0.119916771094363,0.0910524969674339
Roadian,-271.818333625,0.155923279578504,0.0969078218528115,0.218132754802766,0.149286725347927,0.0816999339077555,0.222208597883295,0.008944250053006,-0.110462899402969,0.0984763235262421
Roadian,-272.785524475,0.156041776603678,0.0969078218528115,0.218132754802766,0.148979216957822,0.0799453309131721,0.217920983623697,0.0097334151480582,-0.109612833694827,0.0984763235262421
Roadian,-273.752715325,0.156041776603678,0.0969078218528115,0.218132754802766,0.148681434685473,0.0803778306485749,0.216925486879273,0.0103072924201222,-0.1025365662356,0.102649127090047
Kungurian,-274.719906175,0.155724730629775,0.102219592522684,0.218359990823267,0.148313385010964,0.0799453309131721,0.215504549040244,0.00933078619134,-0.1025365662356,0.0910524969674339
Kungurian,-275.687097025,0.155591778006713,0.103932444913421,0.218359990823267,0.147518898868045,0.0816999339077555,0.215504549040244,0.0105578444035772,-0.0909727451692754,0.0984763235262421
Kungurian,-276.654287875,0.155406344265268,0.104367343428571,0.216032311617954,0.145904273571854,0.0790653482761638,0.204914195881832,0.0120581188086342,-0.0778854033284509,0.0909014961167704
Kungurian,-277.621478725,0.155255191025106,0.106950104355089,0.218132754802766,0.145388854485992,0.0803778306485749,0.203343366750649,0.012855526627551,-0.0736724353939809,0.0910524969674339
Kungurian,-278.588669575,0.155255191025106,0.106950104355089,0.218132754802766,0.144926938198811,0.0795496345244111,0.200439547019348,0.0134878983497392,-0.0736724353939809,0.0886733864098984
Kungurian,-279.555860425,0.155172796190014,0.10539996409517,0.216032311617954,0.144510386539287,0.0816999339077555,0.198992167524773,0.0142962430078279,-0.0644250874946552,0.0948177305742193
