Time,mat_z_trans,map_z_trans,wmm_z_trans,cmm_z_trans,wmmcmm_z_trans,wetmon_z_trans,drymon_z_trans,wetdry_z_trans,208-217,217-227,227-237,237-242,242-246.7,246.7-252,252-259.5,259.5-264.3,264.3-274.4,274.4-283.5,283.5-290.1
245,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,0,0,0,0,1,0,0,0,0,0,0
246,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,0,0,0,0,1,0,0,0,0,0,0
247,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,0,0,0,0,0,1,0,0,0,0,0
247.2,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,0,0,0,0,0,1,0,0,0,0,0
248,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,0,0,0,0,0,1,0,0,0,0,0
249,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,0,0,0,0,0,1,0,0,0,0,0
250,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,0,0,0,0,0,1,0,0,0,0,0
251,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,0,0,0,0,0,1,0,0,0,0,0
251.2,-1.743744482,-0.676594417,0.269638942,-2.255303398,2.175326743,-0.431060027,-0.737230785,-0.208189018,0,0,0,0,0,1,0,0,0,0,0
251.902,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0,0,0,0,0,1,0,0,0,0,0
252,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0,0,0,0,0,0,1,0,0,0,0
253,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0,0,0,0,0,0,1,0,0,0,0
254,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0,0,0,0,0,0,1,0,0,0,0
254.14,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
255,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
256,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
257,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
258,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
259,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,0,0,0,0,0,0,1,0,0,0,0
259.1,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,0,0,0,0,0,0,1,0,0,0,0
260,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,0,0,0,0,0,0,0,1,0,0,0
261,-1.833262318,-0.389622535,-1.423499545,-1.369112213,0.432942128,-0.333411258,0.330369084,-0.531297419,0,0,0,0,0,0,0,1,0,0,0
