id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
7219,789976,789976,16.6404,Haptodus,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7220,755453,755453,-0.5077499,Ctenospondylus,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7221,295904,295904,-2.967327,Edaphosaurus,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7222,295903,295903,-2.967327,Dimetrodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7223,295900,295900,-2.967327,Dimetrodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7224,295899,295899,-2.967327,Ophiacodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7225,295895,295895,-2.967327,Dimetrodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7226,295889,295889,-2.967327,Ophiacodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7227,295888,295888,-2.967327,Dimetrodon,293.52,290.1,Cisuralian,"(293.52, 290.1)"
7228,1340065,1340065,8.535905,Ruthenosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7229,814509,814509,-0.7299915,Edaphosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7230,814508,814508,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7231,814507,814507,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7232,814506,814506,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7233,791588,791588,-0.7299915,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7234,789071,789071,-0.7299915,Edaphosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7235,789070,789070,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7236,789066,789066,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7237,789065,789065,-0.7299915,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7238,789058,789058,-2.980824,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7239,789057,789057,-2.980824,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7240,787993,787993,-2.980824,Mycterosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7241,787993,787993,-2.980824,Mycterosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7242,752569,752569,8.535905,Euromycter,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7243,665544,665544,-2.980824,Mycterosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7244,296023,296023,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7245,296022,296022,-0.7299915,Secodontosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7246,296020,296020,-0.7299915,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7247,296014,296014,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7248,296013,296013,-0.7299915,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7249,296004,296004,-2.980824,Glaucosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7250,296003,296003,-2.980824,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7251,296002,296002,-2.980824,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7252,296001,296001,-2.980824,Varanosaurus,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7253,295994,295994,-2.980824,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7254,295992,295992,-0.7299915,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7255,295991,295991,-0.7299915,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7256,295986,295986,-2.980824,Dimetrodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7257,295985,295985,-2.980824,Ophiacodon,290.1,274.4,Cisuralian,"(290.1, 274.4)"
7258,1564217,1564217,1.521104,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7259,1564215,1564215,1.521104,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7260,1545882,1545882,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7261,1545287,1545287,-0.7299915,Arisierpeton,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7262,1499321,1499321,15.55887,Martensius,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7263,1429169,1429169,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7264,1429165,1429165,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7265,1429164,1429164,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7266,1429163,1429163,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7267,1340352,1340352,-2.980824,Ctenorhachis,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7268,1340343,1340343,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7269,1339976,1339976,10.6131,Callibrachion,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7270,1339962,1339962,-2.980824,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7271,1339961,1339961,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7272,1016625,1016625,15.55887,Tambacarnifex,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7273,853659,853659,-0.7299915,Mesenosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7274,791586,791586,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7275,791574,791574,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7276,791569,791569,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7277,791568,791568,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7278,791567,791567,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7279,791564,791564,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7280,791563,791563,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7281,791563,791563,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7282,791000,791000,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7283,790999,790999,-2.980824,Varanosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7284,790998,790998,-2.980824,Ctenospondylus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7285,790535,790535,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7286,790532,790532,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7287,790531,790531,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7288,790529,790529,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7289,790503,790503,-0.7299915,Secodontosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7290,788511,788511,15.55887,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7291,787466,787466,-0.7299915,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7292,787465,787465,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7293,754240,754240,10.6131,Haptodus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7294,752530,752530,-2.980824,Eothyris,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7295,629486,629486,-0.7299915,Varanops,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7296,629486,629486,-0.7299915,Varanops,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7297,629486,629486,-0.7299915,Varanops,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7298,629485,629485,-0.7299915,Mycterosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7299,629484,629484,-0.7299915,Oromycter,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7300,487397,487397,4.54101,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7301,295984,295984,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7302,295983,295983,-0.7299915,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7303,295982,295982,-0.7299915,Secodontosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7304,295981,295981,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7305,295978,295978,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7306,295977,295977,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
