accepted_name;accepted_rank;early_interval;late_interval;max_ma;min_ma;time_bins;age;Rotated Longitude;Rotated latitude;group;niche_adequability
Dinosaurus murchisoni;species;Wordian;;266.9;264.28;Wordian;265;45.43791;42.55595;Gorgonopsia;0.60832154750824
Kamagorgon ulanovi;species;Wordian;Late Kazanian;276.5;266.9;Wordian;265;41.45729;34.64276;Gorgonopsia;0.338366091251373
Kamagorgon;genus;Wordian;Late Kazanian;276.5;266.9;Wordian;265;45.24031;22.86649;Gorgonopsia;0.218820884823799
Viatkogorgon ivakhnenkoi;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Gorgonopsia;0.299668937921524
Viatkogorgon ivakhnenkoi;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Gorgonopsia;0.299668937921524
Leogorgon klimovensis;species;Wordian;Vyatkian;264.28;256.8;Wordian;265;44.03487;28.97547;Gorgonopsia;0.244418367743492
Inostrancevia;genus;Wordian;Vyatkian;264.28;256.8;Wordian;265;47.69551;31.62961;Gorgonopsia;0.299668937921524
Rhopalodon;genus;Wordian;;266.9;264.28;Wordian;265;42.6534;40.82952;Gorgonopsia;0.383995682001114
Phthinosaurus borissiaki;species;Wordian;;266.9;264.28;Wordian;265;45.43791;42.55595;Gorgonopsia;0.60832154750824
Parabradysaurus silantjevi;species;Wordian;Late Kazanian;276.5;266.9;Wordian;265;45.24031;22.86649;Gorgonopsia;0.218820884823799
Parabradysaurus udmurticus;species;Wordian;Late Kazanian;276.5;266.9;Wordian;265;41.45729;34.64276;Gorgonopsia;0.338366091251373
Estemmenosuchus uralensis;species;Wordian;;266.9;264.28;Wordian;265;44.97893;34.20255;Gorgonopsia;0.332716733217239
Estemmenosuchus uralensis;species;Wordian;;266.9;264.28;Wordian;265;44.97893;34.20255;Gorgonopsia;0.332716733217239
Estemmenosuchus uralensis;species;Wordian;;266.9;264.28;Wordian;265;44.97893;34.20255;Gorgonopsia;0.332716733217239
Estemmenosuchus mirabilis;species;Wordian;;266.9;264.28;Wordian;265;44.97893;34.20255;Gorgonopsia;0.332716733217239
Molybdopygus arcanus;species;Wordian;;266.9;264.28;Wordian;265;43.17901;32.94259;Gorgonopsia;0.458923816680908
Estemmenosuchus;species;Wordian;;273.01;266.9;Wordian;265;43.51609;40.33982;Gorgonopsia;0.444861173629761
Nochnitsa geminidens;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Gorgonopsia;0.299668937921524
Phthinosuchidae;family;Wordian;;266.9;256.8;Wordian;265;45.43791;42.55595;Gorgonopsia;0.60832154750824
Gorgonopsia;order;Wordian;;266.9;264.28;Wordian;265;-65.24442;-28.45468;Gorgonopsia;0.264549165964127
Leogorgon klimovensis;species;Wordian;Vyatkian;264.28;256.8;Wordian;265;43.51609;42.55595;Gorgonopsia;0.60832154750824
Glanosuchus macrops;species;Wordian;;266.9;264.28;Wordian;265;-65.24442;-28.45468;Therocephalia;0.264549165964127
Ictidosaurus angusticeps;species;Wordian;;266.9;264.28;Wordian;265;-65.24442;-28.45468;Therocephalia;0.264549165964127
Pristerognathinae;subfamily;Guadalupian;;273.01;259.51;Wordian;266;-62.75164;-28.45468;Therocephalia;0.264549165964127
Perplexisaurus lepusculus;species;Wordian;Early Severodvinian;266.9;259.51;Wordian;265;43.51609;40.82952;Therocephalia;0.444861173629761
Choerosaurus dejageri;species;Guadalupian;;273.01;259.51;Wordian;265;-61.36501;-5.693021;Therocephalia;0.224268421530724
Porosteognathus efremovi;species;Urzhumian;Early Severodvinian;266.9;259.51;Wordian;265;43.04599;36.28562;Therocephalia;0.364332407712936
Perplexisaurus foveatus;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Perplexisaurus foveatus;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Porosteognathus;genus;Urzhumian;Early Severodvinian;266.9;259.51;Wordian;265;43.04599;36.28562;Therocephalia;0.364332407712936
Kotelcephalon viatkensis;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Scylacosuchus orenburgensis;species;Late Severodvinian;;264.28;259.51;Wordian;265;45.43791;42.55595;Therocephalia;0.60832154750824
Scalopodontes kotelnichi;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Viatkosuchus sumini;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Chthonosaurus velocidens;species;Wordian;Vyatkian;264.28;256.8;Wordian;265;43.51609;42.55595;Therocephalia;0.60832154750824
Karenites ornamentatus;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Karenites ornamentatus;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Chthonosaurus;genus;Late Severodvinian;Vyatkian;264.28;256.8;Wordian;265;45.43791;42.55595;Therocephalia;0.60832154750824
Choerosaurus dejageri;species;Guadalupian;;273.01;259.51;Wordian;265;-61.36501;-10.98271;Therocephalia;0.367143988609314
Gorynychus masyutinae;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Muchia microdenta;species;Wordian;;264.28;259.51;Wordian;265;47.69551;31.62961;Therocephalia;0.299668937921524
Procynosuchus delaharpeae;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;24.21149;17.88815;Cynodontia;0.477937519550323
Cynosaurus;genus;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Charassognathus gracilis;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-50.26402;17.17707;Cynodontia;0.0204379372298717
Hwanghocynodon multienspidus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;31.55929;117.0049;Cynodontia;NA
Cynosaurus suppostus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-65.18245;-18.19193;Cynodontia;0.0530015714466572
Procynosuchus delaharpeae;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-50.26402;17.17707;Cynodontia;0.0204379372298717
Procynosuchus delaharpeae;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Cynodontia;0.0873583406209946
Procynosuchus delaharpeae;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-62.75164;-22.80723;Cynodontia;0.0873583406209946
Procynosuchus;genus;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-50.26402;17.17707;Cynodontia;0.0204379372298717
