genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Brasinorhynchus,-0.298764409,0,0,1,0,241.27908334934932,237.80597865465467,3.473104694694655,0.6332936855555555,0.5265310466666667,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Bromsgroveia,-0.21337224,1,1,0,0,246.71048622022022,241.41285438838838,5.297631831831836,2.0827341522222222,0.8031194744444445,-0.25710223371428576,-0.5548137752857143,-0.40625386342857145,-0.08281019757142857,-0.1528567237142857,-0.6810182272857144,-0.1435210665714286,-0.7487699262857141,-0.25710223371428576,-0.5548137752857143,-0.40625386342857145,-0.08281019757142857,-0.1528567237142857,-0.6810182272857144,-0.1435210665714286,-0.7487699262857141,Anisian
Broomia,-0.118837969,0,0,1,0,264.3237662872873,261.37035483283285,2.9534114544544536,0.7585103255555555,0.12820173444444444,-1.6887919805,-0.0822967275,-1.58008401925,-1.1260120224999999,0.12714835399999996,-0.185032201,0.722314372,-0.5164446167500001,-1.6887919805,-0.0822967275,-1.58008401925,-1.1260120224999999,0.12714835399999996,-0.185032201,0.722314372,-0.5164446167500001,Capitanian
Bunostegos,-0.298764409,0,1,0,0,253.34983414314314,253.2720273173173,0.07780682582583154,2.8413931255555553,2.8723361511111114,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,Lopingian
Bystrowisuchus,-0.298764409,1,0,0,0,248.02432585385387,247.8208726836837,0.20345317017017805,2.5979672088888885,2.183279921111111,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,Early Triassic
Candelaria,-0.298764409,0,0,1,0,241.40832351851853,237.36381114114113,4.044512377377401,0.6009615599999999,0.56144205,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Captorhinus,3.350764608,0,1,1,0,291.516749017017,256.2144824004004,35.30226661661658,0.19587733555555556,0.37592125666666665,0.21650431692499997,-0.7368238315749999,-0.03500925907500001,0.25478367167500005,-0.24829200717499997,-0.5850747724750001,-0.4563568264750001,-0.506349181925,0.21650431692499997,-0.7368238315749999,-0.03500925907500001,0.25478367167500005,-0.24829200717499997,-0.5850747724750001,-0.4563568264750001,-0.506349181925,Mixed
Cartorhynchus,-0.298764409,1,0,0,0,249.1403417307307,248.89209935435434,0.2482423763763677,2.3555103044444445,2.1075098166666666,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,Early Triassic
Chalishevia,-0.298764409,1,0,0,0,241.20447674874873,237.41578725825826,3.7886894904904693,1.6330900955555556,0.6324706755555556,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Chanaresuchus,-0.298764409,0,0,1,0,240.97780931131132,237.0987763003003,3.8790330110110176,0.5937378166666667,0.6280847988888888,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
