genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI,Stage
Emeroleter,-0.336825198,1,0,0,0,264.768535985986,259.79561923623623,4.972916749749743,0.6697014366666667,1.0677221233333332,-0.6861755106823118,0.8560729686572633,-0.6861755106823118,0.8560729686572633,Capitanian
Energosuchus,-0.336825198,1,0,0,0,240.90752193893894,238.9031737877878,2.0043481511511345,1.4884805744444445,1.3111560411111112,1.1363613700259585,0.4807466034028619,1.1363613700259585,0.4807466034028619,Ladinian
Eohupehsuchus,-0.336825198,0,1,0,0,248.49779088188188,248.2706530900901,0.22713779179179028,2.6333697355555556,1.65952648,1.8358801052800704,-1.0491518362093228,1.864069977887358,-0.9036052321940123,Early Triassic
Eohyosaurus,-0.336825198,0,0,1,0,245.34285974074072,238.37104838238238,6.971811358358337,2.9047807333333333,1.4578553877777778,1.4604280367321374,0.56884026052189,1.4604280367321374,0.56884026052189,Mixed
Eomurruna,-0.196599834,0,0,1,0,251.7138957027027,251.15359637637638,0.5602993263263158,1.1068467322222222,1.6178393766666666,2.0681331579316877,1.7963094980175247,1.4789877017976447,2.507909617399484,Early Triassic
Eorasaurus,-0.336825198,1,0,0,0,261.9742654684685,261.3637941971972,0.6104712712713081,0.33805355444444446,0.38271125666666667,-1.5449494797623875,1.5248565411905397,-0.9912297801821306,1.8453914227782484,Capitanian
Eretmorhipis,-0.336825198,0,1,0,0,242.4801031941942,242.13604862162163,0.3440545725725599,0.9230275377777778,1.021139897777778,0.8400526393768003,1.5054011739054376,1.21803389196725,0.7444305077071018,Anisian
Erythrosuchus,-0.189310638,0,0,1,0,246.8369568088088,236.95505804304304,9.881898765765754,3.2150556500000005,0.7218640177777778,1.21756700461802,0.146954691781318,1.21756700461802,0.146954691781318,Mixed
Eumetabolodon,-0.116319314,1,0,0,0,248.82507403803805,242.28761417917917,6.537459858858881,1.5684496600000002,0.6051484699999999,1.4784120394370575,-0.34550074558100435,1.4784120394370575,-0.34550074558100435,Mixed
Eunotosaurus,-0.031449079,0,0,1,0,264.57072136836837,259.9695195615616,4.601201806806785,0.8543987566666666,0.17804487333333333,-0.6861755106823118,0.8560729686572633,-0.6861755106823118,0.8560729686572633,Capitanian
Euparkeria,-0.336825198,0,0,1,0,246.62265245945946,241.92164727427428,4.701005185185181,4.9327776299999995,0.7599065100000001,1.335888741986888,0.05487469015041726,1.335888741986888,0.05487469015041726,Anisian
Eusaurosphargis,0.124635913,1,1,0,0,247.12917742842842,236.1194086896897,11.009768738738728,2.8156729922222223,0.40192459555555554,1.2155337369968031,0.15242927306271165,1.2155337369968031,0.15242927306271165,Mixed
Feralisaurus,-0.336825198,0,1,0,0,244.06653552952952,243.63030739439438,0.4362281351351385,0.6086980055555555,1.1212903044444444,1.9554463929321844,1.3144315938900808,1.9554463929321844,1.3144315938900808,Anisian
Fodonyx,-0.336825198,0,1,0,0,246.71064972972974,242.07507345045047,4.635576279279263,4.633605016666667,1.8320985766666666,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Fraxinisaura,-0.336825198,1,0,0,0,238.10911075275277,237.82306422922923,0.2860465235235381,1.2126362333333334,1.823244041111111,0.5197623641799644,-0.7136896918828842,0.5197623641799644,-0.7136896918828842,Ladinian
Fugusuchus,-0.336825198,1,0,0,0,246.1442071711712,245.87225738538538,0.2719497857858073,2.237456301111111,1.5019984277777778,1.0022109098915075,-0.7842463317383722,1.0022109098915075,-0.7842463317383722,Anisian
Fuyuansaurus,-0.336825198,0,1,0,0,239.26149935535537,239.05174446646646,0.20975488888890936,1.710410792222222,1.8674307577777778,0.7446132569171925,0.523448309350873,0.8673259330588834,0.5100722637814049,Ladinian
Galesphyrus,-0.119298829,0,0,1,0,260.2324563363363,255.11575862762763,5.116697708708699,0.48827331444444444,0.20015572333333334,-0.22055306411094122,-0.1919761928804578,-0.22055306411094122,-0.1919761928804578,Lopingian
Gamatavus,-0.336825198,0,0,1,0,240.97104925525525,238.3843757987988,2.5866734564564524,0.6965858266666667,1.1762297644444446,1.1363613700259585,0.4807466034028619,1.1363613700259585,0.4807466034028619,Ladinian
Gansurhinus,-0.242568514,1,0,0,0,273.64319356856856,255.00774093193195,18.635452636636614,1.2767547222222222,0.9338807422222223,-0.660499334311289,0.15354041920058145,-0.660499334311289,0.15354041920058145,Mixed
Garjainia,7.868396402,1,0,1,0,251.1599154964965,246.74572197297297,4.414193523523522,1.2595522977777778,0.6202687666666666,1.8324273014176824,-0.1476416253197089,1.8324273014176824,-0.1476416253197089,Early Triassic
Gecatogomphius,-0.336825198,1,0,0,0,271.6557675215215,270.3371927787788,1.318574742742726,0.9280673911111111,0.31862896333333335,-1.21572431585762,-0.0532519428507574,-1.21572431585762,-0.0532519428507574,Roadian-Wordian
Germanosaurus,-0.336825198,1,0,0,0,245.78672517217217,243.16634072672673,2.6203844454454384,1.8542961633333335,1.6768340822222223,1.3851090196406104,0.25894632765797726,1.3851090196406104,0.25894632765797726,Anisian
Glaurung,-0.336825198,1,0,0,0,257.23078739839843,257.1210544204204,0.10973297797801251,0.9123410255555556,1.3590883155555555,-0.0166731716554773,-0.8592163467668951,0.011322264518554871,-0.8638568100117331,Lopingian
Glyphoderma,-0.336825198,0,1,0,0,240.07278905505507,239.81765744444442,0.25513161061064693,1.7027517211111112,1.7801558366666668,1.5281094831347244,0.4380448974548507,1.5281094831347244,0.4380448974548507,Ladinian
Gondwanax,-0.336825198,0,0,1,0,240.071721990991,239.61887358158157,0.4528484094094267,0.5660596488888888,0.7623785822222223,1.5281094831347244,0.4380448974548507,1.5281094831347244,0.4380448974548507,Ladinian
Gracilisuchus,-0.336825198,0,0,1,0,240.26771223523525,238.029969983984,2.2377422512512624,0.5823383733333334,1.35556089,1.1363613700259585,0.4807466034028619,1.1363613700259585,0.4807466034028619,Ladinian
Grippia,0.930843683,1,0,0,0,251.15672896096095,246.85134279379378,4.305386167167171,1.724590678888889,0.8435018333333334,1.8324273014176824,-0.1476416253197089,1.8324273014176824,-0.1476416253197089,Early Triassic
Gualosuchus,-0.336825198,0,0,1,0,239.80657527827827,237.72161123123124,2.0849640470470376,0.5293411255555556,1.4415667211111112,0.6321878105485784,-0.09512069126600559,0.6321878105485784,-0.09512069126600559,Ladinian
Guchengosuchus,-0.336825198,1,0,0,0,244.42510050750752,244.1202334884885,0.3048670190190137,1.11840124,1.2188967522222223,1.9554463929321844,1.3144315938900808,1.64442203408921,0.7388395959407924,Anisian
Guizhouichthyosaurus,0.282626198,1,1,0,0,240.7469003913914,226.7658548978979,13.981045493493497,0.18748022444444445,0.46716401333333335,0.7222784240575909,-0.3498061626742768,0.7222784240575909,-0.3498061626742768,Mixed
Gulosaurus,-0.336825198,1,0,0,0,250.283077995996,248.44333068568568,1.8397473103103152,2.920302722222222,1.7064792477777777,2.0314610915460096,-0.8462704371416974,2.0314610915460096,-0.8462704371416974,Early Triassic
Halazhaisuchus,-0.336825198,1,0,0,0,244.8918525115115,244.60191642642644,0.28993608508505986,1.7038013555555556,1.2970270055555557,0.8147716463490362,-0.7965389385741263,1.1034941405641132,-0.26221951125859605,Anisian
Hanosaurus,-0.336825198,0,1,0,0,249.51674898898898,249.24266238238238,0.2740866066066019,2.1280878955555553,1.420761703333333,1.9092488182519396,-0.6703432065006151,2.0020582083126004,-0.8039443459833243,Early Triassic
Helveticosaurus,-0.336825198,0,1,0,0,245.4508311871872,242.06660262362362,3.3842285635635676,2.181326698888889,1.31351817,1.6123933868887106,-0.1489271304716597,1.6123933868887106,-0.1489271304716597,Anisian
Hemilopas,-0.328447479,1,0,0,0,249.0090885915916,242.57222012812812,6.436868463463469,3.043252063333333,1.4381480177777777,1.539960150696326,-0.391906811426663,1.539960150696326,-0.391906811426663,Mixed
Hescheleria,-0.336825198,0,1,0,0,244.82190768368366,244.38983047247245,0.4320772112112081,1.209647918888889,0.7361560699999998,0.8147716463490362,-0.7965389385741263,1.26434683583293,0.03545982353604449,Anisian
Heteropelta,-0.336825198,1,0,0,0,244.0412392082082,243.7565042122122,0.28473499599598995,1.4477550833333335,1.4508260333333334,1.9554463929321844,1.3144315938900808,1.9554463929321844,1.3144315938900808,Anisian
Hispaniasaurus,-0.336825198,0,1,0,0,239.81202517117117,239.5717921241241,0.24023304704707016,1.42673895,1.9074867333333332,1.5281094831347244,0.4380448974548507,1.2867210712363917,0.46435695012140216,Ladinian
Honghesaurus,-0.336825198,0,1,0,0,245.39860683883884,244.9834927987988,0.41511404004003793,1.1138862777777778,0.7189526577777777,0.8147716463490362,-0.7965389385741263,0.8147716463490362,-0.7965389385741263,Anisian
Horaffia,-0.198575136,1,0,0,0,240.54390886386386,236.68721474674675,3.856694117117115,0.35527739111111106,0.8083440222222221,0.8057964048039121,-0.19164884182398853,0.8057964048039121,-0.19164884182398853,Ladinian
Hovasaurus,0.623499789,0,0,1,0,259.6577976256256,248.97088881481483,10.686908810810792,0.4304372688888889,0.46775447777777773,0.28628238339069795,0.10784513199472617,0.28628238339069795,0.10784513199472617,Mixed
Howesia,-0.336825198,0,0,1,0,246.03329902002002,243.31529805205204,2.7180009679679813,3.3845935377777776,0.5027163077777778,1.2574763163909093,-0.08878455880747256,1.2574763163909093,-0.08878455880747256,Anisian
Hupehsuchus,0.072265568,0,1,0,0,250.44632391291293,237.35871665665667,13.087607256256263,1.3597067366666666,0.6094900711111111,1.449151760027166,-0.0038901403526227295,1.449151760027166,-0.0038901403526227295,Mixed
Hypselorhachis,-0.336825198,0,0,1,0,244.02195632432432,243.45296634634633,0.5689899779779921,0.6016063566666667,0.46803437777777773,1.9554463929321844,1.3144315938900808,1.9554463929321844,1.3144315938900808,Anisian
Indosauriscus,-0.336825198,0,0,1,0,256.96352605805805,256.85067947847847,0.11284657957958188,1.1046987222222222,1.1554119455555554,-0.0166731716554773,-0.8592163467668951,-0.06699793817983217,-0.7805087162246619,Lopingian
Isfjordosaurus,-0.336825198,1,0,0,0,248.7212703993994,248.51061937437436,0.21065102502504374,2.3773802322222224,2.2127965733333332,1.9092488182519396,-0.6703432065006151,1.8810711888925655,-0.8158265976316137,Early Triassic
Jaxtasuchus,-0.336825198,1,0,0,0,239.56071738138138,237.37382682582583,2.18689055555555,1.1248879977777777,1.97377274,0.6321878105485784,-0.09512069126600559,0.6321878105485784,-0.09512069126600559,Ladinian
