Species	Status
Powellvenator	extinct
Pravusuchus	extinct
Preondactylus	extinct
Prestosuchus	extinct
Procerosuchus	extinct
Procolina	extinct
Procolophon	extinct
Procolophonichnium	extinct
Procompsognathus	extinct
Proganochelys	extinct
Prolacerta	extinct
Prolacertoides	extinct
Prosaurosphargis	extinct
Protanystropheus	extinct
Protecovasaurus	extinct
Proterochampsa	extinct
Proterochersis	extinct
Proterosuchus	extinct
Protoavis	extinct
Protocaptorhinus	extinct
Protome	extinct
Protorosaurus	extinct
Protorothyris	extinct
Protosuchus	extinct
Provelosaurus	extinct
Pseudhesperosuchus	extinct
Pseudochampsa	extinct
Puercosuchus	extinct
Pumiliopareia	extinct
Qianosuchus	extinct
Raibliania	extinct
Rauisuchus	extinct
Rautiania	extinct
Redondasuchus	extinct
Redondavenator	extinct
Retymaijychampsa	extinct
Revueltosaurus	extinct
Rhipaeosaurus	extinct
Rhombopholis	extinct
Rioarribasuchus	extinct
Riojasaurus	extinct
Riojasuchus	extinct
Romeria	extinct
Rothianiscus	extinct
Ruehleia	extinct
Rugarhynchos	extinct
Ruhuhuaria	extinct
Rutiodon	extinct
Sacisaurus	extinct
Saltoposuchus	extinct
Sanchuansaurus	extinct
Sanjuansaurus	extinct
Santaisaurus	extinct
Sarcosaurus	extinct
Sarmatosuchus	extinct
Saturnalia	extinct
Saurodektes	extinct
Sauropareion	extinct
Saurorictus	extinct
Saurosternon	extinct
Saurosuchus	extinct
Scelidosaurus	extinct
Scharschengia	extinct
Schleitheimia	extinct
Schultzsuchus	extinct
Sclerocormus	extinct
Sclerosaurus	extinct
Sclerostropheus	extinct
Scoloparia	extinct
Scolotosuchus	extinct
Scutarx	extinct
Scutosaurus	extinct
Scythosuchus	extinct
Shansisuchus	extinct
Shihtienfenia	extinct
Shringasaurus	extinct
Shuangbaisaurus	extinct
Shuvosaurus	extinct
Sigmala	extinct
Sikannisuchus	extinct
Silesaurus	extinct
Sillosuchus	extinct
Sinosaurosphargis	extinct
Sinosaurus	extinct
Skybalonyx	extinct
Smilodonterpeton	extinct
Smilosuchus	extinct
Sophineta	extinct
Soturnia	extinct
Soumyasaurus	extinct
Sphenotitan	extinct
Sphodrosaurus	extinct
Spinosuchus	extinct
Spondylolestes	extinct
Spondylosoma	extinct
Stagonolepis	extinct
Stagonosuchus	extinct
Staurikosaurus	extinct
Stauromatodon	extinct
Stegomus	extinct
Stenaulorhynchus	extinct
Stenomyti	extinct
Stenoscelida	extinct
Styracocephalus	extinct
Suchonosaurus	extinct
Sumidadectes	extinct
Syntarsus	extinct
Syntomiprosopus	extinct
Tachiraptor	extinct
Tangasaurus	extinct
Tanystropheus	extinct
Tanytrachelos	extinct
Tarjadia	extinct
Tasmaniosaurus	extinct
Tawa	extinct
Taytalura	extinct
Technosaurus	extinct
Tecovasaurus	extinct
Tecovasuchus	extinct
Teleocrater	extinct
Teraterpeton	extinct
Teratophon	extinct
Teratosaurus	extinct
Termatosaurus	extinct
Terrestrisuchus	extinct
Teyujagua	extinct
Teyumbaita	extinct
Thadeosaurus	extinct
Thecodontosaurus	extinct
Theledectes	extinct
Thelephon	extinct
Thelerpeton	extinct
Threordatoth	extinct
Thuringothyris	extinct
Tichvinskia	extinct
Ticinosuchus	extinct
Tikisuchus	extinct
Timanophon	extinct
Trachelosaurus	extinct
Tramuntanasaurus	extinct
Trialestes	extinct
Tricuspisaurus	extinct
Trilophosaurus	extinct
Tropidosuchus	extinct
Tuebingosaurus	extinct
Turfanosuchus	extinct
Typothorax	extinct
Uatchitodon	extinct
Unaysaurus	extinct
Unguinychus	extinct
Uralosaurus	extinct
Vallesaurus	extinct
Vancleavea	extinct
Variodens	extinct
Vellbergia	extinct
Velocipes	extinct
Venaticosuchus	extinct
Venetoraptor	extinct
Vinitasaura	extinct
Vivaron	extinct
Vjushkovisaurus	extinct
Volcanosuchus	extinct
Vonhuenia	extinct
Vritramimosaurus	extinct
Vytshegdosuchus	extinct
Waluchelys	extinct
Wannia	extinct
Wapitisaurus	extinct
Weigeltisaurus	extinct
Whitakersaurus	extinct
Xenodiphyodon	extinct
Xilousuchus	extinct
Xingxiulong	extinct
Yarasuchus	extinct
Yimenosaurus	extinct
Youngetta	extinct
Youngina	extinct
Youngosuchus	extinct
Yunnanosaurus	extinct
Zanclodon	extinct
Zhongjiania	extinct
Zupaysaurus	extinct
