Species	Status
Mikadocephalus	extinct
Milleretta	extinct
Millerinoides	extinct
Milleropsis	extinct
Millerosaurus	extinct
Miodentosaurus	extinct
Mixosaurus	extinct
Moradisaurus	extinct
Mystriosuchus	extinct
Nambalia	extinct
Nanchangosaurus	extinct
Nanoparia	extinct
Neoaetosauroides	extinct
Neoprocolophon	extinct
Neusticosaurus	extinct
new_Neotheropoda	extinct
new_Rhynchocephalia	extinct
Nhandumirim	extinct
Nicrosaurus	extinct
Nochelesaurus	extinct
Notatesseraeraptor	extinct
Noteosuchus	extinct
Nothosaurus	extinct
Nundasuchus	extinct
Nyasasaurus	extinct
Nycteroleter	extinct
Nyctiboetus	extinct
Nyctiphruretus	extinct
Obirkovia	extinct
Odoiporosaurus	extinct
Odontochelys	extinct
Omphalosaurus	extinct
Opisthodontosaurus	extinct
Orenburgia	extinct
Orovenator	extinct
Oryctorhynchus	extinct
Oryporan	extinct
Osmolskina	extinct
Owenetta	extinct
Ozimek	extinct
Pachagnathus	extinct
Pachypleurosaurus	extinct
Pachystropheus	extinct
Palacrodon	extinct
Palaeagama	extinct
Palaeochersis	extinct
Palaeosaurus	extinct
Paleollanosaurus	extinct
Paliguana	extinct
Pamelaria	extinct
Pamelina	extinct
Pampadromaeus	extinct
Panguraptor	extinct
Panphagia	extinct
Pantydraco	extinct
Panzhousaurus	extinct
Pappochelys	extinct
Parahupehsuchus	extinct
Paralonectes	extinct
Paraplacodus	extinct
Pararcus	extinct
Parasaurus	extinct
Parasuchus	extinct
Paratypothorax	extinct
Pareiasaurus	extinct
Pareiasuchus	extinct
Parringtonia	extinct
Partanosaurus	extinct
Parvosuchus	extinct
Pectodens	extinct
Pelecymala	extinct
Pendraig	extinct
Pentaedrusaurus	extinct
Permotriturus	extinct
Pessopteryx	extinct
Peteinosaurus	extinct
Phaanthosaurus	extinct
Phalarodon	extinct
Phantomosaurus	extinct
Phonodus	extinct
Pinheirochampsa	extinct
Pintosaurus	extinct
Pisanosaurus	extinct
Pistosaurus	extinct
Placochelys	extinct
Placodus	extinct
Planocephalosaurus	extinct
Plateosauravus	extinct
Plateosaurus	extinct
Plesiosaurus	extinct
Polesinesuchus	extinct
Polonosuchus	extinct
Polymorphodon	extinct
Poposaurus	extinct
Postosuchus	extinct
Powellvenator	extinct
Pravusuchus	extinct
Preondactylus	extinct
Prestosuchus	extinct
Procerosuchus	extinct
Procolina	extinct
Procolophon	extinct
Procolophonichnium	extinct
Procompsognathus	extinct
Proganochelys	extinct
Prolacerta	extinct
Prolacertoides	extinct
Prosantosaurus	extinct
Prosaurosphargis	extinct
Protanystropheus	extinct
Protecovasaurus	extinct
Protenodontosaurus	extinct
Proteosaurus	extinct
Proterochampsa	extinct
Proterochersis	extinct
Proterosuchus	extinct
Protoavis	extinct
Protocaptorhinus	extinct
Protoichthyosaurus	extinct
Protome	extinct
Protorosaurus	extinct
Protorothyris	extinct
Protosuchus	extinct
Provelosaurus	extinct
Psephochelys	extinct
Psephoderma	extinct
Psephosauriscus	extinct
Psephosaurus	extinct
Pseudhesperosuchus	extinct
Pseudochampsa	extinct
Pterodactylus	extinct
Puercosuchus	extinct
Pumiliopareia	extinct
Qianichthyosaurus	extinct
Qianosuchus	extinct
Qianxisaurus	extinct
Quasianosteosaurus	extinct
Raibliania	extinct
Rauisuchus	extinct
Rautiania	extinct
Redondasuchus	extinct
Redondavenator	extinct
Retymaijychampsa	extinct
Revueltosaurus	extinct
Rhaeticosaurus	extinct
Rhipaeosaurus	extinct
Rhomaleosaurus	extinct
Rhombopholis	extinct
Rioarribasuchus	extinct
Riojasaurus	extinct
Riojasuchus	extinct
Romeria	extinct
Rothianiscus	extinct
Ruehleia	extinct
Rugarhynchos	extinct
Ruhuhuaria	extinct
Rutiodon	extinct
Sacisaurus	extinct
Saltoposuchus	extinct
Sanchiaosaurus	extinct
Sanchuansaurus	extinct
Sanjuansaurus	extinct
Santaisaurus	extinct
Sarcosaurus	extinct
Sarmatosuchus	extinct
Saturnalia	extinct
Saurodektes	extinct
Sauropareion	extinct
Saurorictus	extinct
Saurosternon	extinct
Saurosuchus	extinct
Scelidosaurus	extinct
Scharschengia	extinct
Schleitheimia	extinct
Schultzsuchus	extinct
Sclerocormus	extinct
Sclerosaurus	extinct
Sclerostropheus	extinct
Scoloparia	extinct
Scolotosuchus	extinct
Scutarx	extinct
Scutosaurus	extinct
Scythosuchus	extinct
Seazzadactylus	extinct
Serpianosaurus	extinct
Shansisuchus	extinct
Shastasaurus	extinct
Shihtienfenia	extinct
Shonisaurus	extinct
Shringasaurus	extinct
Shuangbaisaurus	extinct
Shuvosaurus	extinct
Sigmala	extinct
Sikannisuchus	extinct
Silesaurus	extinct
Sillosuchus	extinct
Simosaurus	extinct
Sinocyamodus	extinct
Sinosaurosphargis	extinct
Sinosaurus	extinct
Skybalonyx	extinct
Smilodonterpeton	extinct
Smilosuchus	extinct
Sophineta	extinct
Soturnia	extinct
Soumyasaurus	extinct
Sphenotitan	extinct
Sphodrosaurus	extinct
Spinosuchus	extinct
Spondylolestes	extinct
Spondylosoma	extinct
Stagonolepis	extinct
Stagonosuchus	extinct
Staurikosaurus	extinct
Stauromatodon	extinct
Stegomus	extinct
