occurrence_no,common_body_parts,pres_mode,preservation_quality,abund_value,abund_unit,class,order,family,genus,life_habit,diet,collection_no,early_interval,late_interval,time_bins,museum,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,lithology2,lithification2,environment,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,preservation_comments,collection_type,collection_methods,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
1328478,,body,variable,NA,,Osteichthyes,Cotylosauria,Caseidae,Casea,,,67735,Kungurian,,Kungurian,,283.5,273.01,278.255,10.49,-99.75,32.130001,,US,Texas,Taylor,Vale,,,,Casea nicholsi,NA,species,120853,Casea nicholsi,species,120853,,Olson and Mead,1982,59144,"Taylor County, WPA Site 7",NA,B.E.G. 30996; Work Project No. 13107; Sid McAdams Locality,based on nearby landmark,2,outcrop,"""southern part of Taylor County, Texas, in the SW 1/4 of section 436 of the M. P. King survey, on the property of Mr. C.O. Patterson, Route 1, Lawn, Texas... 6 miles southwest of the small town of Lawn"" (coordinate based on Lawn).\r\nAccording to Olson & Mead (1982) this locality contains a number of different sub-localities (""sites""), which here at treated as one locality.\r\nAlso located 9 mi. S and 0.25 mi. E of the Ovalo schoolhouse.",gplates,101,mid,-30.15,0.6,scotese,101,mid,-29.2,2.38,seton,not computable using this model,NA,NA,NA,US,,group of beds,"""22 feet above the Vale-Standpipe contact""\r\nthe base and top of the Clear Fork Group (i.e., Arroyo, Vale, and Choza formations) are both within the Kungurian: see Wardlaw 2005 (Permophiles) for the base, and DiMichele et al. 2001 (J Paleont) for the top","""siliceous clays""\r\n""grey and red clay beds immediately beneath a grayish, poorly-consolidated conglomerate""",claystone,"gray,red",,conglomerate,,delta plain,"""low delta or floodplain... very still water""",macrofossils,,,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",species names,,,WPA,1939–1940,University of Texas,"Locality number TMM 30966 preceeds specimens found at this location (Olson & Mead, 1982)",terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328477,,body,variable,NA,,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,,,67735,Kungurian,,Kungurian,,283.5,273.01,278.255,10.49,-99.75,32.130001,,US,Texas,Taylor,Vale,,,,Dimetrodon giganhomogenes,NA,species,138123,Dimetrodon gigashomogenes,species,138123,corrected to,Olson and Mead,1982,59144,"Taylor County, WPA Site 7",NA,B.E.G. 30996; Work Project No. 13107; Sid McAdams Locality,based on nearby landmark,2,outcrop,"""southern part of Taylor County, Texas, in the SW 1/4 of section 436 of the M. P. King survey, on the property of Mr. C.O. Patterson, Route 1, Lawn, Texas... 6 miles southwest of the small town of Lawn"" (coordinate based on Lawn).\r\nAccording to Olson & Mead (1982) this locality contains a number of different sub-localities (""sites""), which here at treated as one locality.\r\nAlso located 9 mi. S and 0.25 mi. E of the Ovalo schoolhouse.",gplates,101,mid,-30.15,0.6,scotese,101,mid,-29.2,2.38,seton,not computable using this model,NA,NA,NA,US,,group of beds,"""22 feet above the Vale-Standpipe contact""\r\nthe base and top of the Clear Fork Group (i.e., Arroyo, Vale, and Choza formations) are both within the Kungurian: see Wardlaw 2005 (Permophiles) for the base, and DiMichele et al. 2001 (J Paleont) for the top","""siliceous clays""\r\n""grey and red clay beds immediately beneath a grayish, poorly-consolidated conglomerate""",claystone,"gray,red",,conglomerate,,delta plain,"""low delta or floodplain... very still water""",macrofossils,,,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",species names,,,WPA,1939–1940,University of Texas,"Locality number TMM 30966 preceeds specimens found at this location (Olson & Mead, 1982)",terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328464,,body,,NA,,Osteichthyes,Anomodontia,Geikiidae,Aulacephalodon,,herbivore,178734,Wuchiapingian,,Wuchiapingian,BPI,259.51,254.14,256.825,5.37,23.766666,-31.950001,"BP 156, a complete skull",ZA,Western Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Aulacephalodon bainii,NA,species,302399,Aulacocephalodon n. sp. vanderhorsti,species,345688,subjective synonym of,Kitching,1977,27216,"Leeufontein, Murraysburg",NA,Leeuwfontein,based on nearby landmark,minutes,outcrop,Coordinates based on Murraysburg,gplates,701,mid,-19.6,-51.57,scotese,701,mid,-29.47,-61.17,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data,,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,field collection,,,,Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328463,,body,,6,individuals,Osteichthyes,Dicynodontia,Cistecephalidae,Cistecephalus,,herbivore,178734,Wuchiapingian,,Wuchiapingian,BPI,259.51,254.14,256.825,5.37,23.766666,-31.950001,,ZA,Western Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Cistecephalus microrhinus,NA,species,56851,Cistecephalus microrhinus,species,56851,,Kitching,1977,27216,"Leeufontein, Murraysburg",NA,Leeuwfontein,based on nearby landmark,minutes,outcrop,Coordinates based on Murraysburg,gplates,701,mid,-19.6,-51.57,scotese,701,mid,-29.47,-61.17,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data,,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,field collection,,,,Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328462,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Arctops,,carnivore,178734,Wuchiapingian,,Wuchiapingian,BPI,259.51,254.14,256.825,5.37,23.766666,-31.950001,"BP/1/265, skull",ZA,Western Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Arctops kitchingi,NA,species,340812,Arctops n. sp. kitchingi,species,340812,,Sigogneau-Russell,1989,57886,"Leeufontein, Murraysburg",NA,Leeuwfontein,based on nearby landmark,minutes,outcrop,Coordinates based on Murraysburg,gplates,701,mid,-19.6,-51.57,scotese,701,mid,-29.47,-61.17,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data,,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,field collection,,,,Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328268,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Smilesaurus,,carnivore,176919,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,24.544722,-32.261665,"RC 81, skull",ZA,Eastern Cape,Graaff-Reinet,,Beaufort,,Cistecephalus Assemblage Zone,Smilesaurus ferox,NA,species,335437,Smilesaurus n. sp. maccabei,species,335505,subjective synonym of,Broom,1948,57014,"Riversdale, Graaff-Reinet",NA,,based on nearby landmark,seconds,outcrop,Coordinates based on Graaff-Reinet,gplates,701,mid,-19.53,-52.29,scotese,701,mid,-29.55,-61.9,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Direct dates for the Cistecephalus Assemblage zone from Rubidge et al., 2013",,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,"RC: Rubidge Collection, Wellwood",,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328264,,body,,NA,,Osteichthyes,Therocephalia,Lycideopidae,Tetracynodon,,carnivore,178695,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,23.65,-32.116665,,ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Tetracynodon tenuis,NA,species,270394,cf. Tetracynodon tenuis,species,270394,,Kitching,1977,27216,"Aasvoëlkrans, Murraysburg (Daptocephalus Assemblage Zone)",NA,"Aasvogelkrans, Kapokplaas",based on nearby landmark,6,outcrop,,gplates,701,mid,-18.94,-51.22,scotese,701,mid,-29.33,-61.28,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Daptocephalus or Dicynodon Assemblage Zone constrained as late Wuchiapingian to Changhsingian on the basis of radioisotopic data (Rubidge et al. 2013),,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,B. J. Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328263,,body,,NA,,Osteichthyes,Therocephalia,Ictidosuchidae,Ictidosuchops,,carnivore,178695,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,23.65,-32.116665,,ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Ictidosuchops intermedius,NA,species,376360,Ictidosuchops intermedius,species,376360,,Kitching,1977,27216,"Aasvoëlkrans, Murraysburg (Daptocephalus Assemblage Zone)",NA,"Aasvogelkrans, Kapokplaas",based on nearby landmark,6,outcrop,,gplates,701,mid,-18.94,-51.22,scotese,701,mid,-29.33,-61.28,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Daptocephalus or Dicynodon Assemblage Zone constrained as late Wuchiapingian to Changhsingian on the basis of radioisotopic data (Rubidge et al. 2013),,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,B. J. Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328262,,body,,1,specimens,Osteichthyes,Cotylosauria,Gorgonopidae,Arctops,,carnivore,178695,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,23.65,-32.116665,"BP/1/263, complete skull",ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Arctops watsoni,NA,species,340786,Arctops n. sp. watsoni,species,340786,,Brink and Kitching,1953,59048,"Aasvoëlkrans, Murraysburg (Daptocephalus Assemblage Zone)",NA,"Aasvogelkrans, Kapokplaas",based on nearby landmark,6,outcrop,,gplates,701,mid,-18.94,-51.22,scotese,701,mid,-29.33,-61.28,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Daptocephalus or Dicynodon Assemblage Zone constrained as late Wuchiapingian to Changhsingian on the basis of radioisotopic data (Rubidge et al. 2013),,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,B. J. Kitching,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1328261,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Arctops,,carnivore,178694,Wuchiapingian,,Wuchiapingian,BMNH,259.51,254.14,256.825,5.37,26.633333,-32.783333,"BMNH 4099, posterior half of a skull",ZA,Eastern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Arctops willistoni,NA,species,340785,n. gen. Arctops n. sp. willistoni,species,340785,,Sigogneau-Russell,1989,57886,"Howse Poort, Fort Beaufort",NA,,based on nearby landmark,minutes,small collection,Coordinates based on Fort Beaufort,gplates,701,mid,-18.9,-54.09,scotese,701,mid,-29.19,-63.73,seton,not computable using this model,NA,NA,NA,ZA,,bed,Cistecephalus Assemblage Zone constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013),,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327833,,body,,1,individuals,Osteichthyes,Therocephalia,Whaitsiidae,Theriognathus,,carnivore,178477,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,24.0275,-31.8125,"BP/1/147, skull",ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Theriognathus microps,NA,species,343308,Notosollasia n. sp. boonstrai,species,343231,subjective synonym of,Kitching,1977,27216,"Milton (De Hoop), Murraysburg",NA,Swavel Kranse,based on nearby landmark,seconds,outcrop,"Based on farm of De Hoop, near Murraysburg",gplates,701,mid,-18.27,-51.34,scotese,701,mid,-28.48,-61.45,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Daptocephalus or Dicynodon Assemblage Zone, constrained as late Wuchiapingian to Changhsingian by radioisotopic data (Rubidge et al. 2013, Geology). ",,not reported,,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327832,,body,,NA,,Osteichthyes,Anomodontia,Oudenodontidae,Oudenodon,,herbivore,178477,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,24.0275,-31.8125,,ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Oudenodon bainii,NA,species,91713,Oudenodon bainii,species,91713,,Kitching,1977,27216,"Milton (De Hoop), Murraysburg",NA,Swavel Kranse,based on nearby landmark,seconds,outcrop,"Based on farm of De Hoop, near Murraysburg",gplates,701,mid,-18.27,-51.34,scotese,701,mid,-28.48,-61.45,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Daptocephalus or Dicynodon Assemblage Zone, constrained as late Wuchiapingian to Changhsingian by radioisotopic data (Rubidge et al. 2013, Geology). ",,not reported,,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327831,,body,,NA,,Osteichthyes,Anomodontia,Geikiidae,Aulacephalodon,,herbivore,178477,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,24.0275,-31.8125,"BPI 187, an almost complete and undistorted skull without lower jaw",ZA,Western Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Aulacephalodon bainii,NA,species,302399,Proaulacocephalodon n. sp. miltoni,species,345690,subjective synonym of,Kitching,1977,27216,"Milton (De Hoop), Murraysburg",NA,Swavel Kranse,based on nearby landmark,seconds,outcrop,"Based on farm of De Hoop, near Murraysburg",gplates,701,mid,-18.27,-51.34,scotese,701,mid,-28.48,-61.45,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Daptocephalus or Dicynodon Assemblage Zone, constrained as late Wuchiapingian to Changhsingian by radioisotopic data (Rubidge et al. 2013, Geology). ",,not reported,,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327829,,body,,1,specimens,Osteichthyes,Cotylosauria,Gorgonopidae,Smilesaurus,,carnivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,"BP/1/2465, complete skull",ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Smilesaurus ferox,NA,species,335437,Arctops ferox ?,species,340788,recombined as,Sigogneau-Russell,1989,57886,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327828,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Lycaenops,,carnivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,"BP/1/334, deformed skull",ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Lycaenops ornatus,NA,species,341016,Lycaenops ornatus,species,341016,,Sigogneau-Russell,1989,57886,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327827,,body,,NA,,Osteichthyes,Therocephalia,Ictidosuchidae,Ictidosuchops,,carnivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,,ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Ictidosuchops intermedius,NA,species,376360,Ictidosuchops intermedius,species,376360,,Kitching,1977,27216,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327826,,body,,NA,,Osteichthyes,Anomodontia,Rhachiocephalidae,Rhachiocephalus,,herbivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,,ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Rhachiocephalus magnus,NA,species,338939,Rhachiocephalus magnus,species,338940,,Kitching,1977,27216,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327825,,body,,NA,,Osteichthyes,Anomodontia,Oudenodontidae,Oudenodon,,herbivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,,ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Oudenodon bainii,NA,species,91713,Oudenodon bainii,species,91713,,Kitching,1977,27216,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327824,,body,,NA,,Osteichthyes,Anomodontia,Geikiidae,Aulacephalodon,,herbivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,,ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Aulacephalodon,NA,genus,39016,Aulacephalodon baini,species,39016,species not entered,Kitching,1977,27216,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327823,,body,,NA,,Osteichthyes,Dicynodontia,Cistecephalidae,Cistecephalus,,herbivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,,ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Cistecephalus microrhinus,NA,species,56851,Cistecephalus microrhinus,species,56851,,Kitching,1977,27216,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327818,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Arctognathus,,carnivore,178523,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,23.946667,-31.413334,"SAM-PK-9345, skull with lower jaws",ZA,Northern Cape,,,Beaufort,,Cistecephalus Assemblage Zone,Arctognathus breviceps,NA,species,340488,n. gen. Arctognathoides n. sp. breviceps,species,340488,recombined as,Sigogneau-Russell,1989,57886,"Oudeplaas, Richmond",NA,,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.73,-51.44,scotese,701,mid,-28.32,-61.11,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,Cistecephalus Assemblage Zone is constrained as Wuchiapingian on the basis of radioisotopic data (Rubidge et al. 2013). ,,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327764,,body,good,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Arctognathus,,carnivore,174741,Wuchiapingian,Changhsingian,-,,259.51,251.902,255.706,7.608,24.533333,-32.25,"BP/1/174, skull with lower jaw",ZA,Eastern Cape,,,Beaufort,,Dicynodon Assemblage Zone,Arctognathus curvimola,NA,species,56822,Lycaenops n. sp. pricei,species,323836,subjective synonym of,Sigogneau-Russell,1989,57886,"Ferndale, Graaff-Reinet (Dicynodon Assemblage Zone)",NA,,based on nearby landmark,minutes,small collection,Coordinates based on town of Graaff-Reinet,gplates,701,mid,-18.53,-51.93,scotese,701,mid,-28.97,-62.02,seton,not computable using this model,NA,NA,NA,ZA,,bed,"Direct maximum date for Dicynodon assemblage zone from Rubidge et al., 2013",,"""siliciclastic""",,,,,terrestrial indet.,,macrofossils,some,,,,,taxonomic,survey of museum collection,,,,Rev. J. H. Whaits,,"SAM: Iziko South African Museum, Cape Town",,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327763,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Arctognathus,,carnivore,178500,Wuchiapingian,Changhsingian,-,BMNH,259.51,251.902,255.706,7.608,26.033333,-32.633331,"BMNH 47339, incomplete and crushed skull",ZA,Eastern Cape,,,Beaufort,,Daptocephalus Assemblage Zone,Arctognathus curvimola,NA,species,56822,Lycosaurus n. sp. curvimola,species,56822,recombined as,Sigogneau-Russell,1989,57886,"Kagaberg, Bedford",NA,Kuga Berg,based on nearby landmark,minutes,outcrop,,gplates,701,mid,-18.05,-53.22,scotese,701,mid,-28.69,-63.33,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Daptocephalus or Dicynodon Assemblage Zone is constrained as late Wuchiapingian to Changhsingian on the basis of radioisotopic data (Rubidge et al. 2013, Geology)",,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,survey of museum collection,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327758,,"body,concretion",,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Aloposaurus,,carnivore,80176,Wuchiapingian,Changhsingian,-,BPI,259.51,251.902,255.706,7.608,23.766666,-31.950001,"BP/1/257, compressed and crushed skull with lower jaw",ZA,Western Cape,,Balfour,Beaufort,,Dicynodon Assemblage,Aloposaurus tenuis,NA,species,340435,Aloposauroides tenuis,species,340435,recombined as,Brink and Kitching,1953,59048,"Swaelkrans, Murraysburg",NA,Swalekranz,based on nearby landmark,minutes,outcrop,"""Locality Swaelkrans, Murraysburg."" (Gow, 1972). This site is mentioned as ""Swalekranz"" by Watson (1957, Phil. Trans. R. Soc. B 240). Polar coordinates are for Murraysburg.",gplates,701,mid,-18.63,-51.22,scotese,701,mid,-28.93,-61.3,seton,not computable using this model,NA,NA,NA,ZA,,group of beds,"Fossils come from the Daptocephalus or Dicynodon Assemblage Zone. Geographic and stratigraphic data suggest that the locality is in the Balfour Formation of the Beaufort Group (see Catuneanu et al., 2005, J. Afr. Earth Sci., 43, figs. 24, 25). The Dicynodon AZ is constrained to late Wuchiapingian-Changhsingian on the basis of radioisotopic data (Rubidge et al. 2013, Geology). ",,mudstone,green,,,,terrestrial indet.,,macrofossils,,,,,"""The material [of specimen BP/1/720] consists of a single nodule containing the remains of at least eight individuals intimately intertwined and partially broken up into many articulated units."" Gow (1972).",taxonomic,"mechanical,acetic,survey of museum collection",,,,J. Kitching,1947,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327697,,body,,1,specimens,Osteichthyes,Cotylosauria,Gorgonopidae,Aelurosaurus,,carnivore,80826,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,24.533333,-32.25,"RC 7, skull",ZA,Eastern Cape,,Middleton/Balfour,Beaufort,,Cistecephalus Assemblage,Aelurosaurus,NA,genus,39109,Aelurosaurus sp.,genus,39109,,Sigogneau-Russell,1989,57886,Graaff-Reinet Commonage,NA,,based on nearby landmark,minutes,basin,Lat long is for the town of Graaff-Reinet.,gplates,701,mid,-19.52,-52.28,scotese,701,mid,-29.54,-61.89,seton,not computable using this model,NA,NA,NA,ZA,,formation,"""Cistecephalus Zone""; The Cistecephalus Assemblage Zone is Wuchiapingian, according to Catuneanu et al. (2005, J. Afr. Earth Sci. 43); Lithostratigraphy is from correlation chart in Catuneanu et al. (2005, p. 237). ",,not reported,,,,,terrestrial indet.,,macrofossils,,,,,,taxonomic,,,,,,,,,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
1327696,,body,,1,individuals,Osteichthyes,Cotylosauria,Gorgonopidae,Aelurosaurus,,carnivore,22661,Wuchiapingian,,Wuchiapingian,,259.51,254.14,256.825,5.37,22.014444,-32.147778,SAM-PK-10678,ZA,Western Cape,Beaufort West,Teekloof,Beaufort,,Tropidostoma Assemblage Zone,Aelurosaurus,NA,genus,39109,Aelurosaurus sp.,genus,39109,,Sigogneau-Russell,1989,57886,Leeukloof,NA,"Leeupoort, Leeuwkloof, ETE Locality 1536",,seconds,outcrop,An area to the east of Leeukloof homestead and where the farm road passes through a small ravine or kloof is locally known as Leeuport,gplates,701,mid,-21.02,-50.36,scotese,701,mid,-30.99,-59.88,seton,not computable using this model,NA,NA,NA,ZA,,,"Originally entered as Kungurian to Olenekian\r\n\r\nDirect date for the Tropidostoma Assemblage Zone from Rubidge et al., 2013\r\n\r\n","ETE rock type adj: 0, ETE lithology comments: .",sandstone,,,claystone,,crevasse splay,"ETE sed env 1: fluvial, ETE sed env 2: crev_splay ETE event: flood, ETE env comment: 0",macrofossils,,,,,"ETE Abrasion: ., ETE Assemblage formation: mass_death, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .",taxonomic,,,,,,,"ETE Size: .; ETE reference list: 478, ; ETE museum list: ",,terrestrial,phosphatic,NA,NA,NA,NA,NA,NA
