genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lambda,avg_mu,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans
Dinosaurus,-0.297424559,1,0,0,0,265.9024975,264.8081975,1.094299939,0.69605234,1.152803684,-1.275559591,-0.229129834
Dolichuranus,-0.250888744,0,0,1,0,246.5226951,242.461345,4.061350112,2.026582657,0.463408549,1.459847768,-0.307756931
Dolomitipes,-0.12624925,0,0,1,0,252.1324577,248.8526386,3.279819041,0.235600692,0.525532043,1.71022892,0.885167436
Dromatherium,-0.297424559,0,1,0,0,219.2315573,218.631907,0.599650252,0.74017666,0.934390751,0.039566226,0.764239401
Dvinia,-0.297424559,1,0,0,0,261.3855107,258.6500965,2.735414188,1.119844406,2.542608003,-0.180695553,1.0967395
Ecteninion,-0.297424559,0,0,1,0,233.6983542,232.1000304,1.598323776,0.388609237,0.369770549,0.490611469,-1.138091374
Edaphosaurus,0.935580605,0,1,0,0,298.8025815,274.5954682,24.20711334,0.122399609,0.618462171,-0.779750253,0.194908819
Elephantosaurus,-0.297424559,1,0,0,0,238.4156947,238.2788116,0.136883127,1.927597536,2.030150892,0.519762364,-0.713689692
Elliotsmithia,-0.297424559,0,0,1,0,262.5873202,261.8179092,0.769410974,0.778787873,0.769788252,-1.54494948,1.524856541
Elph,-0.297424559,1,0,0,0,263.0552008,259.1424019,3.91279892,1.847953133,2.191692053,-0.597882256,1.242224268
Emydochampsa,-0.297424559,0,0,1,0,257.3670619,257.1613134,0.20574856,1.002280349,0.896578349,-0.016673172,-0.859216347
Emydops,0.668769528,0,0,1,0,264.3078508,253.4084414,10.89940936,1.704975532,0.427412657,-0.521222237,0.171806418
Emydorhinus,-0.297424559,0,0,1,0,257.9425551,255.5644156,2.37813956,1.254017296,1.410278813,-0.287535745,-0.43558892
Emydorhynchus,-0.297424559,0,0,1,0,257.4699063,257.2607681,0.20913825,0.96875582,0.87786541,-0.016673172,-0.859216347
Emyduranus,-0.297424559,0,0,1,0,257.7568254,255.5478984,2.208926973,1.037556834,1.266186411,-0.287535745,-0.43558892
Endothiodon,2.436003129,0,1,1,0,264.2354813,252.9027883,11.33269294,1.000621131,0.509507204,-0.593557251,0.160499296
Ennatosaurus,2.009158217,1,1,0,0,274.6064828,262.6459308,11.96055203,0.125649942,0.405923554,-0.829679241,-0.06391123
Eodicynodon,-0.297424559,0,0,1,0,266.8418722,264.4026442,2.439227952,1.549043431,0.560573868,-1.497389609,0.326282106
Eoraetia,-0.297424559,1,0,0,0,205.1871914,204.7047853,0.482406117,1.333672987,1.361809261,-0.226130286,-0.404854956
Eosimops,-0.251476302,0,0,1,0,264.163068,254.8583612,9.304706845,1.556228763,0.913147542,-0.490763959,0.262850442
Eothyris,-0.297424559,0,1,0,0,287.4951112,287.0919246,0.403186628,1.318091794,1.316026557,0.425296576,0.996201225
Eozostrodon,-0.297424559,1,0,0,0,207.0684519,203.8847831,3.183668798,1.308232756,1.226127898,0.09928936,-0.628073699
Ericiolacerta,0.927958444,0,0,1,1,251.49615,246.531409,4.964741024,1.015877808,0.482085922,1.832427301,-0.147641625
Eriphostoma,-0.177974424,0,0,1,0,264.5753984,254.4514487,10.12394971,1.599946829,0.456010892,-0.490763959,0.262850442
Estemmenosuchus,-0.12305256,1,0,0,0,270.1715773,263.9420852,6.22949206,0.231536733,0.252132457,-0.961871871,0.113920587
Etjoia,-0.297424559,0,0,1,0,244.6903416,244.4948929,0.195448671,1.390803393,1.062772381,0.814771646,-0.796538939
Eubrachiosaurus,-0.297424559,0,1,0,0,231.7888773,229.8713504,1.917526882,0.73871449,0.717478171,1.519493516,-1.103213768
Euchambersia,-0.297424559,0,0,1,0,257.0839217,256.902233,0.181688742,0.90681592,1.093443569,-0.016673172,-0.859216347
Euptychognathus,-0.297424559,0,0,1,0,256.4851438,256.2971642,0.18797954,0.779564511,1.119750629,-0.558398319,-0.011961492
Euromycter,-0.297424559,0,1,0,0,280.9272984,280.579059,0.348239405,1.800849869,1.63806493,-0.573634826,1.147213535
Exaeretodon,3.719649219,0,1,1,0,244.7337421,207.1035319,37.63021015,0.32178109,0.087500656,0.674468629,-0.054981505
Fluctuodon,-0.297424559,1,0,0,0,204.8822127,204.3260282,0.556184511,0.887547612,1.067676038,-0.226130286,-0.404854956
