,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min,Rotated Lat,Rotated Lon
228,297334,Volgograd,Nikolsk,Volgograd,RU,,1928,Benthosuchus,251.2,247.2,47.012,29.6875
229,297334,Volgograd,Nikolsk,Volgograd,RU,,1929,Benthosuchus,251.2,247.2,47.012,29.6875
230,297334,Volgograd,Nikolsk,Volgograd,RU,,1930,Benthosuchus,251.2,247.2,47.012,29.6875
231,297334,Volgograd,Nikolsk,Volgograd,RU,,1931,Benthosuchus,251.2,247.2,47.012,29.6875
232,297334,Volgograd,Nikolsk,Volgograd,RU,,1932,Benthosuchus,251.2,247.2,47.012,29.6875
233,297334,Volgograd,Nikolsk,Volgograd,RU,,1933,Benthosuchus,251.2,247.2,47.012,29.6875
234,297334,Volgograd,Nikolsk,Volgograd,RU,,1934,Benthosuchus,251.2,247.2,47.012,29.6875
235,297334,Volgograd,Nikolsk,Volgograd,RU,,1935,Benthosuchus,251.2,247.2,47.012,29.6875
236,297334,Volgograd,Nikolsk,Volgograd,RU,,1936,Benthosuchus,251.2,247.2,47.012,29.6875
237,297334,Volgograd,Nikolsk,Volgograd,RU,,1937,Benthosuchus,251.2,247.2,47.012,29.6875
238,297334,Volgograd,Nikolsk,Volgograd,RU,,1938,Benthosuchus,251.2,247.2,47.012,29.6875
239,297334,Volgograd,Nikolsk,Volgograd,RU,,1939,Benthosuchus,251.2,247.2,47.012,29.6875
240,297334,Volgograd,Nikolsk,Volgograd,RU,,1940,Benthosuchus,251.2,247.2,47.012,29.6875
241,297334,Volgograd,Nikolsk,Volgograd,RU,,1941,Benthosuchus,251.2,247.2,47.012,29.6875
242,297334,Volgograd,Nikolsk,Volgograd,RU,,1942,Benthosuchus,251.2,247.2,47.012,29.6875
243,297334,Volgograd,Nikolsk,Volgograd,RU,,1943,Benthosuchus,251.2,247.2,47.012,29.6875
244,297334,Volgograd,Nikolsk,Volgograd,RU,,1944,Benthosuchus,251.2,247.2,47.012,29.6875
245,297334,Volgograd,Nikolsk,Volgograd,RU,,1945,Benthosuchus,251.2,247.2,47.012,29.6875
246,297334,Volgograd,Nikolsk,Volgograd,RU,,1946,Benthosuchus,251.2,247.2,47.012,29.6875
247,297334,Volgograd,Nikolsk,Volgograd,RU,,1947,Benthosuchus,251.2,247.2,47.012,29.6875
248,297334,Volgograd,Nikolsk,Volgograd,RU,,1948,Benthosuchus,251.2,247.2,47.012,29.6875
249,297334,Volgograd,Nikolsk,Volgograd,RU,,1949,Benthosuchus,251.2,247.2,47.012,29.6875
250,297334,Volgograd,Nikolsk,Volgograd,RU,,1950,Benthosuchus,251.2,247.2,47.012,29.6875
251,297334,Volgograd,Nikolsk,Volgograd,RU,,1951,Benthosuchus,251.2,247.2,47.012,29.6875
252,297334,Volgograd,Nikolsk,Volgograd,RU,,1952,Benthosuchus,251.2,247.2,47.012,29.6875
253,297334,Volgograd,Nikolsk,Volgograd,RU,,1953,Benthosuchus,251.2,247.2,47.012,29.6875
254,297334,Volgograd,Nikolsk,Volgograd,RU,,1954,Benthosuchus,251.2,247.2,47.012,29.6875
255,297334,Volgograd,Nikolsk,Volgograd,RU,,1955,Benthosuchus,251.2,247.2,47.012,29.6875
256,297334,Volgograd,Nikolsk,Volgograd,RU,,1956,Benthosuchus,251.2,247.2,47.012,29.6875
257,297334,Volgograd,Nikolsk,Volgograd,RU,,1957,Benthosuchus,251.2,247.2,47.012,29.6875
258,297334,Volgograd,Nikolsk,Volgograd,RU,,1958,Benthosuchus,251.2,247.2,47.012,29.6875
259,297334,Volgograd,Nikolsk,Volgograd,RU,,1959,Benthosuchus,251.2,247.2,47.012,29.6875
260,297334,Volgograd,Nikolsk,Volgograd,RU,,1960,Benthosuchus,251.2,247.2,47.012,29.6875
261,297334,Volgograd,Nikolsk,Volgograd,RU,,1961,Benthosuchus,251.2,247.2,47.012,29.6875
262,297334,Volgograd,Nikolsk,Volgograd,RU,,1962,Benthosuchus,251.2,247.2,47.012,29.6875
263,297334,Volgograd,Nikolsk,Volgograd,RU,,1963,Benthosuchus,251.2,247.2,47.012,29.6875
