,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
227,1927,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
228,1928,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
229,1929,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
230,1930,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
231,1931,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
232,1932,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
233,1933,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
234,1934,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
235,1935,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
236,1936,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
237,1937,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
238,1938,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
239,1939,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
240,1940,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
241,1941,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
242,1942,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
243,1943,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
244,1944,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
245,1945,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
246,1946,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
247,1947,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
248,1948,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
249,1949,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
250,1950,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
251,1951,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
252,1952,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
253,1953,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
254,1954,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
255,1955,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
256,1956,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
257,1957,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
258,1958,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
259,1959,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
260,1960,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
261,1961,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
262,1962,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
263,1963,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
264,1964,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
265,1965,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
266,1966,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
267,1967,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
268,1968,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
269,1969,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
270,1970,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
271,1971,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
272,1972,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
273,1973,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
274,1974,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
275,1975,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
276,1976,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
277,1977,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
278,1978,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
279,1979,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
280,1980,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
281,1981,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
282,1982,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
283,1983,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
284,1984,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
285,1985,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
286,1986,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
287,1987,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
288,1988,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
289,1989,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
290,1990,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
291,1991,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
292,1992,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
293,1993,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
294,1994,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
295,1995,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
296,1996,Benthosuchus,Nikolsk,Vologda,297334,251.2,247.2,RU,47.012,29.6875
