id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,locality
43,220082,220082,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
44,220082,220082,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
45,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
46,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
47,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
48,220084,220084,30.98263,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed",Baden-Württemberg
49,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",East Greenland
50,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",East Greenland
51,283828,283828,40.08932,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land",East Greenland
52,283860,283860,40.08932,Issi,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Malmros Klint,,"Iron Cake site, northern flank of Macknight Bjerg",area V,East Greenland
53,360364,360364,-50.49719,Zupaysaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,La Rioja,Los Colorados,,Quebrada de los Jachaleros,"Zupaysaurus type, La Esquina/El Salto",La Rioja
54,385301,385301,-56.03159,Melanorosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"Thaba 'Nyama, Herschel (zone A/6)","Melanorosaurus type, Black Mountain, Thabanyama-Bensonvale",Eastern Cape
55,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit",Eastern Cape
56,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit",Eastern Cape
57,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit",Eastern Cape
58,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit",Eastern Cape
59,406864,406864,1.353064,Desmatosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
60,406867,406867,1.353064,Smilosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
61,406869,406869,1.353064,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
62,406872,406872,1.353064,Camposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
63,406876,406876,1.353064,Calyptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
64,407766,407766,1.353064,Tanytrachelos,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",,Arizona
65,407767,407767,1.353064,Smilosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",,Arizona
66,407768,407768,1.353064,Parasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",,Arizona
67,407776,407776,1.353064,Acaenasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",,Arizona
68,423245,423245,1.353064,Poposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",,Arizona
69,423280,423280,1.353064,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
70,423281,423281,1.353064,Poposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
71,423285,423285,1.353064,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
72,423286,423286,1.353064,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
73,423288,423288,1.353064,Tanytrachelos,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
74,461293,461293,-46.11636,Unaysaurus,227,208.5,Late Triassic,"(227.0, 208.5)",BR,Rio Grande do Sul,Rio Grande do Sul,Caturrita,Ictidosauria,Água Negra,Unaysaurus type site,Rio Grande do Sul
75,475078,475078,3.836582,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",,New Mexico
76,475079,475079,3.836582,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",,New Mexico
77,475081,475081,3.836582,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",,New Mexico
78,479381,479381,32.59323,Teratosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Wurttemberg,Stuttgart,Löwenstein,,"Heslach quarries, Stuttgart, ""Heslacher Wand""",,Baden-Württemberg
79,479563,479563,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Schaffhausen,Schaffhausen,Klettgau,,"Santierge, Schleitheim",Schleitheim-Santierge,Schaffhausen
80,483859,483859,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Lacey Point SW1, SMU 229, PFV 27","""Dinosaur Hill"", Mesa Mound, UCMP V82242, PEFO 85106",Arizona
81,483884,483884,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Crosby,Tecovas,,"NMMNH L-1312, Lower Kalgary","Home Creek, SMU Loc. 120, Holmes Creek",Texas
82,484673,484673,1.357201,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"NMMNH Loc. 001, Revuelto Creek",,New Mexico
83,484986,484986,1.353064,Chindesaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie",Arizona
84,484986,484986,1.353064,Chindesaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie",Arizona
85,484987,484987,1.353064,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie",Arizona
86,486103,486103,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes irisées supérieures,,"Villette railroad cutting, Poligny","Arbois, Vilette",Jura
87,486104,486104,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes irisées supérieures,,"Bois de Cassagne, Poligny","Dimodosaurus type, Bois de Chassagne",Jura
88,486145,486145,29.0864,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes de Châlins,,Le Fechaux,"Lons-le-Saunier, Le Feschaux",Jura
89,486146,486146,29.0864,Gresslyosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes de Châlins,,Le Fechaux,"Lons-le-Saunier, Le Feschaux",Jura
90,486393,486393,34.47747,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Bayern,Bayern,Trossingen,,"Heroldsberg, Feuerletten","Plateosaurus type site, Nürnberg",Bavaria
91,486395,486395,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Bayern,Bayern,Trossingen,,"Heroldsberg, Feuerletten","Plateosaurus type site, Nürnberg",Bavaria
92,486405,486405,32.59323,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Baden-Württemberg,Trossingen,,"Bl. 7220, Degerloch",,Baden-Württemberg
93,486408,486408,32.59323,Gresslyosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Baden-Württemberg,Trossingen,,"Degerloch, Stuttgart",,Baden-Württemberg
94,486412,486412,34.47747,Ruehleia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg,Thuringia
95,486412,486412,34.47747,Ruehleia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg,Thuringia
96,486413,486413,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg,Thuringia
97,486413,486413,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg,Thuringia
98,490747,490747,1.357201,Gojirasaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
99,490749,490749,1.357201,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
100,490750,490750,1.357201,Rutiodon,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
101,490751,490751,1.357201,Rioarribasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
102,490752,490752,1.357201,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
