,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
329,3087,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
330,3088,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
331,3089,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
332,3090,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
333,3091,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
334,3092,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
335,3093,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
336,3094,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
337,3095,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
338,3096,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
339,3097,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
340,3081,Gorgodon,Knox,Texas,788182,283.5,266.9,US,0.2573,-40.5036
341,3082,Gorgodon,Knox,Texas,788182,283.5,266.9,US,0.2573,-40.5036
342,3079,Knoxosaurus,Knox,Texas,788184,283.5,266.9,US,0.2573,-40.5036
343,3080,Knoxosaurus,Knox,Texas,788184,283.5,266.9,US,0.2573,-40.5036
346,3075,Angelosaurus,Knox,Texas,788190,283.5,266.9,US,0.2573,-40.5036
347,3076,Angelosaurus,Knox,Texas,788190,283.5,266.9,US,0.2573,-40.5036
349,3072,Caseoides,Knox,Texas,788192,283.5,266.9,US,0.2573,-40.5036
350,3073,Caseoides,Knox,Texas,788192,283.5,266.9,US,0.2573,-40.5036
352,3067,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9,US,2.4612,-39.3231
353,3068,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9,US,2.4612,-39.3231
354,3069,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9,US,2.4612,-39.3231
355,3070,Cotylorhynchus,Hardeman,Texas,788196,283.5,266.9,US,2.4612,-39.3231
358,3061,Cotylorhynchus,Knox,Texas,788199,283.5,266.9,US,0.2573,-40.5036
359,3062,Cotylorhynchus,Knox,Texas,788199,283.5,266.9,US,0.2573,-40.5036
360,3063,Cotylorhynchus,Knox,Texas,788199,283.5,266.9,US,0.2573,-40.5036
361,3064,Cotylorhynchus,Knox,Texas,788199,283.5,266.9,US,0.2573,-40.5036
370,3050,Cotylorhynchus,Knox,Texas,788509,283.5,266.9,US,0.2573,-40.5036
371,3051,Cotylorhynchus,Knox,Texas,788509,283.5,266.9,US,0.2573,-40.5036
372,3052,Cotylorhynchus,Knox,Texas,788509,283.5,266.9,US,0.2573,-40.5036
374,3047,Cotylorhynchus,Knox,Texas,788517,283.5,266.9,US,0.2573,-40.5036
375,3048,Cotylorhynchus,Knox,Texas,788517,283.5,266.9,US,0.2573,-40.5036
378,3042,Dimacrodon,Hardeman,Texas,788527,283.5,266.9,US,2.4612,-39.3231
379,3043,Dimacrodon,Hardeman,Texas,788527,283.5,266.9,US,2.4612,-39.3231
380,3044,Dimacrodon,Hardeman,Texas,788527,283.5,266.9,US,2.4612,-39.3231
381,3039,Cotylorhynchus,Knox,Texas,788965,283.5,266.9,US,0.2573,-40.5036
382,3040,Cotylorhynchus,Knox,Texas,788965,283.5,266.9,US,0.2573,-40.5036
383,3041,Cotylorhynchus,Knox,Texas,788965,283.5,266.9,US,0.2573,-40.5036
393,3028,Ophiacodon,Rio Arriba,New Mexico,789382,298.9,286.1,US,2.4804,-43.1405
394,3029,Ophiacodon,Rio Arriba,New Mexico,789382,298.9,286.1,US,2.4804,-43.1405
397,3022,Sinophoneus,,Gansu,789658,273.01,266.9,CN,39.6978,104.1239
398,3023,Sinophoneus,,Gansu,789658,273.01,266.9,CN,39.6978,104.1239
399,3024,Sinophoneus,,Gansu,789658,273.01,266.9,CN,39.6978,104.1239
400,3025,Sinophoneus,,Gansu,789658,273.01,266.9,CN,39.6978,104.1239
401,3019,Biseridens,,Gansu,789659,273.01,266.9,CN,39.6978,104.1239
402,3020,Biseridens,,Gansu,789659,273.01,266.9,CN,39.6978,104.1239
403,3021,Biseridens,,Gansu,789659,273.01,266.9,CN,39.6978,104.1239
404,3017,Varanosaurus,Baylor,Texas,789745,283.5,273.01,US,-1.1855,-37.6892
405,3018,Varanosaurus,Baylor,Texas,789745,283.5,273.01,US,-1.1855,-37.6892
413,3005,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7,US,0.3973,-33.9668
414,3006,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7,US,0.3973,-33.9668
415,3007,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7,US,0.3973,-33.9668
416,3008,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7,US,0.3973,-33.9668
417,3009,Ianthasaurus,Anderson,Kansas,789940,305.9,303.7,US,0.3973,-33.9668
419,3002,Ophiacodon,Archer,Texas,789971,298.9,286.1,US,-2.7466,-38.9219
420,3003,Ophiacodon,Archer,Texas,789971,298.9,286.1,US,-2.7466,-38.9219
422,2995,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
423,2996,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
424,2997,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
425,2998,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
426,2999,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
427,3000,Haptodus,WeiÃeritzkreis,Saxony,789977,298.9,293.52,DE,16.0936,19.7625
471,2950,Archaeothyris,Jefferson,Ohio,791558,309.8,307.4,US,-0.4818,-24.8936
472,2951,Archaeothyris,Jefferson,Ohio,791558,309.8,307.4,US,-0.4818,-24.8936
473,2948,Ophiacodon,Archer,Texas,791563,290.1,283.5,US,-2.9808,-38.7628
474,2949,Ophiacodon,Archer,Texas,791563,290.1,283.5,US,-2.9808,-38.7628
489,2932,Casea,Knox,Texas,794392,283.5,273.01,US,0.2573,-40.5036
490,2933,Casea,Knox,Texas,794392,283.5,273.01,US,0.2573,-40.5036
494,2914,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
495,2915,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
496,2916,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
497,2917,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
