Species	Status
Perplexisaurus	extinct
Phocosaurus	extinct
Phreatophasma	extinct
Phthinosaurus	extinct
Placerias	extinct
Planitorostris	extinct
Platycraniellus	extinct
Platycyclops	extinct
Platypodosaurus	extinct
Plinthogomphodon	extinct
Polonodon	extinct
Polycynodon	extinct
Porosteognathus	extinct
Pravoslavlevia	extinct
Pristerodon_Temperate_S	extinct
Pristerognathoides	extinct
Pristerognathus	extinct
Pristerosaurus	extinct
Probainognathus	extinct
Proburnetia	extinct
Procynosuchus_Temperate_N	extinct
Procynosuchus_Temperate_S	extinct
Prodicynodon	extinct
Progalesaurus	extinct
Promoschorhynchus	extinct
Prosictodon	extinct
Protheriodon	extinct
Protuberum	extinct
Prozostrodon	extinct
Pseudotherium	extinct
Pseudotriconodon_Temperate_N	extinct
Pseudotriconodon_Tropical_N	extinct
Ptomalestes	extinct
Purlovia	extinct
Putillosaurus	extinct
Pyozia	extinct
Rabidosaurus	extinct
Raranimus	extinct
Rastodon	extinct
Rechnisaurus	extinct
Redondagnathus	extinct
Regisaurus	extinct
Reiszia	extinct
Remigiomontanus	extinct
Repelinosaurus	extinct
Rewaconodon_Temperate_S	extinct
Rewaconodon_Tropical_S	extinct
Rhachiocephalus	extinct
Rhadiodromus	extinct
Rhinodicynodon	extinct
Rhopalodon	extinct
Riebeeckosaurus	extinct
Riograndia	extinct
Riojanodon	extinct
Robertia	extinct
Rosieria	extinct
Ruberodon	extinct
Rubidgea	extinct
Ruhuhucerberus	extinct
Ruthenosaurus	extinct
Ruthiromia	extinct
Sangusaurus	extinct
Santacruzgnathus	extinct
Santacruzodon	extinct
Santagnathus	extinct
Sauroctonus_Temperate_N	extinct
Sauroctonus_Temperate_S	extinct
Sauroscaptor	extinct
Scalenodon	extinct
Scalenodontoides	extinct
Scalopocephalus	extinct
Scalopodontes	extinct
Scalopognathus	extinct
Scaloporhinus	extinct
Scaloposaurus	extinct
Scaloposuchus	extinct
Scylacoides	extinct
Scylacops	extinct
Scylacosaurus	extinct
Scylacosuchus	extinct
Scymnosaurus	extinct
