id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
8657,1337224,Hofmeyria,259.51,254.14,Eastern Cape,1
8658,1337223,Clelandina,259.51,254.14,Eastern Cape,1
8659,1337222,Arctops,259.51,254.14,Eastern Cape,1
8660,1337221,Oudenodon,259.51,254.14,Eastern Cape,1
8661,1337220,Aulacephalodon,259.51,254.14,Eastern Cape,1
8662,1337219,Endothiodon,259.51,254.14,Eastern Cape,1
8663,1337216,Rhachiocephalus,259.51,254.14,Eastern Cape,1
8672,1332078,Kitchinganomodon,259.51,254.14,Eastern Cape,1
8673,1331668,Nanictocephalus,259.51,254.14,Eastern Cape,1
8674,1331667,Rhachiocephalus,259.51,254.14,Eastern Cape,1
8675,1331666,Oudenodon,259.51,254.14,Eastern Cape,1
8676,1331665,Aulacephalodon,259.51,254.14,Eastern Cape,1
8677,1331664,Diictodon,259.51,254.14,Eastern Cape,1
8678,1331663,Diictodon,259.51,254.14,Eastern Cape,1
8679,1331662,Cistecephalus,259.51,254.14,Eastern Cape,1
8681,1329111,Smilesaurus,259.51,254.14,Eastern Cape,1
8682,1329094,Rubidgea,259.51,254.14,Eastern Cape,1
8684,1329091,Dinogorgon,259.51,254.14,Eastern Cape,1
8685,1329040,Rubidgea,259.51,254.14,Eastern Cape,1
8686,1329035,Ictidosuchops,259.51,254.14,Eastern Cape,1
8687,1329034,Scylacops,259.51,254.14,Eastern Cape,1
8688,1329033,Scylacops,259.51,254.14,Eastern Cape,1
8736,1328512,Nanictidops,259.51,254.14,Eastern Cape,1
8737,1328511,Rubidgea,259.51,254.14,Eastern Cape,1
8738,1328510,Cyonosaurus,259.51,254.14,Eastern Cape,1
8748,1328504,Cyonosaurus,259.51,254.14,Eastern Cape,1
8753,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8754,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8755,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8756,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8757,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8758,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8759,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8760,1328497,Cistecephalus,259.51,254.14,Eastern Cape,1
8761,1328496,Aulacephalodon,259.51,254.14,Eastern Cape,1
8762,1328495,Cyonosaurus,259.51,254.14,Eastern Cape,1
8763,1328494,Cerdorhinus,259.51,254.14,Eastern Cape,1
8772,1328268,Smilesaurus,259.51,254.14,Eastern Cape,1
8773,1328261,Arctops,259.51,254.14,Eastern Cape,1
8782,1327697,Aelurosaurus,259.51,254.14,Eastern Cape,1
8790,1326960,Kitchinganomodon,259.51,254.14,Eastern Cape,1
8792,1326955,Aelurognathus,259.51,254.14,Eastern Cape,1
8793,1326953,Clelandina,259.51,254.14,Eastern Cape,1
8801,1325629,Oudenodon,259.51,254.14,Eastern Cape,1
8802,1324916,Rhachiocephalus,259.51,254.14,Eastern Cape,1
8803,1324915,Clelandina,259.51,254.14,Eastern Cape,1
8804,1324914,Odontocyclops,259.51,254.14,Eastern Cape,1
8805,1324913,Diictodon,259.51,254.14,Eastern Cape,1
8806,1324911,Oudenodon,259.51,254.14,Eastern Cape,1
8807,1324435,Oudenodon,259.51,254.14,Eastern Cape,1
8808,1324434,Pristerodon,259.51,254.14,Eastern Cape,1
8809,1324433,Pristerodon,259.51,254.14,Eastern Cape,1
8810,1324432,Aulacocephalus,259.51,254.14,Eastern Cape,1
8811,1323723,Oudenodon,259.51,254.14,Eastern Cape,1
8812,1323722,Gorgonops,259.51,254.14,Eastern Cape,1
8813,1323302,Oudenodon,259.51,254.14,Eastern Cape,1
8815,1320680,Cynosaurus,259.51,254.14,Eastern Cape,1
8816,1320679,Scaloposaurus,259.51,254.14,Eastern Cape,1
8817,1320678,Tigrisuchus,259.51,254.14,Eastern Cape,1
8818,1320677,Endothiodon,259.51,254.14,Eastern Cape,1
8819,1320536,Oudenodon,259.51,254.14,Eastern Cape,1
