id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
4115,N363,new Neotheropoda,227.0,208.5,RS,1
4116,N364,new Rhynchocephalia,227.0,208.5,RS,1
4117,N365,Nhandumirim,227.0,208.5,RS,1
4118,N366,Pampadromaeus,227.0,208.5,RS,1
4119,N482,Saturnalia,227.0,208.5,RS,1
4120,N503,Stenoscelida,227.0,208.5,RS,1
4121,N507,Teyumbaita,227.0,208.5,RS,1
4122,N508,Teyumbaita,227.0,208.5,RS,1
4123,N511,Unaysaurus,227.0,208.5,RS,1
4124,N512,Venetoraptor,227.0,208.5,RS,1
4289,1382838,Decuriasuchus,246.7,237.0,Rio Grande do Sul,1
4370,486188,Staurikosaurus,237.0,227.0,Rio Grande do Sul,1
4493,1308719,Dagasuchus,237.0,227.0,Rio Grande do Sul,1
4494,1308746,Polesinesuchus,237.0,227.0,Rio Grande do Sul,1
4502,1347761,Ixalerpeton,237.0,227.0,Rio Grande do Sul,1
4503,1347761,Ixalerpeton,237.0,227.0,Rio Grande do Sul,1
4504,1347762,Buriolestes,237.0,227.0,Rio Grande do Sul,1
4505,1347762,Buriolestes,237.0,227.0,Rio Grande do Sul,1
4523,1419303,Erythrovenator,237.0,227.0,Rio Grande do Sul,1
4528,1459722,Clevosaurus,237.0,227.0,Rio Grande do Sul,1
4529,1459725,Pampadromaeus,237.0,227.0,Rio Grande do Sul,1
4556,1624818,Amanasaurus,237.0,227.0,Rio Grande do Sul,1
4557,1633028,Venetoraptor,237.0,227.0,Rio Grande do Sul,1
4564,1651915,Prestosuchus,237.0,227.0,Rio Grande do Sul,1
4566,N325,Kuruxuchampsa,237.0,227.0,RS,1
4567,N515,Cornualbus,237.0,227.0,RS,1
4568,N516,Dynamosuchus,237.0,227.0,RS,1
4569,N517,Aetobarbakinoides,237.0,227.0,RS,1
4570,N518,Rauisuchus,237.0,227.0,RS,1
5090,733154,Provelosaurus,266.9,259.51,Rio Grande do Sul,1
5456,814809,Brazilosaurus,290.1,283.5,Goiás,1
5457,814810,Stereosternum,290.1,283.5,Goiás,1
5458,815039,Brazilosaurus,290.1,283.5,Goiás,1
5459,815039,Brazilosaurus,290.1,283.5,Goiás,1
5460,815039,Brazilosaurus,290.1,283.5,Goiás,1
5461,815039,Brazilosaurus,290.1,283.5,Goiás,1
5462,815039,Brazilosaurus,290.1,283.5,Goiás,1
5463,815039,Brazilosaurus,290.1,283.5,Goiás,1
5464,815039,Brazilosaurus,290.1,283.5,Goiás,1
5465,815039,Brazilosaurus,290.1,283.5,Goiás,1
5466,815039,Brazilosaurus,290.1,283.5,Goiás,1
5467,815039,Brazilosaurus,290.1,283.5,Goiás,1
5468,815040,Mesosaurus,290.1,283.5,Goiás,1
5469,815041,Stereosternum,290.1,283.5,Goiás,1
5470,820351,Mesosaurus,290.1,283.5,Paraná,1
5471,820351,Mesosaurus,290.1,283.5,Paraná,1
5472,820351,Mesosaurus,290.1,283.5,Paraná,1
5473,820351,Mesosaurus,290.1,283.5,Paraná,1
5474,820351,Mesosaurus,290.1,283.5,Paraná,1
5475,820351,Mesosaurus,290.1,283.5,Paraná,1
5476,820351,Mesosaurus,290.1,283.5,Paraná,1
5477,820351,Mesosaurus,290.1,283.5,Paraná,1
5478,820351,Mesosaurus,290.1,283.5,Paraná,1
5479,820352,Mesosaurus,290.1,283.5,Rio Grande do Sul,1
5480,820353,Stereosternum,290.1,283.5,Rio Grande do Sul,1
5481,820353,Stereosternum,290.1,283.5,Rio Grande do Sul,1
5482,820354,Stereosternum,290.1,283.5,São Paulo,1
5483,820354,Stereosternum,290.1,283.5,São Paulo,1
5484,820354,Stereosternum,290.1,283.5,São Paulo,1
5485,820354,Stereosternum,290.1,283.5,São Paulo,1
5486,820355,Stereosternum,290.1,283.5,São Paulo,1
5487,820355,Stereosternum,290.1,283.5,São Paulo,1
5488,820355,Stereosternum,290.1,283.5,São Paulo,1
5489,820355,Stereosternum,290.1,283.5,São Paulo,1
5490,820355,Stereosternum,290.1,283.5,São Paulo,1
5491,820355,Stereosternum,290.1,283.5,São Paulo,1
5492,820355,Stereosternum,290.1,283.5,São Paulo,1
5493,820355,Stereosternum,290.1,283.5,São Paulo,1
5494,820355,Stereosternum,290.1,283.5,São Paulo,1
5495,820355,Stereosternum,290.1,283.5,São Paulo,1
5496,820355,Stereosternum,290.1,283.5,São Paulo,1
5497,820355,Stereosternum,290.1,283.5,São Paulo,1
5498,820355,Stereosternum,290.1,283.5,São Paulo,1
5499,820356,Brazilosaurus,290.1,283.5,São Paulo,1
5500,820356,Brazilosaurus,290.1,283.5,São Paulo,1
5501,820356,Brazilosaurus,290.1,283.5,São Paulo,1
5502,820478,Brazilosaurus,290.1,283.5,São Paulo,1
5503,820479,Stereosternum,290.1,283.5,São Paulo,1
5504,820479,Stereosternum,290.1,283.5,São Paulo,1
5505,820479,Stereosternum,290.1,283.5,São Paulo,1
5506,820479,Stereosternum,290.1,283.5,São Paulo,1
5507,820480,Mesosaurus,290.1,283.5,São Paulo,1
5508,820481,Stereosternum,290.1,283.5,Ceará,1
5509,820482,Stereosternum,290.1,283.5,São Paulo,1
5510,820574,Stereosternum,290.1,283.5,São Paulo,1
5511,820575,Brazilosaurus,290.1,283.5,Paraná,1
5512,820575,Brazilosaurus,290.1,283.5,Paraná,1
5513,820575,Brazilosaurus,290.1,283.5,Paraná,1
5517,820921,Mesosaurus,290.1,283.5,Paraná,1
5518,820921,Mesosaurus,290.1,283.5,Paraná,1
5519,820922,Mesosaurus,290.1,283.5,Paraná,1
5520,820922,Mesosaurus,290.1,283.5,Paraná,1
5521,820922,Mesosaurus,290.1,283.5,Paraná,1
5522,820928,Mesosaurus,290.1,283.5,Paraná,1
5523,820929,Mesosaurus,290.1,283.5,São Paulo,1
5524,821003,Mesosaurus,290.1,283.5,São Paulo,1
5525,821005,Mesosaurus,290.1,283.5,Paraná,1
5526,821028,Mesosaurus,290.1,283.5,Paraná,1
5527,821068,Stereosternum,290.1,283.5,Paraná,1
5528,821068,Stereosternum,290.1,283.5,Paraná,1
5529,821068,Stereosternum,290.1,283.5,Paraná,1
5530,821068,Stereosternum,290.1,283.5,Paraná,1
5531,821068,Stereosternum,290.1,283.5,Paraná,1
5532,821068,Stereosternum,290.1,283.5,Paraná,1
5533,821180,Mesosaurus,290.1,283.5,São Paulo,1
5534,821444,Mesosaurus,290.1,283.5,Paraná,1
5535,821444,Mesosaurus,290.1,283.5,Paraná,1
5536,821444,Mesosaurus,290.1,283.5,Paraná,1
5537,821444,Mesosaurus,290.1,283.5,Paraná,1
5538,821444,Mesosaurus,290.1,283.5,Paraná,1
5539,821444,Mesosaurus,290.1,283.5,Paraná,1
5540,821444,Mesosaurus,290.1,283.5,Paraná,1
5541,821444,Mesosaurus,290.1,283.5,Paraná,1
5542,821444,Mesosaurus,290.1,283.5,Paraná,1
5543,821444,Mesosaurus,290.1,283.5,Paraná,1
5544,821444,Mesosaurus,290.1,283.5,Paraná,1
5545,821444,Mesosaurus,290.1,283.5,Paraná,1
5546,821444,Mesosaurus,290.1,283.5,Paraná,1
5547,821444,Mesosaurus,290.1,283.5,Paraná,1
5548,821444,Mesosaurus,290.1,283.5,Paraná,1
5549,821444,Mesosaurus,290.1,283.5,Paraná,1
5550,821444,Mesosaurus,290.1,283.5,Paraná,1
5551,821444,Mesosaurus,290.1,283.5,Paraná,1
5552,821444,Mesosaurus,290.1,283.5,Paraná,1
5553,821444,Mesosaurus,290.1,283.5,Paraná,1
5554,821444,Mesosaurus,290.1,283.5,Paraná,1
5555,821444,Mesosaurus,290.1,283.5,Paraná,1
5556,821444,Mesosaurus,290.1,283.5,Paraná,1
5557,821444,Mesosaurus,290.1,283.5,Paraná,1
5558,821444,Mesosaurus,290.1,283.5,Paraná,1
5559,821454,Stereosternum,290.1,283.5,São Paulo,1
5560,821454,Stereosternum,290.1,283.5,São Paulo,1
5561,821454,Stereosternum,290.1,283.5,São Paulo,1
5562,821454,Stereosternum,290.1,283.5,São Paulo,1
5563,821454,Stereosternum,290.1,283.5,São Paulo,1
5564,821454,Stereosternum,290.1,283.5,São Paulo,1
5565,821454,Stereosternum,290.1,283.5,São Paulo,1
5566,821454,Stereosternum,290.1,283.5,São Paulo,1
5567,821454,Stereosternum,290.1,283.5,São Paulo,1
5568,821454,Stereosternum,290.1,283.5,São Paulo,1
5569,821455,Brazilosaurus,290.1,283.5,São Paulo,1
5570,821455,Brazilosaurus,290.1,283.5,São Paulo,1
5571,823059,Mesosaurus,290.1,283.5,Paraná,1
5572,823059,Mesosaurus,290.1,283.5,Paraná,1
5573,823059,Mesosaurus,290.1,283.5,Paraná,1
5574,823059,Mesosaurus,290.1,283.5,Paraná,1
5575,823059,Mesosaurus,290.1,283.5,Paraná,1
5576,823059,Mesosaurus,290.1,283.5,Paraná,1
5577,823059,Mesosaurus,290.1,283.5,Paraná,1
5578,823059,Mesosaurus,290.1,283.5,Paraná,1
5579,823059,Mesosaurus,290.1,283.5,Paraná,1
5580,823059,Mesosaurus,290.1,283.5,Paraná,1
5581,823059,Mesosaurus,290.1,283.5,Paraná,1
5582,823059,Mesosaurus,290.1,283.5,Paraná,1
5583,823059,Mesosaurus,290.1,283.5,Paraná,1
