genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Gephyrosaurus	-0.298764409	1	0	0	0
Glaurung	-0.298764409	1	0	0	0
Gnathovorax	-0.050003139	0	0	1	0
Gojirasaurus	-0.298764409	0	1	0	0
Gomphiosauridion	-0.298764409	0	1	0	0
Gondwanax	-0.298764409	0	0	1	0
Gorgetosuchus	-0.298764409	0	1	0	0
Gracilisuchus	-0.298764409	0	0	1	0
Grallator	-0.298764409	0	1	0	0
Graoullyodon	-0.298764409	1	0	0	0
Gresslyosaurus	-0.039191905	1	0	0	0
Guaibasaurus	-0.298764409	0	0	1	0
Gualosuchus	-0.298764409	0	0	1	0
Guchengosuchus	-0.298764409	1	0	0	0
Gyposaurus	-0.298764409	1	0	0	0
Halazhaisuchus	-0.298764409	1	0	0	0
Haligonia	1.579944723	1	1	0	0
Helveticosaurus	-0.298764409	0	1	0	0
Hemilopas	-0.29052682	1	0	0	0
Hemiprotosuchus	-0.298764409	0	0	1	0
Heptasuchus	-0.298764409	0	1	0	0
Herrerasaurus	-0.298764409	0	0	1	0
Hesperosuchus	0.254752787	0	1	0	0
Heterodontichnites	-0.271723371	0	1	0	0
Heteropelta	-0.298764409	1	0	0	0
Horaffia	-0.162826797	1	0	0	0
Hovasaurus	0.645497625	0	0	1	0
Howesia	-0.298764409	0	0	1	0
Hupehsuchus	0.103483668	0	1	0	0
Hwiccewyrm	-0.298764409	1	0	0	0
Hyperodapedon	4.333987055	0	1	1	0
Hypselorhachis	-0.298764409	0	0	1	0
Hypsognathus	1.579944723	1	1	0	0
Hypuronector	-0.298764409	0	1	0	0
Icarosaurus	-0.298764409	0	1	0	0
Idiosaura	-0.298764409	0	1	0	0
Ignotosaurus	-0.298764409	0	0	1	0
Incertovenator	-0.298764409	0	0	1	0
Indosauriscus	-0.298764409	0	0	1	0
Ingentia	-0.298764409	0	0	1	0
Issi	-0.298764409	1	0	0	0
Ixalerpeton	-0.050003139	0	0	1	0
Jaklapallisaurus	-0.298764409	0	0	1	0
Jaxtasuchus	-0.298764409	1	0	0	0
Jesairosaurus	-0.298764409	0	1	0	0
Jingshanosaurus	-0.298764409	1	0	0	0
Jupijkam	-0.298764409	0	1	0	0
Jushatyria	-0.298764409	1	0	0	0
Kadimakara	-0.298764409	0	0	1	0
Kahneria	-0.298764409	0	1	0	0
Kalisuchus	-0.298764409	0	0	1	0
Kapes	1.829535747	1	1	0	0
Kholumolumo	-0.298764409	0	0	1	0
Kinelia	0.09172869	1	0	0	0
Kitchingnathus	-0.298764409	0	0	1	0
Kocurypelta	-0.298764409	1	0	0	0
Koilamasuchus	-0.298764409	0	0	1	0
Koiloskiosaurus	-0.298764409	1	0	0	0
Kranosaura	-0.298764409	0	0	1	0
Krzyzanowskisaurus	-0.271417153	0	1	0	0
Kudnu	-0.298764409	0	0	1	0
Kuehneosaurus	0.516387538	1	0	0	0
Kuehneosuchus	-0.298764409	1	0	0	0
Kuruxuchampsa	-0.298764409	0	0	1	0
Labidosaurikos	-0.028834112	0	1	0	0
Labidosauriscus	-0.298764409	0	1	0	0
Labidosaurus	-0.132606711	0	1	0	0
Lagerpeton	-0.298764409	0	0	1	0
Lanceirosphenodon	-0.298764409	0	0	1	0
Langeronyx	-0.21337224	1	1	0	0
Langobardisaurus	0.632580547	1	1	0	0
Lanthaniscus	-0.298764409	1	0	0	0
Lanthanolania	-0.298764409	1	0	0	0
Lanthanosuchus	-0.298764409	1	0	0	0
Laquintasaura	-0.298764409	0	1	0	0
Largocephalosaurus	-0.298764409	0	1	0	0
Lasasaurus	-0.298764409	0	0	1	0
Lepidus	-0.298764409	0	1	0	0
Leptopleuron	-0.298764409	1	0	0	0
Leptosuchus	0.094788566	0	1	0	0
Lessemsaurus	-0.298764409	0	0	1	0
Lewisuchus	-0.149213939	0	0	1	0
Leyesaurus	-0.298764409	0	0	1	0
Libognathus	-0.298764409	0	1	0	0
Liliensternus	0.569042526	1	0	0	0
Litorosuchus	-0.298764409	0	1	0	0
Lophostropheus	-0.298764409	1	0	0	0
Lotosaurus	-0.269133811	0	1	0	0
Lucasuchus	-0.298764409	0	1	0	0
Lucianosaurus	-0.298764409	0	1	0	0
Lucianovenator	-0.298764409	0	0	1	0
Lufengosaurus	-0.298764409	1	0	0	0
Lukousaurus	-0.298764409	1	0	0	0
Luperosuchus	-0.298764409	0	0	1	0
Machaeroprosopus	0.463720855	0	1	0	0
Macrocnemus	0.22715705	1	1	0	0
Macrocollum	-0.298764409	0	0	1	0
Macroleter	2.661870421	1	1	0	0
Maehary	-0.298764409	0	0	1	0
Malerisaurus	-0.298764409	0	1	0	0
Malutinisuchus	0.090766441	1	0	0	0
Mambawakale	-0.298764409	0	0	1	0
Mandaphon	-0.298764409	0	0	1	0
Mandasuchus	-0.298764409	0	0	1	0
Marasuchus	-0.298764409	0	0	1	0
Marcianosuchus	-0.298764409	0	1	0	0
Massospondylus	-0.298764409	0	0	1	0
Mbiresaurus	-0.298764409	0	0	1	0
Megachirella	-0.298764409	1	0	0	0
Megalancosaurus	0.632580547	1	1	0	0
Megalosaurus	-0.298764409	1	0	0	0
Megapnosaurus	-0.298764409	0	1	0	0
Melanorosaurus	-0.298764409	0	0	1	0
Mesodapedon	-0.298764409	0	0	1	0
Mesosuchus	-0.298764409	0	0	1	0
Metamosaurus	-0.298764409	0	1	0	0
Microcnemus	1.198437547	1	0	0	0
Microleter	-0.298764409	0	1	0	0
Micromenodon	-0.298764409	0	1	0	0
Microsphenodon	-0.298764409	0	0	1	0
Milleretta	-0.10065443	0	0	1	0
Millerinoides	-0.298764409	0	0	1	0
Milleropsis	-0.127877185	0	0	1	0
Millerosaurus	-0.127877185	0	0	1	0
Moradisaurus	-0.091010551	0	1	0	0
Mystriosuchus	1.356248551	1	1	0	0
Nambalia	-0.298764409	0	0	1	0
Nanchangosaurus	0.103483668	0	1	0	0
Nanoparia	-0.127877185	0	0	1	0
Neoaetosauroides	-0.298764409	0	0	1	0
Neoprocolophon	-0.298764409	1	0	0	0
Nhandumirim	-0.298764409	0	0	1	0
Nicrosaurus	2.264733365	1	1	0	0
Nochelesaurus	-0.298764409	0	0	1	0
Notatesseraeraptor	-0.298764409	1	0	0	0
Noteosuchus	-0.298764409	0	0	1	0
Nundasuchus	-0.298764409	0	0	1	0
Nyasasaurus	-0.298764409	0	0	1	0
Nycteroleter	-0.298764409	1	0	0	0
Nyctiboetus	-0.298764409	1	0	0	0
Nyctiphruretus	-0.237441041	1	0	0	0
Obirkovia	-0.253051675	1	0	0	0
Odontochelys	-0.298764409	1	0	0	0
Opisthodontosaurus	-0.298764409	0	1	0	0
Orenburgia	0.901034606	1	0	0	0
Orovenator	-0.298764409	0	1	0	0
Oryctorhynchus	-0.298764409	0	1	0	0
Oryporan	-0.298764409	0	0	1	0
Osmolskina	-0.298764409	1	0	0	0
Owenetta	-0.124742475	0	0	1	0
Ozimek	-0.298764409	1	0	0	0
Pachagnathus	-0.298764409	0	0	1	0
Pachystropheus	0.211644121	1	0	0	0
Palacrodon	5.544117957	0	1	1	1
Palaeagama	-0.298764409	0	0	1	0
Palaeochersis	-0.298764409	0	0	1	0
Palaeosaurus	-0.298764409	1	0	0	0
Paleollanosaurus	2.59504447	1	1	0	0
Paliguana	-0.298764409	0	0	1	0
Pamelaria	-0.298764409	0	0	1	0
Pamelina	-0.298764409	1	0	0	0
Pampadromaeus	-0.050003139	0	0	1	0
Panguraptor	-0.298764409	1	0	0	0
Panphagia	-0.298764409	0	0	1	0
Pantydraco	-0.298764409	1	0	0	0
Pappochelys	-0.298764409	1	0	0	0
Parahupehsuchus	-0.298764409	0	1	0	0
Parasaurus	-0.149136959	1	0	0	0
Parasuchus	4.448030549	1	1	1	0
Paratypothorax	2.362043354	1	1	0	0
Pareiasaurus	0.839307093	0	0	1	0
Pareiasuchus	0.839307093	0	0	1	0
Parringtonia	-0.298764409	0	0	1	0
Parvosuchus	-0.298764409	0	0	1	0
Pectodens	-0.298764409	0	1	0	0
Pelecymala	-0.298764409	1	0	0	0
Pendraig	-0.298764409	1	0	0	0
Pentaedrusaurus	-0.298764409	1	0	0	0
Permotriturus	-0.298764409	1	0	0	0
Peteinosaurus	-0.298764409	0	1	0	0
Phaanthosaurus	0.008322454	1	0	0	0
Phonodus	-0.298764409	0	0	1	0
Pinheirochampsa	-0.298764409	0	0	1	0
Pintosaurus	-0.298764409	0	0	1	0
Pisanosaurus	-0.298764409	0	0	1	0
Planocephalosaurus	2.472429562	1	1	0	0
Plateosauravus	-0.298764409	0	0	1	0
Plateosaurus	7.922495146	1	0	1	0
Polesinesuchus	-0.298764409	0	0	1	0
Polonosuchus	-0.298764409	1	0	0	0
Polymorphodon	-0.298764409	1	0	0	0
Poposaurus	0.523007957	0	1	0	0
Postosuchus	0.260728944	0	1	0	0
Powellvenator	-0.298764409	0	0	1	0
Pravusuchus	-0.298764409	0	1	0	0
Preondactylus	-0.298764409	1	0	0	0
Prestosuchus	0.163111998	0	0	1	0
Procerosuchus	-0.298764409	0	0	1	0
Procolina	-0.298764409	1	0	0	0
Procolophon	2.015227537	0	0	1	1
Procolophonichnium	-0.298764409	0	0	1	0
Procompsognathus	-0.298764409	1	0	0	0
Proganochelys	2.76189099	1	1	0	0
Prolacerta	1.144603434	0	0	1	1
Prolacertoides	-0.298764409	1	0	0	0
Prosaurosphargis	-0.298764409	0	1	0	0
Protanystropheus	0.188339938	1	1	0	0
Protecovasaurus	-0.298764409	0	1	0	0
Proterochampsa	-0.298764409	0	0	1	0
Proterochersis	0.130303759	1	0	0	0
Proterosuchus	8.869739411	1	0	1	0
Protoavis	-0.298764409	0	1	0	0
Protocaptorhinus	-0.132159747	0	1	0	0
Protome	-0.298764409	0	1	0	0
Protorosaurus	-0.149136959	1	0	0	0
Protorothyris	-0.191944295	0	1	0	0
Protosuchus	1.009613415	1	1	0	0
Provelosaurus	-0.116361289	0	0	1	0
Pseudhesperosuchus	-0.298764409	0	0	1	0
Pseudochampsa	-0.298764409	0	0	1	0
Puercosuchus	-0.298764409	0	1	0	0
Pumiliopareia	-0.298764409	0	0	1	0
Qianosuchus	-0.298764409	0	1	0	0
Raibliania	-0.298764409	1	0	0	0
Rauisuchus	-0.298764409	0	0	1	0
Rautiania	-0.298764409	1	0	0	0
Redondasuchus	-0.298764409	0	1	0	0
Redondavenator	-0.298764409	0	1	0	0
Retymaijychampsa	-0.298764409	0	0	1	0
Revueltosaurus	0.308866841	0	1	0	0
Rhipaeosaurus	-0.119997849	1	0	0	0
Rhombopholis	-0.21337224	1	1	0	0
Rioarribasuchus	0.094031499	0	1	0	0
Riojasaurus	-0.298764409	0	0	1	0
Riojasuchus	-0.298764409	0	0	1	0
Romeria	-0.298764409	0	1	0	0
Rothianiscus	-0.298764409	0	1	0	0
Ruehleia	-0.298764409	1	0	0	0
Rugarhynchos	-0.298764409	0	1	0	0
Ruhuhuaria	-0.298764409	0	0	1	0
Rutiodon	0.682994599	0	1	0	0
Sacisaurus	-0.298764409	0	0	1	0
Saltoposuchus	-0.179549199	1	0	0	0
Sanchuansaurus	-0.298764409	1	0	0	0
Sanjuansaurus	-0.298764409	0	0	1	0
Santaisaurus	-0.298764409	1	0	0	0
Sarcosaurus	-0.298764409	1	0	0	0
Sarmatosuchus	-0.298764409	1	0	0	0
Saturnalia	-0.230451414	0	0	1	0
Saurodektes	0.03910479	0	0	1	0
Sauropareion	0.03910479	0	0	1	0
Saurorictus	-0.298764409	0	0	1	0
Saurosternon	-0.298764409	0	0	1	0
Saurosuchus	-0.298764409	0	0	1	0
Scelidosaurus	-0.298764409	1	0	0	0
Scharschengia	-0.298764409	1	0	0	0
Schleitheimia	-0.298764409	1	0	0	0
Schultzsuchus	-0.298764409	0	0	1	0
Sclerocormus	-0.298764409	1	0	0	0
Sclerosaurus	0.519639939	0	1	0	0
Sclerostropheus	-0.298764409	0	1	0	0
Scoloparia	1.579944723	1	1	0	0
Scolotosuchus	-0.298764409	1	0	0	0
Scutarx	-0.089796342	0	1	0	0
Scutosaurus	0.03736386	1	0	0	0
Scythosuchus	-0.298764409	1	0	0	0
Shansisuchus	-0.085851344	1	0	0	0
Shihtienfenia	-0.142099221	1	0	0	0
Shringasaurus	-0.298764409	0	0	1	0
Shuangbaisaurus	-0.298764409	1	0	0	0
Shuvosaurus	0.260728944	0	1	0	0
Sigmala	-0.298764409	1	0	0	0
Sikannisuchus	-0.298764409	1	0	0	0
Silesaurus	-0.298764409	1	0	0	0
Sillosuchus	-0.298764409	0	0	1	0
Sinosaurosphargis	-0.298764409	0	1	0	0
Sinosaurus	-0.298764409	1	0	0	0
Skybalonyx	-0.298764409	0	1	0	0
Smilodonterpeton	-0.298764409	1	0	0	0
Smilosuchus	-0.092734975	0	1	0	0
Sophineta	-0.298764409	1	0	0	0
Soturnia	-0.298764409	0	0	1	0
Soumyasaurus	-0.298764409	0	1	0	0
Sphenotitan	-0.298764409	0	0	1	0
Sphodrosaurus	-0.298764409	0	1	0	0
Spinosuchus	-0.111240868	0	1	0	0
Spondylolestes	-0.298764409	0	0	1	0
Spondylosoma	-0.298764409	0	0	1	0
Stagonolepis	2.275990935	1	1	0	0
Stagonosuchus	-0.298764409	0	0	1	0
Staurikosaurus	-0.298764409	0	0	1	0
Stauromatodon	-0.298764409	1	0	0	0
Stegomus	-0.078648246	0	1	0	0
Stenaulorhynchus	-0.298764409	0	0	1	0
Stenomyti	-0.298764409	0	1	0	0
Stenoscelida	-0.298764409	0	0	1	0
Styracocephalus	-0.298764409	0	0	1	0
Suchonosaurus	-0.298764409	1	0	0	0
Sumidadectes	-0.298764409	0	1	0	0
Syntarsus	-0.298764409	0	1	0	0
Syntomiprosopus	-0.298764409	0	1	0	0
Tachiraptor	-0.298764409	0	1	0	0
Tangasaurus	-0.298764409	0	0	1	0
Tanystropheus	3.576657446	1	1	0	0
Tanytrachelos	0.099898773	0	1	0	0
Tarjadia	-0.298764409	0	0	1	0
Tasmaniosaurus	1.084875178	0	0	1	1
Tawa	-0.298764409	0	1	0	0
Taytalura	-0.298764409	0	0	1	0
Technosaurus	-0.298764409	0	1	0	0
Tecovasaurus	-0.089796342	0	1	0	0
Tecovasuchus	-0.298764409	0	1	0	0
Teleocrater	-0.298764409	0	0	1	0
Teraterpeton	-0.298764409	0	1	0	0
Teratophon	-0.298764409	0	0	1	0
Teratosaurus	5.481227307	1	0	1	0
Termatosaurus	0.097066209	1	0	0	0
Terrestrisuchus	-0.298764409	1	0	0	0
Teyujagua	-0.298764409	0	0	1	0
Teyumbaita	-0.298764409	0	0	1	0
Thadeosaurus	-0.298764409	0	0	1	0
Thecodontosaurus	0.571361546	1	0	0	0
Theledectes	-0.298764409	0	0	1	0
Thelephon	-0.298764409	0	0	1	0
Thelerpeton	-0.298764409	0	0	1	0
Threordatoth	-0.298764409	1	0	0	0
Thuringothyris	-0.298764409	0	1	0	0
Tichvinskia	-0.135032614	1	0	0	0
Ticinosuchus	-0.298764409	0	1	0	0
Tikisuchus	-0.298764409	0	0	1	0
Timanophon	-0.190699441	1	0	0	0
Trachelosaurus	-0.298764409	1	0	0	0
Tramuntanasaurus	-0.298764409	0	0	1	0
Trialestes	-0.298764409	0	0	1	0
Tricuspisaurus	-0.298764409	1	0	0	0
Trilophosaurus	-0.089796342	0	1	0	0
Tropidosuchus	-0.298764409	0	0	1	0
Tuebingosaurus	-0.298764409	1	0	0	0
Turfanosuchus	-0.298764409	1	0	0	0
Typothorax	0.260728944	0	1	0	0
Uatchitodon	-0.252163372	0	1	0	0
Unaysaurus	-0.298764409	0	0	1	0
Unguinychus	-0.298764409	0	1	0	0
Uralosaurus	-0.155217631	1	0	0	0
Vallesaurus	-0.298764409	0	1	0	0
Vancleavea	0.276197314	0	1	0	0
Variodens	-0.034758159	1	0	0	0
Vellbergia	-0.298764409	1	0	0	0
Velocipes	-0.298764409	1	0	0	0
Venaticosuchus	-0.298764409	0	0	1	0
Venetoraptor	-0.050003139	0	0	1	0
Vinitasaura	-0.298764409	0	1	0	0
Vivaron	-0.298764409	0	1	0	0
Vjushkovisaurus	-0.155217631	1	0	0	0
Volcanosuchus	-0.298764409	0	0	1	0
Vonhuenia	-0.298764409	1	0	0	0
Vritramimosaurus	-0.298764409	1	0	0	0
Vytshegdosuchus	-0.298764409	1	0	0	0
Waluchelys	-0.298764409	0	0	1	0
Wannia	-0.298764409	0	1	0	0
Wapitisaurus	-0.298764409	1	0	0	0
Weigeltisaurus	-0.149136959	1	0	0	0
Whitakersaurus	-0.298764409	0	1	0	0
Xenodiphyodon	-0.298764409	0	1	0	0
Xilousuchus	-0.298764409	1	0	0	0
Xingxiulong	-0.298764409	1	0	0	0
Yarasuchus	-0.298764409	0	0	1	0
Yimenosaurus	-0.298764409	1	0	0	0
Youngetta	-0.298764409	1	0	0	0
Youngina	-0.127877185	0	0	1	0
Youngosuchus	-0.298764409	1	0	0	0
Yunnanosaurus	-0.298764409	1	0	0	0
Zanclodon	0.430460951	1	0	0	0
Zhongjiania	-0.298764409	1	0	0	0
Zupaysaurus	-0.298764409	0	0	1	0
new_Neotheropoda	-0.298764409	0	0	1	0
new_Rhynchocephalia	-0.298764409	0	0	1	0
