genus	lat_range	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Regisaurus	0.0	0	0	0	1	0
Reiszia	0.0	0	1	0	0	0
Repelinosaurus	0.0	0	0	1	0	0
Rewaconodon	29.344300999999998	0	0	1	1	0
Rhachiocephalus	15.375370000000004	0	0	0	1	0
Rhadiodromus	1.9393200000000022	0	1	0	0	0
Rhinodicynodon	0.0	0	1	0	0	0
Rhopalodon	1.9613099999999974	0	1	0	0	0
Riebeeckosaurus	0.0	0	0	0	1	0
Riograndia	0.0	0	0	0	1	0
Riojanodon	0.0	0	0	0	1	0
Robertia	2.430810000000001	0	0	0	1	0
Rosieria	0.0	0	1	0	0	0
Ruberodon	0.0	0	0	0	1	0
Rubidgea	15.375370000000004	0	0	0	1	0
Ruhuhucerberus	0.0	0	0	0	1	0
Ruthenosaurus	0.0	0	0	1	0	0
Sangusaurus	2.4849199999999954	0	0	0	1	0
Santacruzgnathus	0.0	0	0	0	1	0
Santacruzodon	0.0	0	0	0	1	0
Santagnathus	0.0	0	0	0	1	0
Sauroctonus	90.8301	0	1	0	1	0
Sauroscaptor	0.0	0	0	0	1	0
Scalenodon	2.4849199999999954	0	0	0	1	0
Scalopocephalus	0.0	0	0	0	1	0
Scalopodontes	0.0	0	1	0	0	0
Scalopognathus	0.0	0	1	0	0	0
Scaloporhinus	0.0	0	0	0	1	0
Scaloposaurus	2.3510400000000047	0	0	0	1	0
Scaloposuchus	0.0	0	0	0	1	0
Scylacoides	0.0	0	0	0	1	0
Scylacops	15.375370000000004	0	0	0	1	0
Scylacosaurus	1.3866300000000038	0	0	0	1	0
Scylacosuchus	0.0	0	1	0	0	0
Scymnosaurus	0.0	0	0	0	1	0
Secodontosaurus	2.2508325	0	0	1	0	0
Sesamondontoides	0.0	0	0	0	1	0
Shaanbeikannemeyeria	0.0	0	1	0	0	0
Shansiodon	104.15245	0	1	0	1	0
Shiguaignathus	0.0	0	1	0	0	0
Silphedosuchus	0.0	0	1	0	0	0
Silphoictidoides	0.0	0	0	0	1	0
Sinoconodon	0.0	0	1	0	0	0
Sinognathus	0.0	0	1	0	0	0
Sinokannemeyeria	0.0	0	1	0	0	0
Sinophoneus	0.0	0	1	0	0	0
Sintocephalus	0.0	0	0	0	1	0
Siriusgnathus	3.3607700000000023	0	0	0	1	0
Sludica	1.577219999999997	0	1	0	0	0
Smilesaurus	2.3086899999999986	0	0	0	1	0
Sphenacodon	12.4501865	0	0	1	0	0
Stahleckeria	2.3827	0	0	0	1	0
Stereophallodon	0.0	0	0	1	0	0
Struthiocephaloides	0.0	0	0	0	1	0
Struthiocephalus	0.0	0	0	0	1	0
Styracocephalus	0.0	0	0	0	1	0
Suchogorgon	0.0	0	1	0	0	0
Suminia	0.8715200000000038	0	1	0	0	0
Sungeodon	0.0	0	1	0	0	0
Sycosaurus	13.066680000000005	0	0	0	1	0
Syodon	4.3112800000000036	0	1	0	0	0
Syops	0.0	0	0	0	1	0
Sysphinctostoma	0.0	0	0	0	1	0
Tambacarnifex	0.0	0	0	1	0	0
Tamboeria	0.0	0	0	0	1	0
Taoheodon	0.0	0	1	0	0	0
Tapinocaninus	0.0	0	0	0	1	0
Tapinocephalus	0.0	0	0	0	1	0
Taurocephalus	0.0	0	0	0	1	0
Tessellatia	0.0	0	0	0	1	0
Tetraceratops	0.0	0	0	1	0	0
Tetracynodon	5.075009999999999	0	0	0	1	0
Tetragonias	0.0	0	0	0	1	0
Theriognathus	16.60089	0	0	0	1	0
Therioides	0.0	0	0	0	1	0
Theroteinus	0.0	0	1	0	0	0
Thliptosaurus	0.0	0	0	0	1	0
Thomasia	8.648129999999995	0	1	0	0	0
Thrinaxodon	16.775960000000005	0	0	0	1	1
Tigrisuchus	0.0	0	0	0	1	0
Tikitherium	0.0	0	0	0	1	0
Titanogomphodon	0.0	0	0	0	1	0
Titanophoneus	2.52628	0	1	0	0	0
Titanosuchus	0.0	0	0	0	1	0
Traversodon	0.0	0	0	0	1	0
Traversodontoides	0.0	0	1	0	0	0
Trichasaurus	0.0	0	0	1	0	0
Tricuspes	6.704889999999999	0	1	0	0	0
Trirachodon	16.77637	0	0	0	1	0
Trochorhinus	0.0	0	0	0	1	0
Trochosaurus	0.0	0	0	0	1	0
Trochosuchus	0.0	0	0	0	1	0
Tropidostoma	4.331659999999999	0	0	0	1	0
Trucidocynodon	3.3607700000000023	0	0	0	1	0
Turfanodon	24.22081	0	1	0	0	0
Ufudocyclops	0.0	0	0	0	1	0
Ulemica	2.52628	0	1	0	0	0
Ulemosaurus	2.52628	0	1	0	0	0
Uniserium	0.0	0	1	0	0	0
Uralocynodon	0.0	0	1	0	0	0
Uralokannemeyeria	0.0	0	1	0	0	0
Urumchia	0.0	0	1	0	0	0
Ustia	0.0	0	1	0	0	0
Varanodon	0.0	0	0	1	0	0
Varanops	1.7892554999999999	0	0	1	0	0
Varanosaurus	4.040088	0	0	1	0	0
Vaughnictis	0.0	0	0	1	0	0
Venyukovia	0.0	0	1	0	0	0
Vetusodon	0.0	0	0	0	1	0
Viatkogorgon	0.0	0	1	0	0	0
