genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Eohyosaurus	-0.3368251980293161	0	0	0	1	0
Eomurruna	-0.196599833634891	0	0	0	1	0
Eoplesiosaurus	-0.3368251980293161	0	1	0	0	0
Eoraptor	-0.3368251980293161	0	0	0	1	0
Eorasaurus	-0.3368251980293161	0	1	0	0	0
Eorhynchochelys	-0.3368251980293161	0	1	0	0	0
Eretmorhipis	-0.3368251980293161	0	0	1	0	0
Erpetosuchus	-0.3368251980293161	0	0	1	0	0
Erythrosuchus	-0.18931063801424597	0	0	0	1	0
Erythrovenator	-0.3368251980293161	0	0	0	1	0
Eshanosaurus	-0.3368251980293161	0	1	0	0	0
Eucoelophysis	0.03915298753777991	0	0	1	0	0
Eudibamus	-0.3368251980293161	0	0	1	0	0
Eudimorphodon	1.0897478462785135	0	1	1	0	0
Eumetabolodon	-0.11631931448135809	0	1	0	0	0
Eunotosaurus	-0.03144907874215245	0	0	0	1	0
Euparkeria	-0.3368251980293161	0	0	0	1	0
Eurhinosaurus	-0.3368251980293161	0	1	0	0	0
Eurycleidus	-0.3368251980293161	0	1	0	0	0
Eusaurosphargis	0.12463591317842546	0	1	1	0	0
Euscolosuchus	-0.3368251980293161	0	0	1	0	0
Fasolasuchus	-0.3368251980293161	0	0	0	1	0
Faxinalipterus	-0.3368251980293161	0	0	0	1	0
Feeserpeton	-0.3368251980293161	0	0	1	0	0
Feralisaurus	-0.3368251980293161	0	0	1	0	0
Fodonyx	-0.3368251980293161	0	0	1	0	0
Fraserosphenodon	1.6524912880309692	0	1	1	0	0
Fraxinisaura	-0.3368251980293161	0	1	0	0	0
Fugusuchus	-0.3368251980293161	0	1	0	0	0
Fuyuansaurus	-0.3368251980293161	0	0	1	0	0
Galesphyrus	-0.11929882870902696	0	0	0	1	0
Gamatavus	-0.3368251980293161	0	0	0	1	0
Gansurhinus	-0.24256851385534642	0	1	0	0	0
Garjainia	7.868396402019354	0	1	0	1	0
Garzapelta	-0.3368251980293161	0	0	1	0	0
Gecatogomphius	-0.3368251980293161	0	1	0	0	0
Gephyrosaurus	-0.3368251980293161	0	1	0	0	0
Germanosaurus	-0.3368251980293161	0	1	0	0	0
Glaurung	-0.3368251980293161	0	1	0	0	0
Glyphoderma	-0.3368251980293161	0	0	1	0	0
Gnathovorax	-0.08383222099746447	0	0	0	1	0
Gojirasaurus	-0.3368251980293161	0	0	1	0	0
Gomphiosauridion	-0.3368251980293161	0	0	1	0	0
Gondwanax	-0.3368251980293161	0	0	0	1	0
Gorgetosuchus	-0.3368251980293161	0	0	1	0	0
Gracilisuchus	-0.3368251980293161	0	0	0	1	0
Grallator	-0.3368251980293161	0	0	1	0	0
Graoullyodon	-0.3368251980293161	0	1	0	0	0
Gresslyosaurus	-0.0728370757702484	0	1	0	0	0
Grippia	0.9308436828615692	0	1	0	0	0
Guaibasaurus	-0.3368251980293161	0	0	0	1	0
Gualosuchus	-0.3368251980293161	0	0	0	1	0
Guanlingsaurus	-0.3368251980293161	0	1	0	0	0
Guchengosuchus	-0.3368251980293161	0	1	0	0	0
Guizhouichthyosaurus	0.2826261983052262	0	1	1	0	0
Gulosaurus	-0.3368251980293161	0	1	0	0	0
Gunakadeit	-0.3368251980293161	0	0	1	0	0
Gyposaurus	-0.3368251980293161	0	1	0	0	0
Halazhaisuchus	-0.3368251980293161	0	1	0	0	0
