genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Faxinalipterus,0.0,0,0,0,1,0
Feeserpeton,0.0,0,0,1,0,0
Feralisaurus,0.0,0,0,1,0,0
Fodonyx,0.0,0,0,1,0,0
Fraserosphenodon,26.426169,0,1,1,0,0
Fraxinisaura,0.0,0,1,0,0,0
Fugusuchus,0.0,0,1,0,0,0
Fuyuansaurus,0.0,0,0,1,0,0
Galesphyrus,2.889629999999997,0,0,0,1,0
Gamatavus,0.0,0,0,0,1,0
Gansurhinus,1.2521100000000018,0,1,0,0,0
Garjainia,108.99853,0,1,0,1,0
Garzapelta,0.0,0,0,1,0,0
Gecatogomphius,0.0,0,1,0,0,0
Gephyrosaurus,0.0,0,1,0,0,0
Germanosaurus,0.0,0,1,0,0,0
Glaurung,0.0,0,1,0,0,0
Glyphoderma,0.0,0,0,1,0,0
Gnathovorax,3.3607700000000023,0,0,0,1,0
Gojirasaurus,0.0,0,0,1,0,0
Gomphiosauridion,0.0,0,0,1,0,0
Gondwanax,0.0,0,0,0,1,0
Gorgetosuchus,0.0,0,0,1,0,0
Gracilisuchus,0.0,0,0,0,1,0
Grallator,0.0,0,0,1,0,0
Graoullyodon,0.0,0,1,0,0,0
Gresslyosaurus,3.5068299999999972,0,1,0,0,0
Grippia,16.839769999999998,0,1,0,0,0
Guaibasaurus,0.0,0,0,0,1,0
Gualosuchus,0.0,0,0,0,1,0
Guanlingsaurus,0.0,0,1,0,0,0
Guchengosuchus,0.0,0,1,0,0,0
Guizhouichthyosaurus,8.228819999999999,0,1,1,0,0
Gulosaurus,0.0,0,1,0,0,0
Gunakadeit,0.0,0,0,1,0,0
Gyposaurus,0.0,0,1,0,0,0
Halazhaisuchus,0.0,0,1,0,0,0
Haligonia,25.3814,0,1,1,0,0
Hanosaurus,0.0,0,0,1,0,0
Helveticosaurus,0.0,0,0,1,0,0
Hemilopas,0.11129000000000033,0,1,0,0,0
Hemiprotosuchus,0.0,0,0,0,1,0
Henodus,0.0,0,1,0,0,0
Heptasuchus,0.0,0,0,1,0,0
Herrerasaurus,0.0,0,0,0,1,0
Hescheleria,0.0,0,0,1,0,0
Hesperosuchus,7.478028999999999,0,0,1,0,0
Heterodontichnites,0.3653249999999999,0,0,1,0,0
Heteropelta,0.0,0,1,0,0,0
Himalayasaurus,0.0,0,0,1,0,0
Hispaniasaurus,0.0,0,0,1,0,0
Honghesaurus,0.0,0,0,1,0,0
Horaffia,1.8365200000000002,0,1,0,0,0
Hovasaurus,12.756999999999998,0,0,0,1,0
Howesia,0.0,0,0,0,1,0
Hudsonelpidia,0.0,0,0,1,0,0
Hupehsuchus,5.434380000000003,0,0,1,0,0
Hwiccewyrm,0.0,0,1,0,0,0
Hyperodapedon,62.58857,0,0,1,1,0
Hypselorhachis,0.0,0,0,0,1,0
Hypsognathus,25.3814,0,1,1,0,0
Hypuronector,0.0,0,0,1,0,0
Icarosaurus,0.0,0,0,1,0,0
Ichthyosaurus,34.365033,0,1,1,0,0
Ichthyotitan,0.0,0,1,0,0,0
Idiosaura,0.0,0,0,1,0,0
Ignotosaurus,0.0,0,0,0,1,0
Incertovenator,0.0,0,0,0,1,0
Indosauriscus,0.0,0,0,0,1,0
Ingentia,0.0,0,0,0,1,0
Isfjordosaurus,0.0,0,1,0,0,0
Issi,0.0,0,1,0,0,0
