genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Fugusuchus	-0.336825198	1	0	0	0
Fuyuansaurus	-0.336825198	0	1	0	0
Galesphyrus	-0.119298829	0	0	1	0
Gamatavus	-0.336825198	0	0	1	0
Gansurhinus	-0.242568514	1	0	0	0
Garjainia	7.868396402	1	0	1	0
Garzapelta	-0.336825198	0	1	0	0
Gecatogomphius	-0.336825198	1	0	0	0
Gephyrosaurus	-0.336825198	1	0	0	0
Germanosaurus	-0.336825198	1	0	0	0
Glaurung	-0.336825198	1	0	0	0
Glyphoderma	-0.336825198	0	1	0	0
Gnathovorax	-0.083832221	0	0	1	0
Gojirasaurus	-0.336825198	0	1	0	0
Gomphiosauridion	-0.336825198	0	1	0	0
Gondwanax	-0.336825198	0	0	1	0
Gorgetosuchus	-0.336825198	0	1	0	0
Gracilisuchus	-0.336825198	0	0	1	0
Grallator	-0.336825198	0	1	0	0
Graoullyodon	-0.336825198	1	0	0	0
Gresslyosaurus	-0.072837076	1	0	0	0
Grippia	0.930843683	1	0	0	0
Guaibasaurus	-0.336825198	0	0	1	0
Gualosuchus	-0.336825198	0	0	1	0
Guanlingsaurus	-0.336825198	1	0	0	0
Guchengosuchus	-0.336825198	1	0	0	0
Guizhouichthyosaurus	0.282626198	1	1	0	0
Gulosaurus	-0.336825198	1	0	0	0
Gunakadeit	-0.336825198	0	1	0	0
Gyposaurus	-0.336825198	1	0	0	0
Halazhaisuchus	-0.336825198	1	0	0	0
Haligonia	1.573842877	1	1	0	0
Hanosaurus	-0.336825198	0	1	0	0
Helveticosaurus	-0.336825198	0	1	0	0
Hemilopas	-0.328447479	1	0	0	0
Hemiprotosuchus	-0.336825198	0	0	1	0
Henodus	-0.336825198	1	0	0	0
Heptasuchus	-0.336825198	0	1	0	0
Herrerasaurus	-0.336825198	0	0	1	0
Hescheleria	-0.336825198	0	1	0	0
Hesperosuchus	0.226107945	0	1	0	0
Heterodontichnites	-0.309324161	0	1	0	0
Heteropelta	-0.336825198	1	0	0	0
Himalayasaurus	-0.336825198	0	1	0	0
Hispaniasaurus	-0.336825198	0	1	0	0
Honghesaurus	-0.336825198	0	1	0	0
Horaffia	-0.198575136	1	0	0	0
Hovasaurus	0.623499789	0	0	1	0
Howesia	-0.336825198	0	0	1	0
Hudsonelpidia	-0.336825198	0	1	0	0
Hupehsuchus	0.072265568	0	1	0	0
Hwiccewyrm	-0.336825198	1	0	0	0
Hyperodapedon	4.374734549	0	1	1	0
Hypselorhachis	-0.336825198	0	0	1	0
Hypsognathus	1.573842877	1	1	0	0
Hypuronector	-0.336825198	0	1	0	0
Icarosaurus	-0.336825198	0	1	0	0
Ichthyosaurus	2.250115296	1	1	0	0
Ichthyotitan	-0.336825198	1	0	0	0
Idiosaura	-0.336825198	0	1	0	0
Ignotosaurus	-0.336825198	0	0	1	0
Incertovenator	-0.336825198	0	0	1	0
Indosauriscus	-0.336825198	0	0	1	0
Ingentia	-0.336825198	0	0	1	0
Isfjordosaurus	-0.336825198	1	0	0	0
Issi	-0.336825198	1	0	0	0
Ixalerpeton	-0.083832221	0	0	1	0
Jaklapallisaurus	-0.336825198	0	0	1	0
Jaxtasuchus	-0.336825198	1	0	0	0
Jesairosaurus	-0.336825198	0	1	0	0
Jingshanosaurus	-0.336825198	1	0	0	0
Jupijkam	-0.336825198	0	1	0	0
Jushatyria	-0.336825198	1	0	0	0
Kadimakara	-0.336825198	0	0	1	0
Kahneria	-0.336825198	0	1	0	0
Kalisuchus	-0.336825198	0	0	1	0
Kapes	1.827679724	1	1	0	0
Keichousaurus	-0.078613931	0	1	0	0
Kholumolumo	-0.336825198	0	0	1	0
Kinelia	0.060310625	1	0	0	0
Kitchingnathus	-0.336825198	0	0	1	0
Kocurypelta	-0.336825198	1	0	0	0
Koilamasuchus	-0.336825198	0	0	1	0
Koiloskiosaurus	-0.336825198	1	0	0	0
Kranosaura	-0.336825198	0	0	1	0
Krzyzanowskisaurus	-0.309012735	0	1	0	0
Kudnu	-0.336825198	0	0	1	0
Kuehneosaurus	0.492193395	1	0	0	0
Kuehneosuchus	-0.336825198	1	0	0	0
Kuruxuchampsa	-0.336825198	0	0	1	0
Kwangsisaurus	-0.336825198	0	1	0	0
Labidosaurikos	-0.062303085	0	1	0	0
Labidosauriscus	-0.336825198	0	1	0	0
Labidosaurus	-0.167840972	0	1	0	0
Lagerpeton	-0.336825198	0	0	1	0
Lanceirosphenodon	-0.336825198	0	0	1	0
Langeronyx	-0.249980413	1	1	0	0
Langobardisaurus	0.610362977	1	1	0	0
Lanthaniscus	-0.336825198	1	0	0	0
Lanthanolania	-0.336825198	1	0	0	0
Lanthanosuchus	-0.336825198	1	0	0	0
Laquintasaura	-0.336825198	0	1	0	0
Largocephalosaurus	-0.336825198	0	1	0	0
Lariosaurus	0.803215385	1	1	0	0
Lasasaurus	-0.336825198	0	0	1	0
Lepidus	-0.336825198	0	1	0	0
Leptonectes	0.050187955	1	0	0	0
Leptopleuron	-0.336825198	1	0	0	0
Leptosuchus	0.063422554	0	1	0	0
Lessemsaurus	-0.336825198	0	0	1	0
Lewisuchus	-0.184730708	0	0	1	0
Leyesaurus	-0.336825198	0	0	1	0
Libognathus	-0.336825198	0	1	0	0
Liliensternus	0.545744104	1	0	0	0
Lindwurmia	-0.336825198	1	0	0	0
Litorosuchus	-0.336825198	0	1	0	0
