genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Kitchinganomodon,0.6687695277866947,0,0,0,1,0
Kombuisia,0.5980156592175285,0,0,0,1,1
Kotelcephalon,-0.297424559041348,0,1,0,0,0
Kuehneotherium,0.3876933076235584,0,1,0,0,0
Kunpania,-0.297424559041348,0,1,0,0,0
Kwazulusaurus,-0.297424559041348,0,0,0,1,0
Lalieudorhynchus,-0.297424559041348,0,0,1,0,0
Langbergia,-0.0549291899151678,0,0,0,1,0
Lanthanostegus,-0.297424559041348,0,0,0,1,0
Lemurosaurus,-0.297424559041348,0,0,0,1,0
Lende,-0.297424559041348,0,0,0,1,0
Leogorgon,-0.2648242269280622,0,1,0,0,0
Leontosaurus,-0.297424559041348,0,0,0,1,0
Lepagia,-0.0826612778231712,0,1,0,0,0
Leucocephalus,-0.297424559041348,0,0,0,1,0
Lobalopex,-0.297424559041348,0,0,0,1,0
Lophorhinus,-0.297424559041348,0,0,0,1,0
Luangwa,-0.1412712430404495,0,0,0,1,0
Lumkuia,-0.297424559041348,0,0,0,1,0
Lupeosaurus,-0.297424559041348,0,0,1,0,0
Lycaenodon,-0.1523456031320572,0,0,0,1,0
Lycaenops,0.6687695277866947,0,0,0,1,0
Lycedops,-0.297424559041348,0,0,0,1,0
Lycideops,-0.297424559041348,0,0,0,1,0
Lycosaurus,-0.2717957386375497,0,0,0,1,0
Lycosuchus,-0.297424559041348,0,0,0,1,0
Lystrosaurus,8.42494517761963,0,1,0,1,1
Malasaurus,-0.297424559041348,0,1,0,0,0
Mandagomphodon,-0.297424559041348,0,0,0,1,0
Martensius,-0.297424559041348,0,0,1,0,0
Massetognathus,-0.238528041693231,0,0,0,1,0
Maubeugia,-0.297424559041348,0,1,0,0,0
Megawhaitsia,-0.0889283488776799,0,1,0,0,0
Menadon,-0.297424559041348,0,0,0,1,0
Mesenosaurus,2.4309539992344105,0,1,1,0,0
Meurthodon,-0.297424559041348,0,1,0,0,0
Microconodon,-0.2581894768126899,0,0,1,0,0
Microgomphodon,0.7102730848774477,0,0,0,1,0
Microhelodon,-0.297424559041348,0,0,0,1,0
Microscalenodon,-0.2918506173734955,0,1,0,0,0
Microsyodon,-0.297424559041348,0,1,0,0,0
Microurania,-0.1246581318935479,0,1,0,0,0
Microvaranops,-0.297424559041348,0,0,0,1,0
Microwhaitsia,-0.297424559041348,0,0,0,1,0
Minicynodon,-0.297424559041348,0,0,0,1,0
Mirotenthes,-0.297424559041348,0,0,0,1,0
Mitredon,-0.297424559041348,0,1,0,0,0
Moghreberia,-0.297424559041348,0,0,1,0,0
Mojo,-0.297424559041348,0,1,0,0,0
Molybdopygus,-0.297424559041348,0,1,0,0,0
Morganucodon,-0.297424559041348,0,1,0,0,0
Mormosaurus,-0.297424559041348,0,0,0,1,0
Moschops,-0.1779744235358556,0,0,0,1,0
Moschorhinus,0.0429905747420769,0,0,0,1,0
Moschowhaitsia,-0.0889283488776799,0,1,0,0,0
Muchia,-0.297424559041348,0,1,0,0,0
Mucrotherium,-0.297424559041348,0,1,0,0,0
Mupashi,-0.297424559041348,0,0,0,1,0
Mycterosaurus,-0.1559813903930241,0,0,1,0,0
Myosauroides,-0.297424559041348,0,0,0,1,0
Myosaurus,0.7522441743922005,0,0,0,1,1
Nanictidops,-0.297424559041348,0,0,0,1,0
Nanictocephalus,-0.297424559041348,0,0,0,1,0
Nanictosaurus,-0.1523456031320572,0,0,0,1,0
Nanocynodon,-0.297424559041348,0,1,0,0,0
Nanogomphodon,-0.297424559041348,0,1,0,0,0
