,genus,county,state,occurrence_no,age_max,age_min
711,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
712,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
713,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
714,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
715,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
716,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
717,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
718,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
719,Opisthodontosaurus,Comanche,Oklahoma,629473,290.1,283.5
720,Colobomycter,Comanche,Oklahoma,629476,290.1,283.5
721,Colobomycter,Comanche,Oklahoma,629476,290.1,283.5
722,Colobomycter,Comanche,Oklahoma,629476,290.1,283.5
723,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
724,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
725,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
726,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
727,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
728,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
729,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
730,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
731,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
732,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
733,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
734,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
735,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
736,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
737,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
738,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
739,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
740,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
741,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
742,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
743,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
744,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
745,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
746,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
747,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
748,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
749,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
750,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
751,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
752,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
753,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
754,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
755,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
756,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
757,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
758,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
759,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
760,Captorhinus,Comanche,Oklahoma,629477,290.1,283.5
