genus	rotated_lat_scaled
Procompsognathus	0.98
Proganochelys_Temperate_N	0.9233333333333333
Prolacerta	-1.6922222222222223
Prolacertoides	1.81
Prosantosaurus	0.79
Prosaurosphargis	0.49
Protanystropheus	0.8366666666666666
Protecovasaurus	0.01
Protenodontosaurus	0.91
Proteosaurus	1.12
Proterochampsa	-1.45
Proterochersis	1.05
Proterosuchus_Temperate_S	-1.3178947368421052
Protoavis	0.01
Protocaptorhinus	-0.016666666666666666
Protoichthyosaurus	1.09
Protome	0.09
Protorosaurus	0.8027272727272727
Protorothyris	-0.006666666666666665
Protosuchus	0.526
Provelosaurus	-1.4183333333333332
Psephochelys	0.82
Psephoderma_Tropical_N	0.645
Psephosauriscus	-0.23
Psephosaurus_Tropical_S	0.11333333333333334
Pseudhesperosuchus	-1.4
Pseudochampsa	-1.45
Pseudotetrasauropus_Tropical_N	0.344
Pterodactylus	1.23
Pumiliopareia	-1.7
Qianichthyosaurus	0.7442857142857143
Qianosuchus	0.41
Qianxisaurus	0.59
Quasianosteosaurus	1.42
Raeticodactylus	1.13
Rautiania	1.35
Redondasuchus	0.09
Redondavenator	0.09
Revueltosaurus	0.084
Rhaeticosaurus	1.23
Rhipaeosaurus	1.2850000000000001
Rhomaleosaurus	1.125
Rhombopholis	0.7399999999999999
Rioarribasuchus	0.10200000000000001
Riojasaurus	-1.4
Riojasuchus	-1.4
Romeria	-0.03
Rothianiscus	0.11999999999999998
Rotodactylus	0.16
Ruehleia	1.04
Rugarhynchos	0.09
Ruhuhuaria	-1.29
Rutiodon	0.14350000000000002
Sacisaurus	-1.28
Saltoposuchus	0.9666666666666667
Sanchiaosaurus	0.48
Sanchuansaurus	1.08
Sanjuansaurus	-1.45
Santaisaurus	1.8099999999999998
Sarcosaurus	1.19
Sarmatosuchus	1.45
Saturnalia	-1.295
Saurischichnus	0.94
Saurodektes	-1.6966666666666665
Sauropareion	-1.7299999999999998
Sauropus	0.62
Saurorictus	-1.7
Saurosternon	-1.77
Saurosuchus	-1.45
Scelidosaurus	1.16
Scharschengia	1.38
Schleitheimia	0.94
Sclerocormus	0.97
Sclerosaurus	0.6033333333333334
Sclerostropheus	0.63
Scoloparia_Tropical_N	0.5933333333333334
Scolotosuchus	1.23
Scutarx	0.074
Scutosaurus	1.3032
Scythosuchus	1.23
Seazzadactylus	0.99
Selenichnus	0.62
Serpianosaurus	0.670625
Shansisuchus	1.2248275862068965
Shastasaurus_Temperate_N	0.168
Shihtienfenia	1.092
