Locality,cc,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Texas,US,4276,Labidosaurus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4275,Captorhinus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4274,Labidosaurus,283.5,273.01,1.0593,-36.5887,4
Texas,US,4273,Bolosaurus,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4268,Araeoscelis,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4269,Araeoscelis,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4270,Araeoscelis,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4271,Araeoscelis,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4272,Araeoscelis,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4267,Captorhinus,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4266,Labidosaurus,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4265,Labidosaurus,283.5,273.01,-1.1855,-37.6892,4
Texas,US,4264,Captorhinus,283.5,273.01,-1.1855,-37.6892,4
Namibia,Namibia,4263,Mesosaurus,290.1,283.5,-57.634,-24.1868,1
Namibia,Namibia,4262,Mesosaurus,290.1,283.5,-57.634,-24.1868,1
Namibia,Namibia,4261,Mesosaurus,290.1,283.5,-57.634,-24.1868,1
Namibia,Namibia,4260,Mesosaurus,290.1,283.5,-57.634,-24.1868,1
Queensland,AU,4259,Grallator,227.0,208.5,-48.4091,123.5564,4
Kirov,RU,4258,Deltavjatia,264.28,259.51,44.3876,33.3665,3
Tatarstan,RU,4257,Scutosaurus,264.28,254.14,45.0092,37.7433,3
Texas,US,4250,Bolosaurus,298.9,290.1,-2.7466,-38.9219,4
La Rioja,AR,4249,Zupaysaurus,227.0,208.5,-50.4972,-22.4201,4
Nevada,US,4247,Omphalosaurus,247.2,237.0,17.3463,-49.8163,4
Nevada,US,4248,Omphalosaurus,247.2,237.0,17.3463,-49.8163,4
Svalbard,NO,4246,Grippia,251.2,247.2,48.4578,0.5752,3
Franken,DE,4245,Coelurosaurichnus,237.0,227.0,29.6148,13.9762,3
Pennsylvania,US,4244,Rutiodon,227.0,208.5,6.739,-20.6269,4
Texas,US,4243,Captorhinus,283.5,273.01,-1.1855,-37.6892,4
Northern Cape,ZA,4242,Pareiasuchus,259.51,254.14,-60.8508,-19.3342,1
Arizona,US,4241,Arizonasaurus,247.2,244.7,8.5619,-43.658,4
Arizona,US,4240,Anisodontosaurus,247.2,244.7,8.5619,-43.658,4
Friuli-Venezia Giulia,IT,4239,Placochelys,237.0,227.0,27.932,16.0856,3
Lombardia,IT,4236,Psephoderma,216.7,213.2,20.3475,11.0572,3
Lombardia,IT,4237,Psephoderma,216.7,213.2,20.3475,11.0572,3
Lombardia,IT,4238,Psephoderma,216.7,213.2,20.3475,11.0572,3
Nizhegorod,RU,4235,Vonhuenia,251.902,251.2,45.2164,33.3228,3
Eastern Cape,ZA,4234,Melanorosaurus,227.0,208.5,-56.0316,14.4488,1
Eastern Cape,ZA,4230,Plateosauravus,227.0,208.5,-56.0316,14.4488,1
Eastern Cape,ZA,4231,Plateosauravus,227.0,208.5,-56.0316,14.4488,1
Eastern Cape,ZA,4232,Plateosauravus,227.0,208.5,-56.0316,14.4488,1
Eastern Cape,ZA,4233,Plateosauravus,227.0,208.5,-56.0316,14.4488,1
Komi,RU,4229,Chasmatosuchus,251.2,247.2,48.6263,31.1073,3
Orenburg,RU,4228,Chasmatosuchus,251.902,251.2,47.7835,44.5676,3
Orenburg,RU,4227,Chasmatosuchus,251.902,247.2,46.4143,42.1659,3
Orenburg,RU,4226,Chasmatosuchus,251.902,247.2,46.4143,42.1659,3
Anhui,CN,4225,Chaohusaurus,248.9,247.2,32.104,120.1211,2
Anhui,CN,4224,Chaohusaurus,248.9,247.2,32.104,120.1211,2
Lombardia,IT,4223,Placochelys,237.0,227.0,15.4479,12.7418,3
Lombardia,IT,4222,Psephoderma,208.5,201.4,35.91,15.3389,3
Lombardia,IT,4221,Psephoderma,208.5,201.4,26.4928,14.9159,3
Lombardia,IT,4220,Paraplacodus,247.2,242.0,24.4854,22.6839,3
Guizhou,CN,4219,Barracudasaurus,247.2,237.0,15.0674,119.7846,2
England,UK,4218,Sarcosaurus,201.4,199.5,39.8221,10.4256,3
Malopolskie,PL,4217,Czatkowiella,251.2,247.2,29.45,26.3383,3
Malopolskie,PL,4216,Sophineta,251.2,247.2,29.45,26.3383,3
Malopolskie,PL,4215,Osmolskina,251.2,247.2,29.45,26.3383,3
Malopolskie,PL,4214,Pamelina,251.2,247.2,29.45,26.3383,3
Malopolskie,PL,4213,Procolina,251.2,247.2,29.45,26.3383,3
Austria,AT,4212,Placochelys,227.0,208.5,34.9254,15.4382,3
Virginia,US,4211,Euscolosuchus,237.0,227.0,1.9826,-22.3794,4
Virginia,US,4210,Uatchitodon,237.0,227.0,1.9826,-22.3794,4
Virginia,US,4209,Gomphiosauridion,237.0,227.0,1.9826,-22.3794,4
Virginia,US,4208,Xenodiphyodon,237.0,227.0,1.9826,-22.3794,4
Arizona,US,4207,Desmatosuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4206,Smilosuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4205,Postosuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4204,Camposaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4203,Calyptosuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4202,Tanytrachelos,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4201,Smilosuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4200,Parasuchus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4199,Acaenasuchus,227.0,208.5,1.3531,-47.1801,4
Baden-Wurttemberg,DE,4198,Cyamodus,247.2,237.0,26.4626,20.9891,3
Komi,RU,4197,Timanophon,251.2,247.2,52.3465,25.1911,3
Arizona,US,4196,Poposaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4195,Shuvosaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4194,Poposaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4193,Trilophosaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4192,Trilophosaurus,227.0,208.5,1.3531,-47.1801,4
Arizona,US,4191,Tanytrachelos,227.0,208.5,1.3531,-47.1801,4
Hessen,DE,4190,Nothosaurus,247.2,242.0,25.024,18.7935,3
Texas,US,4189,Parasuchus,237.0,227.0,1.0633,-40.6348,4
Rio Grande do Sul,BR,4188,Unaysaurus,227.0,208.5,-46.1164,-4.6554,4
Wales,UK,4187,Terrestrisuchus,237.0,227.0,24.9561,4.3648,3
Wales,UK,4186,Kuehneosaurus,237.0,227.0,24.9561,4.3648,3
Wales,UK,4185,Clevosaurus,237.0,227.0,24.9561,4.3648,3
Wales,UK,4184,Tricuspisaurus,208.5,201.4,35.9688,2.1884,3
Wales,UK,4183,Planocephalosaurus,208.5,201.4,35.9688,2.1884,3
Wales,UK,4182,Haligonia,208.5,201.4,35.9688,2.1884,3
England,UK,4181,Variodens,208.5,201.4,35.9688,2.1884,3
Nevada,US,4180,Cymbospondylus,247.2,237.0,17.3463,-49.8163,4
Nevada,US,4179,Cymbospondylus,247.2,237.0,17.3463,-49.8163,4
Nevada,US,4178,Cymbospondylus,247.2,237.0,17.3463,-49.8163,4
Nevada,US,4177,Phalarodon,247.2,237.0,17.3463,-49.8163,4
Arizona,US,4176,Protosuchus,208.5,199.5,6.0887,-50.239,4
North Carolina,US,4175,Lucasuchus,237.0,227.0,-0.5164,-22.3104,4
England,UK,4174,Diphydontosaurus,237.0,227.0,24.9561,4.3648,3
Yunnan,CN,4173,Jingshanosaurus,201.4,199.5,52.1412,136.1873,2
San Juan,AR,4172,Herrerasaurus,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4171,Hyperodapedon,237.0,227.0,-52.0012,-29.5316,4
San Juan,AR,4170,Hyperodapedon,237.0,227.0,-52.0012,-29.5316,4
New Mexico,US,4169,Machaeroprosopus,227.0,208.5,3.8366,-43.9682,4
New Mexico,US,4168,Machaeroprosopus,227.0,208.5,3.8366,-43.9682,4
